rhod,etad,gamma,V0,D0,Oh,We,Bo,t1,t1err,,,
1000,0.001,0.072,2.31167092,0.00205,0.0026,152.1505001,0.572,0.229590244,0.01481926,,,
1000,0.001,0.072,2.350439093,0.00205,0.0026,157.2966119,0.572,0.19046875,0.005855728,,,
1000,0.001,0.072,2.400405703,0.00205,0.0026,164.0554507,0.572,0.196913858,0.019770627,,,
1000,0.001,0.072,2.440526683,0.00205,0.0026,169.5854098,0.572,0.176666667,0.007681159,,,
1000,0.001,0.072,2.49025494,0.00205,0.0026,176.5667752,0.572,0.220390244,0.008657746,,,
1000,0.001,0.072,2.516820346,0.00205,0.0026,180.3540075,0.572,0.199440329,0.008022296,,,
1000,0.001,0.072,2.583265607,0.00205,0.0026,190.0025758,0.572,0.205695313,0.010377378,,,
1000,0.001,0.072,2.638181739,0.00205,0.0026,198.166749,0.572,0.212928839,0.014602381,,,
1000,0.001,0.072,2.639074956,0.00205,0.0026,198.3009595,0.572,0.2128,0.036238906,,,
1000,0.001,0.072,2.682276967,0.00205,0.0026,204.846527,0.572,0.205985507,0.017505764,,,
1000,0.001,0.072,2.711252819,0.00205,0.0026,209.2962262,0.572,0.212781893,0.023779646,,,
1000,0.001,0.072,2.782831191,0.00205,0.0026,220.4931437,0.572,0.198054688,0.016110746,,,
1000,0.001,0.072,2.807737641,0.00205,0.0026,224.4576508,0.572,0.223639024,0.015122486,,,
1000,0.001,0.072,2.841989771,0.00205,0.0026,229.9674584,0.572,0.20117603,0.017077309,,,
1000,0.001,0.072,2.87327988,0.00205,0.0026,235.0591861,0.572,0.229876543,0.010946502,,,
1000,0.001,0.072,2.889491497,0.00205,0.0026,237.7191705,0.572,0.192797101,0.004067051,,,
1000,0.001,0.072,2.936714989,0.00205,0.0026,245.5528416,0.572,0.222360976,0.012914656,,,
1000,0.001,0.072,2.949135844,0.00205,0.0026,247.6343689,0.572,0.20365625,0.021546459,,,
1000,0.001,0.072,3.011829797,0.00205,0.0026,258.2749082,0.572,0.211205993,0.012989572,,,
1000,0.001,0.072,3.056910549,0.00205,0.0026,266.0644349,0.572,0.216617284,0.013278586,,,
1000,0.001,0.072,3.062170272,0.00205,0.0026,266.9808039,0.572,0.21973913,0.012565999,,,
1000,0.001,0.072,3.13761445,0.00205,0.0026,280.2983347,0.572,0.20340625,0.031848246,,,
1000,0.001,0.072,3.197334002,0.00205,0.0026,291.0699538,0.572,0.219259259,0.017226634,,,
1000,0.001,0.072,3.20431516,0.00205,0.0026,292.3424038,0.572,0.207745318,0.009480258,,,
1000,0.001,0.072,3.257872883,0.00205,0.0026,302.1966421,0.572,0.190717391,0.013756679,,,
1000,0.001,0.072,3.281745149,0.00205,0.0026,306.6415974,0.572,0.235875,0.010341814,,,
1000,0.001,0.072,3.351509849,0.00205,0.0026,319.8176035,0.572,0.210636704,0.015678173,,,
1000,0.001,0.072,3.407527821,0.00205,0.0026,330.5979722,0.572,0.193043478,0.010724638,,,
