rhod,etad,gamma,V0,D0,Oh,We,Bo,t2,t2err
1124,0.005,0.061,0.365389617,0.0025,0.0121,6.150195043,1.13,1.017606485,0.024799587
1124,0.005,0.061,0.48106155,0.0025,0.0121,10.66050499,1.13,1.331237224,0.032650429
1124,0.005,0.061,0.564475492,0.0025,0.0121,14.67799268,1.13,1.572058687,0.038311868
1124,0.005,0.061,0.653934093,0.0025,0.0121,19.69901199,1.13,1.821200008,0.044383569
1124,0.005,0.061,0.777202126,0.0025,0.0121,27.82559402,1.13,2.178344187,0.052749971
1124,0.005,0.061,0.93559854,0.0025,0.0121,40.32325252,1.13,2.724552631,0.063500593
1124,0.005,0.061,1.076962661,0.0025,0.0121,53.42909005,1.13,3.17646466,0.073095205
1124,0.005,0.061,1.200667814,0.0025,0.0121,66.40827851,1.13,3.518822762,0.081491275
1124,0.005,0.061,1.330047996,0.0025,0.0121,81.49127469,1.13,3.89800002,0.090272518
1124,0.005,0.061,1.492338396,0.0025,0.0121,102.5914365,1.13,4.602488343,0.101287431
1124,0.005,0.061,1.685175323,0.0025,0.0121,130.8177474,1.13,5.197212508,0.114375586
1124,0.005,0.061,1.990065236,0.0025,0.0121,182.4362393,1.13,6.25603644,0.13506896
1124,0.005,0.061,2.45772892,0.0025,0.0121,278.2559402,1.13,7.726199828,0.166810054
