rhod,etad,gamma,V0,D0,Oh,We,Bo,F1,F1err
1.00E+03,0.001,0.072,0.437452896,0.00205,2.60E-03,5.45E+00,5.72E-01,1.27432769,0.026580584
1.00E+03,0.001,0.072,0.759786609,0.00205,2.60E-03,1.64E+01,5.72E-01,0.958657291,0.014637069
1.00E+03,0.001,0.072,0.564083997,0.00205,2.60E-03,9.06E+00,5.72E-01,1.09148615,0.021158039
1.00E+03,0.001,0.072,1.243287178,0.00205,2.60E-03,4.40E+01,5.72E-01,0.805715471,0.003500787
1.00E+03,0.001,0.072,1.77283542,0.00205,2.60E-03,8.95E+01,5.72E-01,0.804589372,0.003526779
1.00E+03,0.001,0.072,2.440526683,0.00205,2.60E-03,1.70E+02,5.72E-01,0.852896912,0.014601343
1.00E+03,0.001,0.072,2.682276967,0.00205,2.60E-03,2.05E+02,5.72E-01,0.82198214,0.007763562
1.00E+03,0.001,0.072,2.889491497,0.00205,2.60E-03,2.38E+02,5.72E-01,0.874007401,0.009855024
1.00E+03,0.001,0.072,3.407527821,0.00205,2.60E-03,3.31E+02,5.72E-01,0.900101616,0.007252705
1.00E+03,0.001,0.072,0.667691262,0.00205,2.60E-03,1.27E+01,5.72E-01,0.872311338,0.017596759
1.00E+03,0.001,0.072,1.369918279,0.00205,2.60E-03,5.34E+01,5.72E-01,0.842159135,0.005699834
1.00E+03,0.001,0.072,1.588644727,0.00205,2.60E-03,7.19E+01,5.72E-01,0.799439505,0.014023446
1.00E+03,0.001,0.072,1.945514195,0.00205,2.60E-03,1.08E+02,5.72E-01,0.78520105,0.004292566
1.00E+03,0.001,0.072,2.198776398,0.00205,2.60E-03,1.38E+02,5.72E-01,0.812250959,0.002084723
1.00E+03,0.001,0.072,3.062170272,0.00205,2.60E-03,2.67E+02,5.72E-01,0.826523365,0.002646298
1.00E+03,0.001,0.072,3.257872883,0.00205,2.60E-03,3.02E+02,5.72E-01,0.86971744,0.015271375
1.00E+03,0.001,0.072,0.943977302,0.00205,2.60E-03,2.54E+01,5.72E-01,0.825489096,0.007620548
1.00E+03,0.001,0.072,1.105144158,0.00205,2.60E-03,3.48E+01,5.72E-01,0.799835646,0.004460268
1.00E+03,0.001,0.072,0.92845881,0.00205,2.60E-03,2.45E+01,5.72E-01,0.82751982,0.006790933
1.00E+03,0.001,0.072,1.222848188,0.00205,2.60E-03,4.26E+01,5.72E-01,0.822031049,0.005324599
1.00E+03,0.001,0.072,1.347397541,0.00205,2.60E-03,5.17E+01,5.72E-01,0.820506524,0.003825572
1.00E+03,0.001,0.072,1.562528241,0.00205,2.60E-03,6.95E+01,5.72E-01,0.82020059,0.005706154
1.00E+03,0.001,0.072,2.162629666,0.00205,2.60E-03,1.33E+02,5.72E-01,0.87422017,0.006499163
1.00E+03,0.001,0.072,2.400405703,0.00205,2.60E-03,1.64E+02,5.72E-01,0.848182367,0.003724611
1.00E+03,0.001,0.072,2.841989771,0.00205,2.60E-03,2.30E+02,5.72E-01,0.878286538,0.013424709
1.00E+03,0.001,0.072,3.011829797,0.00205,2.60E-03,2.58E+02,5.72E-01,0.85387387,0.013141119
1.00E+03,0.001,0.072,0.4302614,0.00205,2.60E-03,5.27E+00,5.72E-01,1.178950592,0.02702406
1.00E+03,0.001,0.072,0.554810752,0.00205,2.60E-03,8.76E+00,5.72E-01,1.147818732,0.005391217
1.00E+03,0.001,0.072,0.656714768,0.00205,2.60E-03,1.23E+01,5.72E-01,0.998994873,0.010959264
1.00E+03,0.001,0.072,0.747296115,0.00205,2.60E-03,1.59E+01,5.72E-01,0.898146476,0.009947106
1.00E+03,0.001,0.072,1.086976167,0.00205,2.60E-03,3.36E+01,5.72E-01,0.840128481,0.005485394
1.00E+03,0.001,0.072,1.913530961,0.00205,2.60E-03,1.04E+02,5.72E-01,0.827520313,0.006895182
1.00E+03,0.001,0.072,2.638181739,0.00205,2.60E-03,1.98E+02,5.72E-01,0.825308563,0.013241364
1.00E+03,0.001,0.072,3.20431516,0.00205,2.60E-03,2.92E+02,5.72E-01,0.876895726,0.009272606
1.00E+03,0.001,0.072,3.351509849,0.00205,2.60E-03,3.20E+02,5.72E-01,0.870634393,0.015409948
1.00E+03,0.001,0.072,1.873699089,0.00205,2.60E-03,1.00E+02,5.72E-01,0.817875451,0.005020655
1.00E+03,0.001,0.072,0.421305121,0.00205,2.60E-03,5.05E+00,5.72E-01,1.090585099,0.038711438
1.00E+03,0.001,0.072,0.731740472,0.00205,2.60E-03,1.52E+01,5.72E-01,0.900556399,0.009504997
1.00E+03,0.001,0.072,1.1973935,0.00205,2.60E-03,4.08E+01,5.72E-01,0.800757044,0.003876358
1.00E+03,0.001,0.072,2.117612579,0.00205,2.60E-03,1.28E+02,5.72E-01,0.817596648,0.002866711
1.00E+03,0.001,0.072,2.350439093,0.00205,2.60E-03,1.57E+02,5.72E-01,0.821617097,0.004589542
1.00E+03,0.001,0.072,2.949135844,0.00205,2.60E-03,2.48E+02,5.72E-01,0.810483432,0.006191612
1.00E+03,0.001,0.072,3.13761445,0.00205,2.60E-03,2.80E+02,5.72E-01,0.822797035,0.01257181
1.00E+03,0.001,0.072,0.543261866,0.00205,2.60E-03,8.40E+00,5.72E-01,0.983690287,0.027671569
1.00E+03,0.001,0.072,0.654131634,0.00205,2.60E-03,1.22E+01,5.72E-01,0.911476474,0.014173925
1.00E+03,0.001,0.072,1.319350246,0.00205,2.60E-03,4.96E+01,5.72E-01,0.78649173,0.002610311
1.00E+03,0.001,0.072,1.530002806,0.00205,2.60E-03,6.67E+01,5.72E-01,0.800124313,0.002862016
1.00E+03,0.001,0.072,1.707394436,0.00205,2.60E-03,8.30E+01,5.72E-01,0.781067759,0.005594488
1.00E+03,0.001,0.072,2.583265607,0.00205,2.60E-03,1.90E+02,5.72E-01,0.838138647,0.005217083
1.00E+03,0.001,0.072,2.782831191,0.00205,2.60E-03,2.20E+02,5.72E-01,0.82225109,0.010092796
1.00E+03,0.001,0.072,3.281745149,0.00205,2.60E-03,3.07E+02,5.72E-01,0.817198002,0.016119554
