rhod,etad,gamma,V0,D0,Oh,We,Bo,t2,t2err
1220,0.0802,0.061,0.521412771,0.0025,0.186,13.59356391,1.23,1.106950166,0.036869451
1220,0.0802,0.061,0.61970024,0.0025,0.186,19.20141939,1.23,1.393310107,0.043819424
1220,0.0802,0.061,0.656419788,0.0025,0.186,21.5443469,1.23,1.573027672,0.046415888
1220,0.0802,0.061,0.704266807,0.0025,0.186,24.79958678,1.23,1.720277427,0.049799184
1220,0.0802,0.061,0.750783981,0.0025,0.186,28.18382931,1.23,1.73163578,0.053088444
1220,0.0802,0.061,0.80550929,0.0025,0.186,32.44226079,1.23,1.799566164,0.056958108
1220,0.0802,0.061,0.88661938,0.0025,0.186,39.30469626,1.23,2.2216412,0.062693458
1220,0.0802,0.061,0.945181033,0.0025,0.186,44.66835922,1.23,2.236309872,0.066834392
1220,0.0802,0.061,1.027131643,0.0025,0.186,52.74997064,1.23,2.461392127,0.072629175
1220,0.0802,0.061,1.060510561,0.0025,0.186,56.23413252,1.23,2.384411023,0.074989421
1220,0.0802,0.061,1.137812114,0.0025,0.186,64.73082037,1.23,2.832946654,0.080455466
1220,0.0802,0.061,1.26850673,0.0025,0.186,80.45546617,1.23,3.158352641,0.089696971
1220,0.0802,0.061,1.352292232,0.0025,0.186,91.43471407,1.23,3.261325221,0.095621501
1220,0.0802,0.061,1.478970264,0.0025,0.186,109.3676521,1.23,3.729623568,0.10457899
1220,0.0802,0.061,1.638339442,0.0025,0.186,134.2078063,1.23,4.211298421,0.115848093
