rhod,etad,gamma,V0,D0,Oh,We,Bo,F2,F2err
1000,0.001,0.072,1.243287178,0.00205,0.002602896,44.01130784,0.572006944,0.318749638,0.00491108
1000,0.001,0.072,1.77283542,0.00205,0.002602896,89.48664066,0.572006944,0.38290675,0.021648441
1000,0.001,0.072,1.369918279,0.00205,0.002602896,53.43313874,0.572006944,0.464493337,0.006318359
1000,0.001,0.072,1.588644727,0.00205,0.002602896,71.85796866,0.572006944,0.334119275,0.03754426
1000,0.001,0.072,1.105144158,0.00205,0.002602896,34.77436668,0.572006944,0.385325324,0.00746478
1000,0.001,0.072,1.743690935,0.00205,0.002602896,86.56859803,0.572006944,0.366740868,0.02416204
1000,0.001,0.072,1.222848188,0.00205,0.002602896,42.57615649,0.572006944,0.33296545,0.005000489
1000,0.001,0.072,1.347397541,0.00205,0.002602896,51.69075378,0.572006944,0.346952303,0.006153297
1000,0.001,0.072,1.562528241,0.00205,0.002602896,69.51477403,0.572006944,0.322890233,0.026394394
1000,0.001,0.072,1.086976167,0.00205,0.002602896,33.64041995,0.572006944,0.370921772,0.009137568
1000,0.001,0.072,1.1973935,0.00205,0.002602896,40.82208263,0.572006944,0.380551106,0.002923057
1000,0.001,0.072,1.319350246,0.00205,0.002602896,49.56117216,0.572006944,0.406923269,0.005115083
1000,0.001,0.072,1.530002806,0.00205,0.002602896,66.65086948,0.572006944,0.463702825,0.009356922
1000,0.001,0.072,1.707394436,0.00205,0.002602896,83.00210148,0.572006944,0.332472189,0.017613756
1000,0.001,0.072,1.064349778,0.00205,0.002602896,32.25448504,0.572006944,0.340035805,0.003442852
1000,0.001,0.072,1.166594838,0.00205,0.002602896,38.74908625,0.572006944,0.399068891,0.013944932
1000,0.001,0.072,1.285414683,0.00205,0.002602896,47.04439389,0.572006944,0.399894309,0.034963148
1000,0.001,0.072,1.663477825,0.00205,0.002602896,78.78715101,0.572006944,0.365874407,0.005077645
1000,0.001,0.072,1.825504886,0.00205,0.002602896,94.88277197,0.572006944,0.317473654,0.026549461
1000,0.001,0.072,1.047774994,0.00205,0.002602896,31.25772912,0.572006944,0.314037893,0.011967139
1000,0.001,0.072,1.49064896,0.00205,0.002602896,63.26625501,0.572006944,0.410601597,0.006557327
1000,0.001,0.072,1.081425452,0.00205,0.002602896,33.29772315,0.572006944,0.321428583,0.004920078
1000,0.001,0.072,1.190560131,0.00205,0.002602896,40.35747945,0.572006944,0.388442958,0.006836333
1000,0.001,0.072,1.527885501,0.00205,0.002602896,66.46652658,0.572006944,0.470929314,0.016862423
1000,0.001,0.072,1.676705517,0.00205,0.002602896,80.04513685,0.572006944,0.376286192,0.010680055
1000,0.001,0.072,1.379065485,0.00205,0.002602896,54.14908753,0.572006944,0.345558187,0.006652653
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
