rhod,etad,gamma,V0,D0,Oh,We,Bo,F1,F1err
1.20E+03,0.0454,0.061,1.805091994,0.0025,1.06E-01,1.60E+02,1.20E+00,0.834910114,0.016108329
1.20E+03,0.0454,0.061,0.395197656,0.0025,1.06E-01,7.68E+00,1.20E+00,1.073360061,0.035286579
1.20E+03,0.0454,0.061,0.51268885,0.0025,1.06E-01,1.29E+01,1.20E+00,0.974882204,0.038000558
1.20E+03,0.0454,0.061,0.704947169,0.0025,1.06E-01,2.44E+01,1.20E+00,0.889292957,0.030750388
1.20E+03,0.0454,0.061,1.025377701,0.0025,1.06E-01,5.17E+01,1.20E+00,0.858787267,0.014025846
1.20E+03,0.0454,0.061,1.153549914,0.0025,1.06E-01,6.54E+01,1.20E+00,0.844199431,0.02258712
1.20E+03,0.0454,0.061,1.271041108,0.0025,1.06E-01,7.95E+01,1.20E+00,0.838319283,0.023565493
1.20E+03,0.0454,0.061,1.473980445,0.0025,1.06E-01,1.07E+02,1.20E+00,0.841022001,0.015177055
1.20E+03,0.0454,0.061,1.644876729,0.0025,1.06E-01,1.33E+02,1.20E+00,0.846161269,0.021703882
1.20E+03,0.0454,0.061,2.040074384,0.0025,1.06E-01,2.05E+02,1.20E+00,0.873162057,0.020242964
1.20E+03,0.0454,0.061,0.619499028,0.0025,1.06E-01,1.89E+01,1.20E+00,0.919633634,0.024873615
1.20E+03,0.0454,0.061,0.875843453,0.0025,1.06E-01,3.77E+01,1.20E+00,0.868614855,0.020583511
1.20E+03,0.0454,0.061,1.499570007,0.0025,1.06E-01,1.11E+02,1.20E+00,0.88131028,0.010714628
1.20E+03,0.0454,0.061,0.370023768,0.0025,1.06E-01,6.73E+00,1.20E+00,1.174663671,0.073282864
1.20E+03,0.0454,0.061,0.574510587,0.0025,1.06E-01,1.62E+01,1.20E+00,0.977478364,0.02382645
1.20E+03,0.0454,0.061,1.051646499,0.0025,1.06E-01,5.44E+01,1.20E+00,0.873642595,0.022964667
1.20E+03,0.0454,0.061,1.859856308,0.0025,1.06E-01,1.70E+02,1.20E+00,0.899377663,0.023711975
1.20E+03,0.0454,0.061,2.064343127,0.0025,1.06E-01,2.10E+02,1.20E+00,0.918968025,0.028002111
1.20E+03,0.0454,0.061,0.64267286,0.0025,1.06E-01,2.03E+01,1.20E+00,0.954929663,0.023512527
1.20E+03,0.0454,0.061,1.158758642,0.0025,1.06E-01,6.60E+01,1.20E+00,0.879542674,0.024257316
1.20E+03,0.0454,0.061,1.645632021,0.0025,1.06E-01,1.33E+02,1.20E+00,0.867600762,0.01506084
1.20E+03,0.0454,0.061,0.486873379,0.0025,1.06E-01,1.17E+01,1.20E+00,1.022817984,0.028421915
1.20E+03,0.0454,0.061,0.798472342,0.0025,1.06E-01,3.14E+01,1.20E+00,0.924580064,0.035027024
1.20E+03,0.0454,0.061,0.944534355,0.0025,1.06E-01,4.39E+01,1.20E+00,0.898277383,0.027678542
1.20E+03,0.0454,0.061,1.343770526,0.0025,1.06E-01,8.88E+01,1.20E+00,0.878255503,0.011384478
