rhod,etad,gamma,V0,D0,Oh,We,Bo,t1,t1err
1158,0.01,0.061,0.395973028,0.0025,0.0238,7.441319339,1.16,0.266852227,0.037869838
1158,0.01,0.061,0.509549037,0.0025,0.0238,12.32226951,1.16,0.29223183,0.055291472
1158,0.01,0.061,0.598951087,0.0025,0.0238,17.02556164,1.16,0.336030539,0.035405747
1158,0.01,0.061,0.686062797,0.0025,0.0238,22.33811243,1.16,0.249719912,0.041094648
1158,0.01,0.061,0.998252331,0.0025,0.0238,47.29327604,1.16,0.251822173,0.027926612
1158,0.01,0.061,0.843775179,0.0025,0.0238,33.78875774,1.16,0.200725558,0.085723117
1158,0.01,0.061,1.114243184,0.0025,0.0238,58.92216623,1.16,0.230593127,0.024475191
1158,0.01,0.061,1.243711468,0.0025,0.0238,73.41047109,1.16,0.187777407,0.026648082
1158,0.01,0.061,1.424597414,0.0025,0.0238,96.31701974,1.16,0.21351635,0.028682664
1158,0.01,0.061,1.600442293,0.0025,0.0238,121.5622618,1.16,0.226204529,0.028370713
1158,0.01,0.061,1.75208442,0.0025,0.0238,145.6896797,1.16,0.244032056,0.031601788
1158,0.01,0.061,1.955665979,0.0025,0.0238,181.5131504,1.16,0.21227863,0.018431661
