rhod,etad,gamma,V0,D0,Oh,We,Bo,t2,t2err,,,
1000,0.001,0.072,0.396853377,0.00205,2.60E-03,4.484164384,0.572,1.012682927,0.05239306,,,
1000,0.001,0.072,0.421270358,0.00205,2.60E-03,5.052928685,0.572,0.938888889,0.009979912,,,
1000,0.001,0.072,0.421305121,0.00205,2.60E-03,5.05376263,0.572,1.181265625,0.043573423,,,
1000,0.001,0.072,0.4302614,0.00205,2.60E-03,5.270916493,0.572,0.955337079,0.036717538,,,
1000,0.001,0.072,0.437452896,0.00205,2.60E-03,5.448587836,0.572,0.954589372,0.026279916,,,
1000,0.001,0.072,0.496066721,0.00205,2.60E-03,7.006506849,0.572,1.104878049,0.006453052,,,
1000,0.001,0.072,0.540090203,0.00205,2.60E-03,8.305273973,0.572,1.221536351,0.003143056,,,
1000,0.001,0.072,0.543261866,0.00205,2.60E-03,8.403105315,0.572,1.227296875,0.079983998,,,
1000,0.001,0.072,0.554810752,0.00205,2.60E-03,8.764176247,0.572,1.209400749,0.011460858,,,
1000,0.001,0.072,0.564083997,0.00205,2.60E-03,9.059597918,0.572,1.283586957,0.01414731,,,
1000,0.001,0.072,0.585358731,0.00205,2.60E-03,9.755860137,0.572,1.319105691,0.001661642,,,
1000,0.001,0.072,0.637306439,0.00205,2.60E-03,11.56426348,0.572,1.446268861,0.016166311,,,
1000,0.001,0.072,0.654131634,0.00205,2.60E-03,12.18292778,0.572,1.424296875,0.005645308,,,
1000,0.001,0.072,0.656714768,0.00205,2.60E-03,12.27933732,0.572,1.49105618,0.010025511,,,
1000,0.001,0.072,0.664729406,0.00205,2.60E-03,12.5808837,0.572,1.47154878,0.022386413,,,
1000,0.001,0.072,0.667691262,0.00205,2.60E-03,12.69324756,0.572,1.53742029,0.013257464,,,
1000,0.001,0.072,0.723720872,0.00205,2.60E-03,14.91294995,0.572,1.569399177,0.031461109,,,
1000,0.001,0.072,0.731740472,0.00205,2.60E-03,15.24528395,0.572,1.62525,0.050210598,,,
1000,0.001,0.072,0.747296115,0.00205,2.60E-03,15.90035474,0.572,1.648269663,0.036888652,,,
1000,0.001,0.072,0.759786609,0.00205,2.60E-03,16.43632175,0.572,1.612217391,0.060858578,,,
1000,0.001,0.072,0.823470757,0.00205,2.60E-03,19.30713027,0.572,1.791585366,0.023492233,,,
1000,0.001,0.072,0.885747933,0.00205,2.60E-03,22.33786488,0.572,2.010518519,0.049560154,,,
1000,0.001,0.072,0.909132102,0.00205,2.60E-03,23.53289468,0.572,2.034625,0.036689416,,,
1000,0.001,0.072,0.92845881,0.00205,2.60E-03,24.54407375,0.572,2.179910112,0.074894782,,,
1000,0.001,0.072,0.943977302,0.00205,2.60E-03,25.37140208,0.572,2.190231884,0.093253893,,,
1000,0.001,0.072,0.962369439,0.00205,2.60E-03,26.36968918,0.572,2.206868293,0.05463022,,,
1000,0.001,0.072,1.047774994,0.00205,2.60E-03,31.25772912,0.572,2.399851852,0.059435827,,,
1000,0.001,0.072,1.064349778,0.00205,2.60E-03,32.25448504,0.572,2.4765,0.118127976,,,
1000,0.001,0.072,1.081425452,0.00205,2.60E-03,33.29772315,0.572,2.621317073,0.113417047,,,
1000,0.001,0.072,1.086976167,0.00205,2.60E-03,33.64041995,0.572,2.576539326,0.09041106,,,
1000,0.001,0.072,1.105144158,0.00205,2.60E-03,34.77436668,0.572,2.61773913,0.032124521,,,
1000,0.001,0.072,1.166594838,0.00205,2.60E-03,38.74908625,0.572,2.623111111,0.014873956,,,
1000,0.001,0.072,1.190560131,0.00205,2.60E-03,40.35747945,0.572,2.684487805,0.015815714,,,
1000,0.001,0.072,1.1973935,0.00205,2.60E-03,40.82208263,0.572,2.76665625,0.073641058,,,
1000,0.001,0.072,1.222848188,0.00205,2.60E-03,42.57615649,0.572,2.885662921,0.018886033,,,
1000,0.001,0.072,1.243287178,0.00205,2.60E-03,44.01130784,0.572,2.883130435,0.019837239,,,
1000,0.001,0.072,1.285414683,0.00205,2.60E-03,47.04439389,0.572,2.982345679,0.021900583,,,
1000,0.001,0.072,1.319350246,0.00205,2.60E-03,49.56117216,0.572,3.043796875,0.024019426,,,
1000,0.001,0.072,1.347397541,0.00205,2.60E-03,51.69075378,0.572,3.228599251,0.046488994,,,
1000,0.001,0.072,1.369918279,0.00205,2.60E-03,53.43313874,0.572,3.173333333,0.008623188,,,
1000,0.001,0.072,1.379065485,0.00205,2.60E-03,54.14908753,0.572,3.254634146,0.049207223,,,
1000,0.001,0.072,1.49064896,0.00205,2.60E-03,63.26625501,0.572,3.681135802,0.310362051,,,
1000,0.001,0.072,1.527885501,0.00205,2.60E-03,66.46652658,0.572,3.566790244,0.018705215,,,
1000,0.001,0.072,1.562528241,0.00205,2.60E-03,69.51477403,0.572,3.752359551,0.024242598,,,
1000,0.001,0.072,1.588644727,0.00205,2.60E-03,71.85796866,0.572,3.772,0.019235384,,,
1000,0.001,0.072,1.663477825,0.00205,2.60E-03,78.78715101,0.572,3.965975309,0.047085153,,,
1000,0.001,0.072,1.676705517,0.00205,2.60E-03,80.04513685,0.572,3.991697561,0.017872355,,,
1000,0.001,0.072,1.707394436,0.00205,2.60E-03,83.00210148,0.572,4.05934375,0.034921726,,,
1000,0.001,0.072,1.77283542,0.00205,2.60E-03,89.48664066,0.572,4.272942029,0.019884446,,,
1000,0.001,0.072,1.825504886,0.00205,2.60E-03,94.88277197,0.572,4.382872428,0.016604196,,,
1000,0.001,0.072,1.873699089,0.00205,2.60E-03,99.95880504,0.572,4.493023438,0.024964034,,,
1000,0.001,0.072,1.894974875,0.00205,2.60E-03,102.2417505,0.572,4.55604878,0.016137644,,,
1000,0.001,0.072,1.913530961,0.00205,2.60E-03,104.2539099,0.572,4.718074906,0.013867433,,,
1000,0.001,0.072,1.945514195,0.00205,2.60E-03,107.7680867,0.572,4.783434783,0.021821243,,,
1000,0.001,0.072,2.063144575,0.00205,2.60E-03,121.1938799,0.572,4.999012346,0.022915881,,,
1000,0.001,0.072,2.103322897,0.00205,2.60E-03,125.9601775,0.572,5.193482927,0.038277387,,,
1000,0.001,0.072,2.117612579,0.00205,2.60E-03,127.6775031,0.572,5.133125,0.041540742,,,
1000,0.001,0.072,2.162629666,0.00205,2.60E-03,133.1636458,0.572,5.40093633,0.058772477,,,
1000,0.001,0.072,2.198776398,0.00205,2.60E-03,137.6523081,0.572,5.406130435,0.030715486,,,
1000,0.001,0.072,2.289982461,0.00205,2.60E-03,149.3088934,0.572,5.663802469,0.038722439,,,
1000,0.001,0.072,2.31167092,0.00205,2.60E-03,152.1505001,0.572,5.676107317,0.063587863,,,
1000,0.001,0.072,2.350439093,0.00205,2.60E-03,157.2966119,0.572,5.73228125,0.059255801,,,
1000,0.001,0.072,2.400405703,0.00205,2.60E-03,164.0554507,0.572,6.217078652,0.404047624,,,
1000,0.001,0.072,2.440526683,0.00205,2.60E-03,169.5854098,0.572,6.166434783,0.267101206,,,
1000,0.001,0.072,2.49025494,0.00205,2.60E-03,176.5667752,0.572,6.158682927,0.01935931,,,
1000,0.001,0.072,2.516820346,0.00205,2.60E-03,180.3540075,0.572,6.046493827,0.029240926,,,
1000,0.001,0.072,2.583265607,0.00205,2.60E-03,190.0025758,0.572,6.110789063,0.033192639,,,
1000,0.001,0.072,2.638181739,0.00205,2.60E-03,198.166749,0.572,6.464659176,0.140224138,,,
1000,0.001,0.072,2.639074956,0.00205,2.60E-03,198.3009595,0.572,6.389190244,0.026906797,,,
1000,0.001,0.072,2.682276967,0.00205,2.60E-03,204.846527,0.572,6.535818841,0.269709284,,,
1000,0.001,0.072,2.711252819,0.00205,2.60E-03,209.2962262,0.572,6.542526749,0.154178935,,,
1000,0.001,0.072,2.782831191,0.00205,2.60E-03,220.4931437,0.572,6.804453125,0.331624622,,,
1000,0.001,0.072,2.807737641,0.00205,2.60E-03,224.4576508,0.572,7.026682927,0.236502985,,,
1000,0.001,0.072,2.841989771,0.00205,2.60E-03,229.9674584,0.572,7.178411985,0.40601007,,,
1000,0.001,0.072,2.87327988,0.00205,2.60E-03,235.0591861,0.572,7.010139918,0.251364677,,,
1000,0.001,0.072,2.889491497,0.00205,2.60E-03,237.7191705,0.572,7.006173913,0.340735402,,,
1000,0.001,0.072,2.936714989,0.00205,2.60E-03,245.5528416,0.572,7.415882927,0.594161906,,,
1000,0.001,0.072,2.949135844,0.00205,2.60E-03,247.6343689,0.572,7.2069375,0.407664887,,,
