rhod,etad,gamma,V0,D0,Oh,We,Bo,t2,t2err,,,
1000,0.001,0.072,3.011829797,0.00205,2.60E-03,258.2749082,0.572,7.505782772,0.30533215,,,
1000,0.001,0.072,3.056910549,0.00205,2.60E-03,266.0644349,0.572,7.371975309,0.171557626,,,
1000,0.001,0.072,3.062170272,0.00205,2.60E-03,266.9808039,0.572,7.264884058,0.101401964,,,
1000,0.001,0.072,3.13761445,0.00205,2.60E-03,280.2983347,0.572,7.492867188,0.352486819,,,
1000,0.001,0.072,3.197334002,0.00205,2.60E-03,291.0699538,0.572,7.8178107,0.274060539,,,
1000,0.001,0.072,3.20431516,0.00205,2.60E-03,292.3424038,0.572,7.724734082,0.110760904,,,
1000,0.001,0.072,3.257872883,0.00205,2.60E-03,302.1966421,0.572,7.848123188,0.26357995,,,
1000,0.001,0.072,3.281745149,0.00205,2.60E-03,306.6415974,0.572,7.626625,0.043723988,,,
1000,0.001,0.072,3.351509849,0.00205,2.60E-03,319.8176035,0.572,8.148314607,0.327745069,,,
1000,0.001,0.072,3.407527821,0.00205,2.60E-03,330.5979722,0.572,8.159304348,0.304983505,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
