rhod,etad,gamma,V0,D0,Oh,We,Bo,t1,t1err
1220,0.0802,0.061,0.38571242,0.0025,0.186,7.438703543,1.23E+00,0.244330636,0.07090925
1220,0.0802,0.061,0.444676676,0.0025,0.186,9.886867315,1.23E+00,0.287947155,0.100019538
1220,0.0802,0.061,0.419537143,0.0025,0.186,8.800570735,1.23E+00,0.222869992,0.035145283
1220,0.0802,0.061,0.499565247,0.0025,0.186,12.47827181,1.23E+00,0.2098759,0.048711174
1220,0.0802,0.061,0.496345403,0.0025,0.186,12.31793794,1.23E+00,0.189562786,0.041700578
1220,0.0802,0.061,0.564869729,0.0025,0.186,15.95389051,1.23E+00,0.214157193,0.096350293
1220,0.0802,0.061,0.594858978,0.0025,0.186,17.69286017,1.23E+00,0.223879162,0.042895965
1220,0.0802,0.061,0.606510977,0.0025,0.186,18.39277824,1.23E+00,0.240287573,0.057938802
1220,0.0802,0.061,0.68137553,0.0025,0.186,23.21363066,1.23E+00,0.264073632,0.083904646
1220,0.0802,0.061,0.699228936,0.0025,0.186,24.44605528,1.23E+00,0.234025742,0.087147098
1220,0.0802,0.061,0.699228936,0.0025,0.186,24.44605528,1.23E+00,0.222315957,0.029620291
1220,0.0802,0.061,0.79063398,0.0025,0.186,31.25510448,1.23E+00,0.245907956,0.047116755
1220,0.0802,0.061,0.899787122,0.0025,0.186,40.48084322,1.23E+00,0.301150793,0.085959111
1220,0.0802,0.061,0.848918189,0.0025,0.186,36.03310461,1.23E+00,0.202774464,0.028813239
1220,0.0802,0.061,0.843446663,0.0025,0.186,35.57011364,1.23E+00,0.184496651,0.037794219
1220,0.0802,0.061,0.806120787,0.0025,0.186,32.49153613,1.23E+00,0.171234839,0.028217326
1220,0.0802,0.061,0.97869319,0.0025,0.186,47.89201803,1.23E+00,0.220453136,0.038937614
1220,0.0802,0.061,0.985042075,0.0025,0.186,48.51539449,1.23E+00,0.201708046,0.039190206
1220,0.0802,0.061,1.010852154,0.0025,0.186,51.09110388,1.23E+00,0.174866926,0.033964641
1220,0.0802,0.061,1.099497976,0.0025,0.186,60.44479001,1.23E+00,0.190201732,0.020110521
1220,0.0802,0.061,1.203675561,0.0025,0.186,72.44174278,1.23E+00,0.192086848,0.029667228
1220,0.0802,0.061,1.300792491,0.0025,0.186,84.60305528,1.23E+00,0.207585115,0.028270768
1220,0.0802,0.061,1.433280672,0.0025,0.186,102.7146743,1.23E+00,0.203406121,0.029947465
1220,0.0802,0.061,1.424042758,0.0025,0.186,101.3948889,1.23E+00,0.181044403,0.019145047
1220,0.0802,0.061,1.579263027,0.0025,0.186,124.7035854,1.23E+00,0.208276421,0.026141564
1220,0.0802,0.061,1.663106983,0.0025,0.186,138.2962418,1.23E+00,0.206836947,0.020042829
1220,0.0802,0.061,1.844385185,0.0025,0.186,170.0878355,1.23E+00,0.198091249,0.017988264
