rhod,etad,gamma,V0,D0,Oh,We,Bo,t2,t2err
1200,0.0454,0.061,0.3636699,0.00252,0.105706098,6.556418494,1.224273836,1.017710996,0.025605504
1200,0.0454,0.061,0.466703106,0.00252,0.105706098,10.79775162,1.224273836,1.297743741,0.032859932
1200,0.0454,0.061,0.558236808,0.00252,0.105706098,15.44859148,1.224273836,1.552268058,0.039304696
1200,0.0454,0.061,0.646706696,0.00252,0.105706098,20.73321573,1.224273836,1.786844469,0.045533741
1200,0.0454,0.061,0.730272817,0.00252,0.105706098,26.43761186,1.224273836,2.030642107,0.051417518
1200,0.0454,0.061,0.814155493,0.00252,0.105706098,32.85993248,1.224273836,2.263891504,0.057323584
1200,0.0454,0.061,0.937170196,0.00252,0.105706098,43.54004654,1.224273836,2.622621265,0.065984882
1200,0.0454,0.061,1.044818108,0.00252,0.105706098,54.11695265,1.224273836,2.905286345,0.073564225
1200,0.0454,0.061,1.157404416,0.00252,0.105706098,66.40827851,1.224273836,3.259650988,0.081491275
1200,0.0454,0.061,1.306961857,0.00252,0.105706098,84.6794011,1.224273836,3.680856446,0.092021411
1200,0.0454,0.061,1.485314663,0.00252,0.105706098,109.3676521,1.224273836,4.156574589,0.10457899
1200,0.0454,0.061,1.666550463,0.00252,0.105706098,137.6857165,1.224273836,4.663753396,0.117339557
1200,0.0454,0.061,1.7880268,0.00252,0.105706098,158.4893192,1.224273836,4.971898755,0.125892541
1200,0.0454,0.061,1.968070677,0.00252,0.105706098,192.0141939,1.224273836,5.472539979,0.138569186
1200,0.0454,0.061,2.194132816,0.00252,0.105706098,238.6589787,1.224273836,6.14016473,0.154485915
