rhod,etad,gamma,V0,D0,Oh,We,Bo,F2,F2err
1200,0.0454,0.061,1.797914662,0.00252,0.105706098,160.2470709,1.224273836,0.067149874,0.005596224
1200,0.0454,0.061,0.510650318,0.00252,0.105706098,12.92704217,1.224273836,0.327808594,0.018149557
1200,0.0454,0.061,0.702144187,0.00252,0.105706098,24.4401891,1.224273836,0.216399455,0.016573651
1200,0.0454,0.061,1.021300636,0.00252,0.105706098,51.70816866,1.224273836,0.135353455,0.007735861
1200,0.0454,0.061,1.148963216,0.00252,0.105706098,65.44315097,1.224273836,0.116978251,0.008283774
1200,0.0454,0.061,1.265987247,0.00252,0.105706098,79.45305734,1.224273836,0.106007481,0.003369283
1200,0.0454,0.061,1.468119665,0.00252,0.105706098,106.8500829,1.224273836,0.086790395,0.004997981
1200,0.0454,0.061,1.638336437,0.00252,0.105706098,133.0632517,1.224273836,0.073829504,0.003660714
1200,0.0454,0.061,2.031962724,0.00252,0.105706098,204.6837783,1.224273836,0.065483763,0.003183932
1200,0.0454,0.061,0.617035801,0.00252,0.105706098,18.87437927,1.224273836,0.25021048,0.009559612
1200,0.0454,0.061,0.87236096,0.00252,0.105706098,37.72631577,1.224273836,0.16054173,0.004170469
1200,0.0454,0.061,1.493607479,0.00252,0.105706098,110.5923053,1.224273836,0.068715333,0.005140927
1200,0.0454,0.061,0.572226242,0.00252,0.105706098,16.23257778,1.224273836,0.257575952,0.019148201
1200,0.0454,0.061,1.047464985,0.00252,0.105706098,54.39149302,1.224273836,0.122970862,0.003968558
1200,0.0454,0.061,1.852461224,0.00252,0.105706098,170.1179747,1.224273836,0.060992808,0.005020996
1200,0.0454,0.061,2.056134971,0.00252,0.105706098,209.5825842,1.224273836,0.061462156,0.002393004
1200,0.0454,0.061,0.640117491,0.00252,0.105706098,20.31287239,1.224273836,0.2287235,0.009133988
1200,0.0454,0.061,1.154151234,0.00252,0.105706098,66.03548806,1.224273836,0.107814501,0.005444866
1200,0.0454,0.061,1.639088727,0.00252,0.105706098,133.1854794,1.224273836,0.062557265,0.004649094
1200,0.0454,0.061,0.795297489,0.00252,0.105706098,31.35531542,1.224273836,0.174008243,0.015971482
1200,0.0454,0.061,0.940778737,0.00252,0.105706098,43.8759909,1.224273836,0.14228383,0.009395336
1200,0.0454,0.061,1.338427481,0.00252,0.105706098,88.80586361,1.224273836,0.097659713,0.008643124
1200,0.0454,0.061,0.620686634,0.00252,0.105706098,19.09838914,1.224273836,0.186049829,0.017687635
1200,0.0454,0.061,0.706298583,0.00252,0.105706098,24.73025657,1.224273836,0.141580379,0.015919003
1200,0.0454,0.061,1.648030028,0.00252,0.105706098,134.642508,1.224273836,0.030674734,0.001337016
1200,0.0454,0.061,0.877522482,0.00252,0.105706098,38.17406914,1.224273836,0.099120539,0.00569507
1200,0.0454,0.061,1.027343394,0.00252,0.105706098,52.32186514,1.224273836,0.07221254,0.003053465
1200,0.0454,0.061,1.155761318,0.00252,0.105706098,66.21986057,1.224273836,0.061657757,0.003574709
1200,0.0454,0.061,1.273477749,0.00252,0.105706098,80.396043,1.224273836,0.047553281,0.004853341
1200,0.0454,0.061,1.476806129,0.00252,0.105706098,108.1182291,1.224273836,0.038146266,0.002227787
1200,0.0454,0.061,0.524373191,0.00252,0.105706098,13.631163,1.224273836,0.275849749,0.01424882
1200,0.0454,0.061,0.759806052,0.00252,0.105706098,28.61919729,1.224273836,0.115707377,0.010045464
