rhod,etad,gamma,V0,D0,Oh,We,Bo,t1,t1err
1200,0.0454,0.061,0.384011386,0.0025,0.106,7.252364497,1.2,0.321124124,0.089700703
1200,0.0454,0.061,0.451387444,0.0025,0.106,10.0205225,1.2,0.27740887,0.060476712
1200,0.0454,0.061,0.503835921,0.0025,0.106,12.48445745,1.2,0.275362364,0.073168594
1200,0.0454,0.061,0.596077479,0.0025,0.106,17.4741817,1.2,0.304969037,0.077764351
1200,0.0454,0.061,0.584625924,0.0025,0.106,16.80921987,1.2,0.286235057,0.079370848
1200,0.0454,0.061,0.700661228,0.0025,0.106,24.14390933,1.2,0.263453006,0.029963096
1200,0.0454,0.061,0.797392935,0.0025,0.106,31.27059802,1.2,0.278625155,0.023056075
1200,0.0454,0.061,0.669654176,0.0025,0.106,22.05426472,1.2,0.214280159,0.03967701
1200,0.0454,0.061,0.823594538,0.0025,0.106,33.35940805,1.2,0.205383042,0.097652702
1200,0.0454,0.061,0.987059823,0.0025,0.106,47.91575869,1.2,0.218896685,0.020171233
1200,0.0454,0.061,0.987059823,0.0025,0.106,47.91575869,1.2,0.197539158,0.029627411
1200,0.0454,0.061,1.160242706,0.0025,0.106,66.20474441,1.2,0.206491964,0.026911396
1200,0.0454,0.061,1.087593737,0.0025,0.106,58.17344933,1.2,0.186593899,0.023116579
1200,0.0454,0.061,1.206141154,0.0025,0.106,71.54638445,1.2,0.199482734,0.024260169
1200,0.0454,0.061,1.40862468,0.0025,0.106,97.58476178,1.2,0.218092157,0.036060414
1200,0.0454,0.061,1.464348958,0.0025,0.106,105.458256,1.2,0.221786546,0.028185906
1200,0.0454,0.061,1.328988917,0.0025,0.106,86.86286275,1.2,0.195466853,0.03402176
1200,0.0454,0.061,1.542092062,0.0025,0.106,116.9531768,1.2,0.19731155,0.009447636
1200,0.0454,0.061,1.710179672,0.0025,0.106,143.8384185,1.2,0.214057183,0.029767586
1200,0.0454,0.061,1.710179672,0.0025,0.106,143.8384185,1.2,0.200386004,0.029767586
1200,0.0454,0.061,1.884364713,0.0025,0.106,174.6310019,1.2,0.208215426,0.028149426
1200,0.0454,0.061,1.93373885,0.0025,0.106,183.9022593,1.2,0.201496754,0.026070411
1200,0.0454,0.061,2.036402125,0.0025,0.106,203.9475549,1.2,0.198642125,0.029678151
1200,0.0454,0.061,2.144515851,0.0025,0.106,226.1777821,1.2,0.204636421,0.039019236
1200,0.0454,0.061,2.33257735,0.0025,0.106,267.5860866,1.2,0.19794034,0.026957255
