rhod,etad,gamma,V0,D0,Oh,We,Bo,t2,t2err
1188,0.0253,0.061,0.363171686,0.00252,0.059203463,6.473082037,1.21031098,1.030749806,0.025442252
1188,0.0253,0.061,0.463092277,0.00252,0.059203463,10.52500285,1.21031098,1.256975506,0.032442261
1188,0.0253,0.061,0.557472044,0.00252,0.059203463,15.25222957,1.21031098,1.552236175,0.039054103
1188,0.0253,0.061,0.641703199,0.00252,0.059203463,20.20949938,1.21031098,1.798199072,0.044954977
1188,0.0253,0.061,0.787450192,0.00252,0.059203463,30.43219887,1.21031098,2.206615467,0.055165387
1188,0.0253,0.061,0.91809952,0.00252,0.059203463,41.36820402,1.21031098,2.622405803,0.064318119
1188,0.0253,0.061,1.050081708,0.00252,0.059203463,54.11695265,1.21031098,3.018575814,0.073564225
1188,0.0253,0.061,1.14844971,0.00252,0.059203463,64.73082037,1.21031098,3.301345496,0.080455466
1188,0.0253,0.061,1.330457087,0.00252,0.059203463,86.87381405,1.21031098,3.898400359,0.093206123
1188,0.0253,0.061,1.483279838,0.00252,0.059203463,107.9775162,1.21031098,4.458451952,0.10391223
1188,0.0253,0.061,1.632637472,0.00252,0.059203463,130.8177474,1.21031098,4.907392076,0.114375586
1188,0.0253,0.061,1.843603559,0.00252,0.059203463,166.8100537,1.21031098,5.54151528,0.129154967
1188,0.0253,0.061,2.09518846,0.00252,0.059203463,215.443469,1.21031098,6.297730773,0.146779927
