rhod,etad,gamma,V0,D0,Oh,We,Bo,F1,F1err
1.22E+03,0.0802,0.061,0.618035422,0.0025,1.86E-01,1.91E+01,1.23E+00,0.947565214,0.023941635
1.22E+03,0.0802,0.061,0.703281687,0.0025,1.86E-01,2.47E+01,1.23E+00,0.926307794,0.028323193
1.22E+03,0.0802,0.061,1.640990603,0.0025,1.86E-01,1.35E+02,1.23E+00,0.873833423,0.0209474
1.22E+03,0.0802,0.061,0.394263976,0.0025,1.86E-01,7.77E+00,1.23E+00,1.076611415,0.039345367
1.22E+03,0.0802,0.061,0.873774217,0.0025,1.86E-01,3.82E+01,1.23E+00,0.901847259,0.026187721
1.22E+03,0.0802,0.061,1.022955181,0.0025,1.86E-01,5.23E+01,1.23E+00,0.902401996,0.01402989
1.22E+03,0.0802,0.061,1.150824579,0.0025,1.86E-01,6.62E+01,1.23E+00,0.881359286,0.015172606
1.22E+03,0.0802,0.061,1.268038193,0.0025,1.86E-01,8.04E+01,1.23E+00,0.882926759,0.017502409
1.22E+03,0.0802,0.061,1.470498073,0.0025,1.86E-01,1.08E+02,1.23E+00,0.864033861,0.024230521
1.22E+03,0.0802,0.061,0.522133374,0.0025,1.86E-01,1.36E+01,1.23E+00,0.971943279,0.037127835
1.22E+03,0.0802,0.061,0.756560603,0.0025,1.86E-01,2.86E+01,1.23E+00,0.924388783,0.027225806
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
