t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,1.99262,-4.06213,-0.976817,-4.04611,-0.977451,1.00005,0.0183072,0.0183072,0.00562064,-0.0531263
0.02,1.0,1.99483,-4.07537,-0.972811,-4.05806,-0.973233,1.00003,2.00162,0.0179473,0.00345354,-0.934748
0.03,1.0,1.98406,-4.0592,-0.968951,-4.04108,-0.969304,1.00005,1.99219,0.0177489,0.00430289,-0.949913
0.04,1.0,1.97313,-4.04183,-0.964805,-4.02512,-0.965121,1.0001,1.98263,0.0175986,0.00474072,-0.959786
0.05,1.0,1.96182,-4.02316,-0.960349,-4.00646,-0.960669,1.00013,1.973,0.0174713,0.00615084,-0.96637
0.06,1.0,1.95004,-4.00317,-0.955578,-3.98539,-0.955909,1.0002,1.96331,0.017359,0.00734862,-0.970898
0.07,1.0,1.93782,-3.98186,-0.950492,-3.96481,-0.950841,1.00029,1.95359,0.0172578,0.00918002,-0.973596
0.08,1.0,1.92508,-3.95924,-0.945093,-3.94239,-0.945471,1.00036,1.94384,0.0171656,0.0112691,-0.97536
0.09,1.0,1.91184,-3.93539,-0.939402,-3.91848,-0.939808,1.00051,1.93408,0.0170808,0.0130467,-0.976173
0.1,1.0,1.89817,-3.91048,-0.933457,-3.89487,-0.933903,1.00065,1.92432,0.0170022,0.015718,-0.976282
0.11,1.0,1.88406,-3.88446,-0.927246,-3.8676,-0.927739,1.0008,1.91456,0.0169288,0.0179375,-0.976071
0.12,1.0,1.86957,-3.85755,-0.920823,-3.8414,-0.92136,1.00101,1.9048,0.0168599,0.0211794,-0.975602
0.13,1.0,1.85467,-3.82975,-0.914189,-3.81424,-0.914777,1.00123,1.89505,0.016795,0.024565,-0.974695
0.14,1.0,1.83945,-3.80114,-0.907359,-3.78536,-0.907987,1.00148,1.8853,0.0165226,0.0269984,-0.97384
0.15,1.0,1.82391,-3.77175,-0.900344,-3.75675,-0.901047,1.00179,1.87557,0.0160844,0.0307554,-0.972687
0.16,1.0,1.8081,-3.74174,-0.893183,-3.72667,-0.893939,1.0021,1.86585,0.0156901,0.0348288,-0.97145
0.17,1.0,1.79211,-3.71152,-0.885975,-3.69692,-0.886535,1.00245,1.85614,0.015324,0.0375884,-0.970238
