t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02966,-4.10953,-0.981177,-4.10234,-0.98389,1.00003,2.01091,0.0150356,-0.000167882,-0.906444
0.02,1.0,2.02764,-4.10843,-0.980731,-4.09968,-0.982803,1.00015,2.0019,0.0129464,0.00560783,-0.906206
0.03,1.0,2.02365,-4.10227,-0.979318,-4.09158,-0.981097,1.0003,1.99283,0.0105718,0.00784135,-0.911774
0.04,1.0,2.01763,-4.09204,-0.976965,-4.08103,-0.978387,1.00045,1.98359,0.00896699,0.0109793,-0.935522
0.05,1.0,2.01089,-4.07963,-0.974119,-4.06874,-0.975287,1.0006,1.9741,0.0075915,0.0125388,-0.961518
0.06,1.0,2.00389,-4.06557,-0.970898,-4.05131,-0.971983,1.00066,1.96441,0.00585682,0.00846449,-0.972811
0.07,1.0,1.99647,-4.05006,-0.967355,-4.0374,-0.968188,1.00071,1.95466,0.00430648,0.00116984,-0.975374
0.08,1.0,1.98893,-4.03299,-0.963465,-4.01975,-0.96417,1.00067,1.9449,0.00250063,0.000903775,-0.978155
0.09,1.0,1.98152,-4.01455,-0.959268,-3.99968,-0.959877,1.00067,1.93507,0.000660024,-0.000769134,-0.987109
0.1,1.0,1.9747,-3.99396,-0.954571,-3.97981,-0.955041,1.00064,1.92519,0.000272217,0.00152075,-0.988325
0.11,1.0,1.97005,-3.9737,-0.949944,-3.95898,-0.950287,1.00069,1.91531,0.000104664,0.00686281,-0.988667
0.12,1.0,1.96617,-3.95309,-0.945248,-3.93842,-0.945547,1.00075,1.90542,3.11769e-05,0.0125238,-0.988953
0.13,1.0,1.96382,-3.9315,-0.940329,-3.9167,-0.940542,1.00092,1.89554,5.5224e-05,0.0160286,-0.988039
0.14,1.0,1.95933,-3.90789,-0.934955,-3.8912,-0.935145,1.00108,1.88566,2.2096e-05,0.0191144,-0.987957
0.15,1.0,1.95627,-3.884,-0.92952,-3.86829,-0.929688,1.00127,1.87578,1.51218e-05,0.0198399,-0.987487
0.16,1.0,1.95265,-3.85821,-0.923621,-3.84348,-0.923778,1.00149,1.86591,1.22926e-05,0.0219079,-0.985854
0.17,1.0,1.95176,-3.83762,-0.918973,-3.82249,-0.919109,1.00168,1.85606,4.41799e-06,0.0238314,-0.985141
0.18,1.0,1.95003,-3.81316,-0.913391,-3.79804,-0.913507,1.00195,1.84621,4.76819e-06,0.0250809,-0.984008
0.19,2.0,1.94587,-3.78671,-0.907269,-3.77058,-0.907554,1.00221,1.83638,3.85376e-06,0.0280141,-0.982489
0.2,2.0,1.94091,-3.75943,-0.900953,-3.7439,-0.901232,1.00249,1.82656,7.90223e-06,0.0302289,-0.981411
0.21,2.0,1.94409,-3.7343,-0.895185,-3.71874,-0.89529,1.00283,1.81675,4.88104e-06,0.0339618,-0.9806
0.22,2.0,1.94781,-3.70821,-0.88923,-3.69242,-0.889316,1.00318,1.80695,2.00065e-06,0.0380024,-0.979412
0.23,2.0,1.94257,-3.67884,-0.882557,-3.66382,-0.882668,1.00357,1.79716,1.07952e-06,0.0408017,-0.978523
0.24,2.0,1.94251,-3.64987,-0.875836,-3.63443,-0.875931,1.03248,1.78737,6.5831e-07,3.5631,-0.977765
0.25,2.0,1.94971,-3.6227,-0.869423,-3.60754,-0.869451,1.06292,1.7776,9.06075e-08,4.13216,-0.976854
0.26,2.0,1.93759,-3.59383,-0.862632,-3.5787,-0.862673,1.09406,1.76783,9.96336e-08,4.13022,-0.975701
0.27,4.0,1.93991,-3.56527,-0.855968,-3.54939,-0.857279,1.00558,1.75808,1.23532e-06,0.059218,-0.974674
0.28,3.0,1.93772,-3.53797,-0.849691,-3.52206,-0.850839,1.00619,1.74834,1.38265e-06,0.0648097,-0.973826
0.29,3.0,1.92812,-3.51346,-0.84423,-3.49498,-0.844675,1.01904,1.7386,1.36891e-06,3.43698,-0.972663
0.3,2.0,1.93044,-3.48424,-0.837667,-3.4672,-0.838347,1.05134,1.72888,2.69473e-06,3.95282,-0.971575
