t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02772,-4.10826,-0.98104,-4.10033,-0.983573,1.00003,2.01086,0.0151469,0.0180439,-0.915096
0.02,1.0,2.02532,-4.1074,-0.980483,-4.09738,-0.982306,1.00013,2.00168,0.0132208,-0.00113655,-0.925163
0.03,1.0,2.02071,-4.10062,-0.978919,-4.08849,-0.980324,1.00028,1.99234,0.0108247,0.00241332,-0.940499
0.04,1.0,2.01421,-4.0899,-0.976447,-4.07718,-0.977459,1.00043,1.98281,0.00929352,0.00780793,-0.9654
0.05,1.0,2.00691,-4.07685,-0.973443,-4.06372,-0.974218,1.00058,1.97308,0.00791646,0.0112822,-0.98011
0.06,1.0,1.99925,-4.06206,-0.970042,-4.04607,-0.970648,1.00067,1.96325,0.00625102,0.00849136,-0.985938
0.07,1.0,1.99121,-4.04577,-0.966304,-4.03124,-0.966699,1.00073,1.95339,0.00479184,0.00438309,-0.986972
0.08,1.0,1.98256,-4.02766,-0.962154,-4.01259,-0.962429,1.00073,1.94352,0.0033051,0.00162215,-0.986392
0.09,1.0,1.9741,-4.00851,-0.957773,-3.99181,-0.957926,1.00075,1.93367,0.00157395,0.00203329,-0.985512
0.1,1.0,1.96569,-3.98767,-0.953006,-3.97194,-0.953084,1.00077,1.92382,0.000323618,0.00437008,-0.984718
0.11,1.0,1.95768,-3.966,-0.948046,-3.94993,-0.94802,1.00082,1.91398,0.000216824,0.00798057,-0.983124
0.12,1.0,1.95193,-3.94505,-0.943258,-3.92918,-0.943199,1.00093,1.90415,3.02005e-05,0.0112787,-0.981958
0.13,1.0,1.94683,-3.92275,-0.938145,-3.90667,-0.938035,1.00103,1.89434,5.68821e-05,0.0144745,-0.980793
0.14,1.0,1.94353,-3.90071,-0.933111,-3.88304,-0.933001,1.00121,1.88454,3.34971e-05,0.0178676,-0.979484
0.15,1.0,1.93946,-3.87637,-0.927528,-3.86019,-0.927435,1.00141,1.87475,7.8135e-06,0.0211695,-0.978272
0.16,1.0,1.93604,-3.85301,-0.922202,-3.83774,-0.922125,1.0016,1.86497,1.96397e-05,0.0235049,-0.977044
0.17,1.0,1.93421,-3.82913,-0.916759,-3.8142,-0.916683,1.00188,1.85521,5.02908e-06,0.0264018,-0.975852
0.18,1.0,1.93229,-3.80398,-0.910981,-3.7882,-0.910873,1.00215,1.84546,8.44906e-06,0.0294439,-0.974815
0.19,2.0,1.93321,-3.77882,-0.905124,-3.76224,-0.90509,1.00244,1.83571,5.27383e-06,0.0316863,-0.973775
0.2,2.0,1.92809,-3.74956,-0.89822,-3.73416,-0.898273,1.00279,1.82598,5.1329e-06,0.0353046,-0.972631
0.21,2.0,1.91378,-3.71755,-0.89065,-3.70193,-0.890644,1.00314,1.81626,6.63752e-07,0.039237,-0.971466
0.22,2.0,1.89836,-3.68753,-0.883575,-3.67269,-0.883704,1.00355,1.80655,3.15898e-06,0.0420651,-0.970364
0.23,3.0,1.8801,-3.65429,-0.875724,-3.63966,-0.875964,1.004,1.79691,3.16357e-06,0.0463031,-0.969235
0.24,3.0,1.86568,-3.61885,-0.867335,-3.60462,-0.867652,1.00446,1.78717,2.80791e-06,0.0508516,-0.968056
0.25,3.0,1.85245,-3.58198,-0.85861,-3.56882,-0.859164,1.00499,1.77749,4.04016e-06,0.0541262,-0.966742
0.26,3.0,1.84151,-3.54404,-0.849602,-3.5314,-0.850234,1.00556,1.76783,3.23165e-06,0.0592744,-0.96555
0.27,3.0,1.832,-3.5059,-0.840544,-3.49307,-0.841179,1.00616,1.75818,2.51846e-06,0.0647492,-0.964228
0.28,3.0,1.82293,-3.46905,-0.831783,-3.45862,-0.832984,1.00683,1.74854,3.84731e-06,0.0683341,-0.962969
0.29,2.0,1.81404,-3.43272,-0.823162,-3.42159,-0.82427,1.00755,1.73892,1.70163e-06,0.0743211,-0.961591
0.3,2.0,1.80382,-3.39771,-0.814867,-3.38593,-0.81549,1.0083,1.72931,3.92356e-06,0.0807024,-0.960169
0.31,3.0,1.79324,-3.36349,-0.806763,-3.3546,-0.808432,1.00913,1.71971,2.64442e-06,0.0845217,-0.958737
0.32,3.0,1.78352,-3.33087,-0.799079,-3.31902,-0.800342,1.01003,1.71013,3.71168e-06,0.0911827,-0.957424
0.33,3.0,1.77373,-3.29613,-0.79083,-3.2858,-0.79204,1.01638,1.70056,3.33176e-06,1.58057,-0.95598
0.34,3.0,1.7641,-3.26441,-0.783279,-3.25244,-0.78442,1.03163,1.691,3.62444e-06,1.46696,-0.954593
0.35,3.0,1.75105,-3.2323,-0.775656,-3.22153,-0.776756,1.03942,1.68146,3.38938e-06,0.935326,-0.953158
0.36,2.0,1.74011,-3.19882,-0.767729,-3.18843,-0.769507,1.05032,1.67195,3.83794e-06,0.511353,-0.951667
0.37,2.0,1.72932,-3.16391,-0.759386,-3.15511,-0.761725,1.05435,1.66243,3.57133e-06,1.01121,-0.94996
0.38,2.0,1.72365,-3.13363,-0.75223,-3.12744,-0.754445,1.06478,1.65293,3.73177e-06,1.21283,-0.948537
0.39,2.0,1.71799,-3.10166,-0.744629,-3.09269,-0.746038,1.07896,1.64345,3.80575e-06,1.37049,-0.9471
0.4,2.0,1.70798,-3.07119,-0.737382,-3.06585,-0.739932,1.09388,1.63399,3.70883e-06,1.47567,-0.94557
0.41,2.0,1.70242,-3.03877,-0.729653,-3.03406,-0.732497,1.10663,1.62454,3.85881e-06,1.24813,-0.944261
0.42,2.0,1.69331,-3.00461,-0.721509,-2.99864,-0.723674,1.11678,1.6151,3.75131e-06,0.725448,-0.942593
0.43,3.0,1.68261,-2.97125,-0.713567,-2.97188,-0.718471,1.12555,1.60568,3.75468e-06,0.744469,-0.940855
0.44,2.0,1.67137,-2.93776,-0.705609,-2.93352,-0.708426,1.13087,1.59628,3.88435e-06,0.465936,-0.939119
0.45,2.0,1.66127,-2.90593,-0.698025,-2.89974,-0.700257,1.13395,1.5869,3.73556e-06,0.164228,-0.937309
0.46,2.0,1.65279,-2.87313,-0.69019,-2.86908,-0.693065,1.13522,1.57753,3.75502e-06,0.137776,-0.93549
0.47,2.0,1.64367,-2.83824,-0.681872,-2.83535,-0.684738,1.14468,1.56818,3.83942e-06,1.01901,-0.933389
0.48,2.0,1.63225,-2.80397,-0.673693,-2.80103,-0.676479,1.15126,1.55886,3.71473e-06,0.577443,-0.931497
0.49,2.0,1.63133,-2.77093,-0.665765,-2.76746,-0.668243,1.15854,1.54955,3.73757e-06,0.685471,-0.929824
0.5,2.0,1.61755,-2.74298,-0.659114,-2.73892,-0.661726,1.1693,1.54026,3.76967e-06,1.07323,-0.928115
0.51,2.0,1.61389,-2.71641,-0.652857,-2.71136,-0.655154,1.17984,1.53099,3.68248e-06,1.06532,-0.926397
0.52,2.0,1.60596,-2.67992,-0.644159,-2.67775,-0.647166,1.19009,1.52173,3.70491e-06,1.06098,-0.924216
0.53,2.0,1.5947,-2.64324,-0.635394,-2.64263,-0.638683,1.20012,1.5125,3.73516e-06,1.05621,-0.921648
0.54,2.0,1.58099,-2.61081,-0.627646,-2.60788,-0.630054,1.21024,1.5033,3.65074e-06,0.94533,-0.919078
0.55,2.0,1.5646,-2.57649,-0.619448,-2.5733,-0.621688,1.22018,1.49411,3.66247e-06,0.934853,-0.916908
0.56,2.0,1.5503,-2.54477,-0.611884,-2.5422,-0.614453,1.22994,1.48495,3.68177e-06,0.922457,-0.914832
0.57,2.0,1.53774,-2.51362,-0.604477,-2.50946,-0.606602,1.23952,1.47582,3.60418e-06,0.922783,-0.912569
0.58,2.0,1.5251,-2.48409,-0.597415,-2.48161,-0.599976,1.24893,1.4667,3.61104e-06,0.905186,-0.910322
0.59,2.0,1.51675,-2.45537,-0.590563,-2.45118,-0.592831,1.25822,1.45761,3.6271e-06,0.909524,-0.90805
0.6,2.0,1.50776,-2.42707,-0.583812,-2.42335,-0.586,1.26735,1.44854,3.55387e-06,0.905424,-0.905692
0.61,2.0,1.49831,-2.39753,-0.576758,-2.39321,-0.578643,1.27635,1.43949,3.55385e-06,0.891576,-0.90329
0.62,3.0,1.48742,-2.37016,-0.570226,-2.36929,-0.573214,1.28518,1.43047,3.57634e-06,0.889814,-0.900849
0.63,4.0,1.47494,-2.34255,-0.56364,-2.34161,-0.566891,1.29394,1.42147,3.49261e-06,0.881388,-0.898356
0.64,4.0,1.46247,-2.31458,-0.556967,-2.31164,-0.559651,1.30256,1.4125,3.47873e-06,0.878047,-0.895664
0.65,3.0,1.45126,-2.28593,-0.550125,-2.28209,-0.552058,1.31106,1.40356,3.50644e-06,0.862912,-0.893017
0.66,3.0,1.43508,-2.25959,-0.543832,-2.25376,-0.545382,1.31938,1.39464,3.42367e-06,0.857326,-0.890392
0.67,3.0,1.41724,-2.23509,-0.537992,-2.23262,-0.539921,1.32759,1.38575,3.40245e-06,0.843956,-0.88756
0.68,3.0,1.40059,-2.20888,-0.531742,-2.20384,-0.5331,1.33564,1.37689,3.42296e-06,0.842288,-0.884679
0.69,3.0,1.38454,-2.18312,-0.525583,-2.1791,-0.527191,1.34396,1.36806,3.36639e-06,0.811551,-0.88193
0.7,3.0,1.36969,-2.15668,-0.519252,-2.15268,-0.520872,1.35167,1.35926,3.33432e-06,0.750937,-0.879334
0.71,3.0,1.35556,-2.1308,-0.513067,-2.12756,-0.514856,1.35964,1.35048,3.34354e-06,0.807861,-0.876455
0.72,2.0,1.34282,-2.10401,-0.506655,-2.10199,-0.508642,1.36742,1.34173,3.31469e-06,0.755345,-0.873558
0.73,2.0,1.32946,-2.0768,-0.500133,-2.07529,-0.502367,1.37524,1.33301,3.26928e-06,0.764303,-0.870624
0.74,2.0,1.31549,-2.05102,-0.493961,-2.04804,-0.495836,1.38305,1.32432,3.26364e-06,0.764129,-0.867521
0.75,2.0,1.3017,-2.02413,-0.487524,-2.02124,-0.489108,1.39078,1.31566,3.26462e-06,0.766384,-0.864466
0.76,2.0,1.28766,-1.99703,-0.481042,-1.99398,-0.482611,1.39847,1.30703,3.19975e-06,0.758726,-0.861254
0.77,2.0,1.27222,-1.97111,-0.474832,-1.9692,-0.476887,1.40606,1.29844,3.17646e-06,0.759196,-0.858139
0.78,2.0,1.26015,-1.94618,-0.468845,-1.9418,-0.469804,1.41364,1.28987,3.17834e-06,0.772293,-0.855038
0.79,2.0,1.24679,-1.92201,-0.463052,-1.91887,-0.464446,1.42334,1.28134,3.12335e-06,1.10612,-0.851904
0.8,2.0,1.23643,-1.90031,-0.457864,-1.89636,-0.458933,1.43384,1.27284,3.0831e-06,1.05816,-0.84923
0.81,2.0,1.22641,-1.88209,-0.453517,-1.87678,-0.454266,1.444,1.26436,3.07269e-06,1.00383,-0.846011
0.82,2.0,1.21126,-1.85689,-0.447489,-1.85288,-0.448572,1.4539,1.25592,3.05537e-06,0.959368,-0.842835
0.83,2.0,1.19855,-1.83576,-0.442437,-1.8311,-0.443371,1.46349,1.24751,2.99802e-06,0.929778,-0.839963
0.84,2.0,1.18498,-1.81279,-0.436946,-1.80851,-0.437909,1.47284,1.23913,2.97478e-06,0.885149,-0.836574
0.85,2.0,1.17223,-1.78992,-0.431479,-1.78585,-0.43241,1.48171,1.23078,2.97454e-06,0.835675,-0.83372
0.86,2.0,1.1609,-1.76767,-0.426165,-1.76338,-0.426957,1.49003,1.22247,2.93192e-06,0.78686,-0.830611
0.87,2.0,1.14728,-1.74459,-0.42065,-1.74022,-0.421585,1.49795,1.21418,2.89558e-06,0.759953,-0.827385
0.88,2.0,1.13527,-1.72265,-0.415409,-1.71819,-0.416131,1.50602,1.20592,2.88508e-06,0.866588,-0.824271
0.89,2.0,1.12336,-1.69959,-0.409895,-1.69548,-0.410904,1.5147,1.1977,2.89225e-06,0.881429,-0.821098
0.9,2.0,1.11152,-1.67666,-0.404411,-1.67236,-0.405258,1.52355,1.18951,2.84361e-06,0.875605,-0.817487
0.91,2.0,1.10055,-1.65598,-0.399464,-1.65217,-0.400255,1.53229,1.18135,2.81973e-06,0.841533,-0.814616
0.92,2.0,1.08947,-1.63483,-0.394406,-1.63121,-0.395264,1.54065,1.17323,2.81619e-06,0.806273,-0.811343
0.93,1.0,1.07816,-1.61231,-0.389012,-1.6084,-0.389794,1.54872,1.16514,2.82763e-06,0.780204,-0.807722
0.94,1.0,1.06681,-1.59104,-0.383919,-1.58724,-0.384794,1.55656,1.15708,2.78534e-06,0.761976,-0.804145
0.95,1.0,1.05555,-1.56924,-0.378697,-1.56492,-0.379405,1.56428,1.14906,2.76662e-06,0.745655,-0.801017
0.96,1.0,1.04492,-1.54793,-0.373588,-1.54439,-0.37435,1.57186,1.14107,2.76583e-06,0.731719,-0.797695
0.97,1.0,1.03389,-1.52867,-0.368979,-1.52497,-0.369566,1.57934,1.13312,2.77831e-06,0.716472,-0.794196
0.98,1.0,1.02289,-1.50859,-0.364165,-1.50478,-0.364808,1.58666,1.1252,2.75114e-06,0.701049,-0.790876
0.99,1.0,1.01162,-1.48829,-0.359297,-1.48532,-0.360221,1.59406,1.11732,2.73316e-06,0.695898,-0.787641
1.0,1.0,1.00024,-1.46832,-0.354507,-1.46521,-0.355036,1.60087,1.10946,2.73173e-06,0.666189,-0.783944
1.01,1.0,0.988903,-1.4485,-0.349755,-1.44614,-0.350701,1.60776,1.10165,2.74321e-06,0.711757,-0.780277
1.02,2.0,0.977823,-1.42679,-0.344538,-1.42252,-0.345271,1.61455,1.09387,2.74032e-06,0.697145,-0.776808
1.03,2.0,0.967623,-1.40738,-0.339879,-1.4041,-0.340726,1.62126,1.08613,2.719e-06,0.685288,-0.773285
1.04,2.0,0.957081,-1.3867,-0.334912,-1.38374,-0.335817,1.62787,1.07842,2.71421e-06,0.672369,-0.769542
1.05,2.0,0.946656,-1.36572,-0.329871,-1.36292,-0.330858,1.63439,1.07075,2.72252e-06,0.660504,-0.765648
