t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.00095,-4.07611,-0.977773,-4.05976,-0.978645,0.99999,2.01087,0.0178272,0.00184407,-0.910959
0.02,1.0,2.00074,-4.08288,-0.974601,-4.06587,-0.975108,1.00003,2.00164,0.0173457,0.00384265,-0.932814
0.03,1.0,1.99155,-4.0688,-0.971243,-4.05084,-0.971649,1.00005,1.99221,0.0171207,0.00411622,-0.949573
0.04,1.0,1.98208,-4.05325,-0.96753,-4.03656,-0.96788,1.00009,1.98265,0.0169668,0.00409349,-0.961716
0.05,1.0,1.97211,-4.03612,-0.963441,-4.01901,-0.963799,1.00013,1.97299,0.016842,0.00523077,-0.969821
0.06,1.0,1.96163,-4.01749,-0.958996,-3.99957,-0.959375,1.00018,1.96326,0.016734,0.00633073,-0.974909
0.07,1.0,1.95066,-3.99741,-0.954205,-3.97995,-0.954614,1.00026,1.9535,0.0166375,0.00800702,-0.97753
0.08,1.0,1.93918,-3.976,-0.949095,-3.9594,-0.949547,1.00033,1.94371,0.0165122,0.00993542,-0.978656
0.09,1.0,1.92721,-3.9533,-0.943676,-3.93601,-0.944178,1.00045,1.93393,0.0157197,0.0115159,-0.978605
0.1,1.0,1.91494,-3.93008,-0.938146,-3.91287,-0.938472,1.00058,1.92414,0.0149837,0.0142,-0.978075
0.11,1.0,1.90221,-3.90526,-0.932249,-3.8882,-0.932484,1.00071,1.91436,0.0143001,0.0171739,-0.977491
0.12,1.0,1.88905,-3.87947,-0.926127,-3.86356,-0.926332,1.00091,1.9046,0.0137058,0.0190588,-0.975922
0.13,1.0,1.8754,-3.8526,-0.919753,-3.83761,-0.919948,1.00111,1.89484,0.0131548,0.0222784,-0.97526
0.14,1.0,1.86142,-3.82493,-0.913191,-3.80927,-0.91336,1.00132,1.88509,0.0126786,0.0245223,-0.974146
0.15,1.0,1.84703,-3.79633,-0.90641,-3.78139,-0.906536,1.00161,1.87536,0.0122632,0.027792,-0.97246
