t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,1.98661,-4.0546,-0.975303,-4.03754,-0.975764,1.00005,0.0187102,0.0187102,0.0050282,-0.038305
0.02,1.0,1.98655,-4.06527,-0.9704,-4.04794,-0.970683,1.00003,2.00131,0.0184305,0.00345999,-0.956834
0.03,1.0,1.97299,-4.04564,-0.965715,-4.02704,-0.965956,1.00005,1.99167,0.0182548,0.00469085,-0.969417
0.04,1.0,1.95933,-4.02509,-0.960812,-4.00812,-0.961025,1.00011,1.98195,0.018113,0.00576816,-0.974899
0.05,1.0,1.94535,-4.00343,-0.955642,-3.98687,-0.955854,1.00015,1.97219,0.0179899,0.00764727,-0.97682
0.06,1.0,1.93096,-3.9806,-0.950194,-3.96275,-0.950405,1.00025,1.96241,0.0178796,0.00931042,-0.977243
0.07,1.0,1.91613,-3.95656,-0.944456,-3.93959,-0.944692,1.00035,1.95264,0.0177794,0.0119573,-0.976941
0.08,1.0,1.90078,-3.93132,-0.938431,-3.91463,-0.938678,1.00046,1.94288,0.0176873,0.0139634,-0.976162
0.09,1.0,1.88499,-3.90497,-0.932143,-3.88866,-0.932413,1.00064,1.93312,0.0176019,0.0167142,-0.975154
0.1,1.0,1.86871,-3.87749,-0.925584,-3.86193,-0.925888,1.00081,1.92338,0.0175225,0.0196553,-0.974081
0.11,1.0,1.85199,-3.84901,-0.918786,-3.83302,-0.919116,1.001,1.91364,0.017448,0.0218683,-0.972922
0.12,1.0,1.83488,-3.81963,-0.911772,-3.80376,-0.912144,1.00126,1.90392,0.0173777,0.0252931,-0.971564
0.13,1.0,1.81732,-3.78926,-0.904524,-3.7742,-0.904928,1.00152,1.89421,0.0173114,0.0290652,-0.970376
0.14,1.0,1.79942,-3.75814,-0.897096,-3.74325,-0.897539,1.00181,1.88452,0.0172486,0.0317253,-0.968938
0.15,1.0,1.78115,-3.72625,-0.889485,-3.71162,-0.889964,1.00217,1.87484,0.0171888,0.0360313,-0.966939
0.16,1.0,1.76253,-3.69357,-0.881684,-3.67927,-0.882199,1.00254,1.86517,0.0171318,0.0407657,-0.965843
0.17,1.0,1.74365,-3.6603,-0.873745,-3.64606,-0.874312,1.00295,1.85552,0.0170774,0.0439251,-0.964355
0.18,1.0,1.7245,-3.62645,-0.865664,-3.61242,-0.86628,1.00344,1.84589,0.0170253,0.0491906,-0.962509
0.19,1.0,1.70513,-3.59208,-0.857459,-3.57675,-0.858102,1.00395,1.83627,0.0169752,0.0550147,-0.960896
0.2,1.0,1.68558,-3.55727,-0.849152,-3.54365,-0.849871,1.0045,1.82667,0.0169271,0.0586658,-0.959045
0.21,1.0,1.66582,-3.52199,-0.84073,-3.50835,-0.841489,1.00514,1.81709,0.0168808,0.0650163,-0.957175
0.22,1.0,1.6459,-3.48632,-0.832215,-3.47267,-0.833034,1.00583,1.80753,0.016836,0.0720471,-0.955484
0.23,1.0,1.62583,-3.4503,-0.823618,-3.43727,-0.824453,1.00656,1.79798,0.0167928,0.0796914,-0.954191
0.24,1.0,1.60565,-3.41398,-0.814951,-3.3997,-0.815801,1.00738,1.78845,0.0167511,0.0837526,-0.951694
0.25,1.0,1.58538,-3.37741,-0.80622,-3.36371,-0.807131,1.00828,1.77894,0.0167106,0.0921426,-0.949753
0.26,1.0,1.56503,-3.34061,-0.797438,-3.32695,-0.798391,1.00924,1.76946,0.0166714,0.101207,-0.94817
0.27,1.0,1.54466,-3.30368,-0.788623,-3.29013,-0.789594,1.01027,1.75998,0.0166333,0.110966,-0.946226
0.28,1.0,1.52424,-3.26657,-0.779764,-3.25316,-0.780801,1.01141,1.75054,0.0165962,0.115588,-0.943223
0.29,1.0,1.50382,-3.22936,-0.770884,-3.21497,-0.7719,1.01265,1.74111,0.0164542,0.12624,-0.941692
0.3,1.0,1.48337,-3.19206,-0.761979,-3.17818,-0.763041,1.01399,1.7317,0.0163152,0.137677,-0.940329
0.31,1.0,1.46294,-3.15467,-0.753054,-3.13914,-0.754127,1.01543,1.72231,0.0161783,0.149954,-0.937021
0.32,1.0,1.44256,-3.11727,-0.744127,-3.1051,-0.745339,1.01696,1.71296,0.0160543,0.162976,-0.934782
0.33,1.0,1.42221,-3.07985,-0.735196,-3.06738,-0.736415,1.01862,1.70362,0.0159333,0.176996,-0.933037
0.34,1.0,1.40189,-3.04241,-0.72626,-3.03115,-0.727487,1.02042,1.6943,0.0158206,0.191945,-0.93042
0.35,1.0,1.38162,-3.00497,-0.717323,-2.99282,-0.718587,1.02238,1.68501,0.0157146,0.207848,-0.927586
0.36,1.0,1.36144,-2.96765,-0.708413,-2.95558,-0.709584,1.02451,1.67575,0.0156106,0.224855,-0.925685
0.37,1.0,1.34135,-2.93041,-0.699528,-2.91852,-0.700543,1.02683,1.66649,0.0155127,0.243036,-0.924106
0.38,1.0,1.32132,-2.89316,-0.690639,-2.87974,-0.69154,1.02937,1.65727,0.0154168,0.26243,-0.920429
0.39,1.0,1.30142,-2.85604,-0.681784,-2.84418,-0.682771,1.03212,1.64808,0.0153275,0.282534,-0.917882
0.4,1.0,1.28162,-2.81904,-0.672958,-2.80807,-0.673825,1.03516,1.63891,0.0152393,0.320307,-0.916037
0.41,1.0,1.26185,-2.78206,-0.664134,-2.77092,-0.664978,1.03856,1.62976,0.0151548,0.362565,-0.913427
0.42,1.0,1.24219,-2.74518,-0.655337,-2.73412,-0.656279,1.04243,1.62065,0.0150759,0.410178,-0.909791
0.43,1.0,1.22265,-2.70848,-0.646583,-2.69663,-0.647464,1.04708,1.61156,0.0150019,0.512199,-0.907719
0.44,1.0,1.20327,-2.67197,-0.637874,-2.66199,-0.638653,1.05364,1.60249,0.0149264,0.760443,-0.905721
0.45,1.0,1.18396,-2.63554,-0.629184,-2.62407,-0.630046,1.0614,1.59346,0.0148553,0.780867,-0.901011
0.46,1.0,1.16484,-2.59936,-0.620555,-2.5902,-0.621352,1.06935,1.58446,0.0147879,0.797526,-0.898521
0.47,1.0,1.1458,-2.56335,-0.611964,-2.55244,-0.612777,1.07743,1.57549,0.014724,0.804234,-0.896442
0.48,1.0,1.12696,-2.52754,-0.603422,-2.51776,-0.604175,1.08542,1.56653,0.0146616,0.800901,-0.893354
0.49,1.0,1.10821,-2.49192,-0.594925,-2.48162,-0.595782,1.09349,1.55762,0.0145996,0.798406,-0.889432
0.5,1.0,1.08966,-2.45653,-0.586484,-2.44764,-0.587244,1.10143,1.54874,0.0145404,0.793192,-0.887134
0.51,1.0,1.0712,-2.42135,-0.578092,-2.41158,-0.5789,1.1094,1.53988,0.0144838,0.782837,-0.884755
0.52,1.0,1.05296,-2.38639,-0.569753,-2.37785,-0.57049,1.11706,1.53106,0.0144297,0.777542,-0.879809
0.53,1.0,1.03482,-2.35167,-0.561469,-2.34216,-0.562265,1.12482,1.52227,0.0143778,0.764121,-0.876842
0.54,1.0,1.01687,-2.31715,-0.553236,-2.30901,-0.553939,1.13245,1.51352,0.0143263,0.756761,-0.874473
0.55,1.0,0.99906,-2.28292,-0.54507,-2.27368,-0.545824,1.14001,1.50479,0.0142754,0.745368,-0.871774
0.56,1.0,0.981444,-2.24891,-0.536956,-2.24076,-0.537612,1.14742,1.49609,0.0142265,0.737503,-0.866661
0.57,1.0,0.963945,-2.21514,-0.5289,-2.20688,-0.529592,1.15476,1.48744,0.0141794,0.726269,-0.863693
0.58,1.0,0.946655,-2.18163,-0.520906,-2.17445,-0.521531,1.16196,1.47882,0.0141341,0.717784,-0.861316
0.59,1.0,0.929511,-2.14844,-0.512988,-2.14046,-0.513689,1.16908,1.47022,0.0140903,0.706856,-0.858403
0.6,1.0,0.912543,-2.11546,-0.505119,-2.10793,-0.505675,1.17608,1.46167,0.0140481,0.697769,-0.852788
0.61,1.0,0.895705,-2.08271,-0.497306,-2.07476,-0.497938,1.18298,1.45317,0.0140071,0.687335,-0.849878
0.62,1.0,0.879048,-2.05022,-0.489555,-2.04336,-0.490138,1.18978,1.44467,0.0139654,0.677661,-0.846714
0.63,1.0,0.862542,-2.018,-0.481867,-2.01078,-0.482436,1.19646,1.43622,0.0139251,0.667621,-0.841635
0.64,1.0,0.846228,-1.98611,-0.474258,-1.97911,-0.474927,1.20317,1.42782,0.0138862,0.649419,-0.838033
0.65,1.0,0.830099,-1.95447,-0.466708,-1.94788,-0.467214,1.20955,1.41946,0.0138484,0.647655,-0.835239
0.66,1.0,0.814114,-1.92309,-0.45922,-1.9162,-0.459811,1.21594,1.41112,0.0138119,0.636906,-0.832013
0.67,1.0,0.798345,-1.892,-0.451801,-1.88572,-0.452347,1.22223,1.40282,0.0137765,0.627632,-0.826912
0.68,1.0,0.782725,-1.86121,-0.444455,-1.85479,-0.445,1.22842,1.39458,0.0137421,0.617598,-0.822895
0.69,1.0,0.767288,-1.8307,-0.437175,-1.8243,-0.437768,1.23453,0.0155517,0.0137087,0.60802,-0.00213989
0.7,1.0,0.752041,-1.80049,-0.429965,-1.7939,-0.430473,1.24051,0.0155323,0.0136763,0.598079,-0.00213747
0.71,1.0,0.736937,-1.7705,-0.42281,-1.76424,-0.423373,1.24641,1.37006,0.0136444,0.587742,-0.810378
0.72,1.0,0.722036,-1.74087,-0.415738,-1.73506,-0.416222,1.25223,1.36197,0.0136122,0.578459,-0.806616
0.73,1.0,0.707335,-1.71158,-0.408748,-1.70544,-0.409236,1.25792,1.35392,0.013581,0.568908,-0.80353
0.74,1.0,0.692773,-1.68251,-0.401811,-1.67718,-0.402381,1.26355,1.34591,0.0135506,0.558572,-0.799933
0.75,1.0,0.678435,-1.65378,-0.394954,-1.6481,-0.395363,1.26908,1.33794,0.013521,0.549851,-0.79367
0.76,1.0,0.664262,-1.62536,-0.388171,-1.61981,-0.388686,1.2745,1.33002,0.0134922,0.540391,-0.789993
0.77,1.0,0.650259,-1.59719,-0.381449,-1.59173,-0.381992,1.27986,1.32214,0.0134642,0.530352,-0.786182
0.78,1.0,0.636454,-1.56932,-0.374797,-1.56393,-0.375223,1.2851,1.3143,0.0134369,0.52181,-0.782535
0.79,1.0,0.622824,-1.54179,-0.368225,-1.53682,-0.368704,1.29026,1.30651,0.0134104,0.512699,-0.776481
0.8,1.0,0.609379,-1.51456,-0.361727,-1.50926,-0.362183,1.29535,1.29877,0.0133845,0.502954,-0.772565
0.81,1.0,0.596125,-1.48762,-0.355295,-1.48273,-0.355702,1.30034,1.29106,0.0133592,0.494678,-0.769135
0.82,1.0,0.583051,-1.461,-0.348943,-1.45607,-0.349415,1.30523,1.28339,0.0133346,0.485859,-0.765309
0.83,1.0,0.570147,-1.43468,-0.342659,-1.42989,-0.343124,1.31006,1.27577,0.0133107,0.476538,-0.759001
0.84,1.0,0.557423,-1.40861,-0.336436,-1.40382,-0.336769,1.3148,1.2682,0.0132873,0.468341,-0.754921
0.85,1.0,0.544867,-1.38287,-0.330291,-1.37838,-0.330689,1.31944,1.26067,0.0132643,0.459768,-0.75091
0.86,1.0,0.532486,-1.35743,-0.32422,-1.35291,-0.324659,1.32401,1.25318,0.0132411,0.450986,-0.746828
0.87,1.0,0.520299,-1.33229,-0.318218,-1.32721,-0.318592,1.32852,1.24575,0.0132184,0.442867,-0.740851
0.88,1.0,0.508273,-1.30743,-0.312284,-1.30323,-0.312595,1.33291,1.23836,0.0131963,0.434612,-0.736528
0.89,1.0,0.496426,-1.28288,-0.306423,-1.27873,-0.306775,1.33724,1.23102,0.0131746,0.426403,-0.732785
0.9,1.0,0.484758,-1.25861,-0.300629,-1.25437,-0.301088,1.3415,1.22371,0.0131535,0.417887,-0.728772
0.91,1.0,0.473271,-1.23463,-0.294904,-1.23022,-0.295235,1.34567,1.21645,0.0131329,0.410323,-0.723277
0.92,1.0,0.461955,-1.21099,-0.28926,-1.207,-0.289575,1.34976,1.20924,0.0131128,0.402383,-0.717637
0.93,1.0,0.450804,-1.18761,-0.283679,-1.18355,-0.28397,1.35377,1.20209,0.0130932,0.394457,-0.713603
0.94,1.0,0.439829,-1.16455,-0.278173,-1.1605,-0.278547,1.35773,1.19497,0.0130739,0.386393,-0.709378
