t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02895,-4.1089,-0.981209,-4.10143,-0.98385,1.00003,2.01082,0.0149327,0.0174142,-0.923656
0.02,1.0,2.02703,-4.10866,-0.980789,-4.09904,-0.982738,1.00014,2.00151,0.0126388,-0.0112907,-0.938849
0.03,1.0,2.0225,-4.10228,-0.979329,-4.09042,-0.980826,1.00032,1.99201,0.0100703,0.0224253,-0.962877
0.04,1.0,2.01595,-4.09177,-0.976917,-4.07951,-0.977945,1.00051,1.98227,0.00838757,0.02298,-0.984143
0.05,1.0,2.00863,-4.07898,-0.973983,-4.06559,-0.974785,1.00065,1.9724,0.00694202,0.0206635,-0.987579
0.06,1.0,2.00127,-4.06465,-0.970707,-4.04885,-0.971256,1.00082,1.96253,0.00526908,0.00892594,-0.987014
0.07,1.0,1.99387,-4.04906,-0.967155,-4.03432,-0.967489,1.00087,1.95267,0.00369386,0.00573065,-0.986318
0.08,1.0,1.98652,-4.03176,-0.963218,-4.0162,-0.963406,1.00091,1.94281,0.00169997,0.00474469,-0.985172
0.09,1.0,1.9795,-4.01263,-0.958867,-3.99599,-0.958931,1.00095,1.93297,0.000425445,0.00515997,-0.983605
0.1,1.0,1.97322,-3.99134,-0.954011,-3.97502,-0.953988,1.00099,1.92313,0.000229749,0.00793984,-0.982788
0.11,1.0,1.9706,-3.96827,-0.948697,-3.95145,-0.948612,1.00111,1.91331,5.97349e-05,0.0117606,-0.981055
0.12,2.0,1.96494,-3.94629,-0.943656,-3.92966,-0.943663,1.00122,1.90351,0.000103836,0.0144361,-0.979866
0.13,1.0,1.95854,-3.92285,-0.938316,-3.9066,-0.938248,1.00137,1.89371,2.43416e-05,0.0168741,-0.978581
0.14,2.0,1.95301,-3.89832,-0.932689,-3.88035,-0.932718,1.00157,1.88393,4.6052e-05,0.0192511,-0.977417
0.15,2.0,1.94587,-3.87475,-0.927315,-3.85778,-0.927423,1.00174,1.87416,1.42448e-05,0.0216918,-0.976329
0.16,2.0,1.94165,-3.85099,-0.921899,-3.8351,-0.922008,1.00198,1.8644,8.44113e-06,0.0239444,-0.975123
0.17,2.0,1.94132,-3.82728,-0.916505,-3.81151,-0.916631,1.00223,1.85466,9.72625e-06,0.0266691,-0.974083
0.18,2.0,1.93757,-3.80337,-0.911064,-3.78741,-0.911266,1.00247,1.84492,1.90869e-06,0.0289169,-0.972886
0.19,2.0,1.93375,-3.77855,-0.90545,-3.76244,-0.905805,1.00281,1.83519,6.13125e-06,0.0320611,-0.971812
0.2,2.0,1.93321,-3.75409,-0.899881,-3.73824,-0.900237,1.00313,1.82548,6.74294e-06,0.0353157,-0.970738
0.21,2.0,1.93878,-3.72902,-0.894084,-3.7132,-0.894276,1.00348,1.81578,2.62098e-06,0.0377849,-0.969458
0.22,3.0,1.9407,-3.70012,-0.88734,-3.68331,-0.887561,1.00389,1.80609,4.18969e-06,0.0417124,-0.968225
0.23,4.0,1.93808,-3.66933,-0.880168,-3.65345,-0.880662,1.0043,1.79641,1.48026e-06,0.0459969,-0.966884
0.24,6.0,1.92661,-3.63873,-0.873053,-3.6228,-0.873667,1.00477,1.78675,3.29901e-06,0.0490137,-0.965627
0.25,4.0,1.91526,-3.60951,-0.866238,-3.59499,-0.866915,1.0053,1.7771,3.15958e-06,0.0535209,-0.964254
0.26,3.0,1.90702,-3.58045,-0.859428,-3.56585,-0.860259,1.00581,1.76746,2.65712e-06,0.0582185,-0.962937
0.27,5.0,1.90073,-3.55137,-0.852607,-3.53551,-0.853435,1.00643,1.75783,1.5816e-06,0.0614502,-0.961538
0.28,4.0,1.89089,-3.5195,-0.845058,-3.50553,-0.84596,1.00707,1.74822,1.63099e-06,0.0667522,-0.960112
0.29,5.0,1.88219,-3.4847,-0.83673,-3.47087,-0.837855,1.00771,1.73863,3.78442e-06,0.0724053,-0.958579
0.3,4.0,1.86798,-3.44754,-0.827896,-3.43275,-0.828624,1.00848,1.72905,2.34664e-06,0.0758793,-0.9572
0.31,4.0,1.85785,-3.40925,-0.818772,-3.39587,-0.819755,1.00927,1.71948,4.2577e-06,0.0821059,-0.955501
0.32,3.0,1.83931,-3.37182,-0.809898,-3.35698,-0.810718,1.01131,1.70993,2.03515e-06,0.971097,-0.953988
0.33,3.0,1.82194,-3.33427,-0.80091,-3.32099,-0.801686,1.02169,1.7004,4.35086e-06,1.1235,-0.952442
0.34,3.0,1.80882,-3.29751,-0.792067,-3.28444,-0.79319,1.03339,1.69088,2.04943e-06,1.09665,-0.95076
0.35,3.0,1.79708,-3.2647,-0.784252,-3.25257,-0.785647,1.04358,1.68138,4.24914e-06,1.00046,-0.949162
0.36,3.0,1.78398,-3.23305,-0.776776,-3.21925,-0.777699,1.05331,1.67192,1.97382e-06,0.93048,-0.9474
