t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02945,-4.10946,-0.981111,-4.1022,-0.983807,1.00003,2.01094,0.0151367,0.00117538,-0.902974
0.02,1.0,2.02724,-4.10795,-0.980614,-4.09919,-0.982684,1.00015,2.00204,0.0132399,0.0108572,-0.894304
0.03,1.0,2.02331,-4.10161,-0.979152,-4.09086,-0.980968,1.00027,1.99313,0.010851,0.0111094,-0.892741
0.04,1.0,2.01749,-4.09144,-0.976813,-4.08093,-0.978267,1.00039,1.98415,0.00932999,0.0140676,-0.906607
0.05,1.0,2.01084,-4.07897,-0.973945,-4.06819,-0.975235,1.00049,1.97491,0.00798583,0.0143133,-0.944773
0.06,1.0,2.00391,-4.0649,-0.970719,-4.05144,-0.971919,1.00057,1.96536,0.00626013,0.00225815,-0.966404
0.07,1.0,1.99653,-4.04926,-0.967138,-4.03697,-0.968149,1.00055,1.9557,0.00475606,-0.00643256,-0.960562
0.08,1.0,1.98867,-4.03193,-0.963175,-4.01985,-0.964049,1.00052,1.94628,0.00320967,-0.00777773,-0.91696
0.09,1.0,1.98101,-4.01351,-0.958972,-3.99956,-0.959795,1.00045,1.93724,0.00145698,-0.00545709,-0.885575
0.1,1.0,1.9735,-3.9934,-0.954384,-3.97998,-0.955104,1.00041,1.92836,0.000296005,0.00337776,-0.889553
0.11,1.0,1.96713,-3.97292,-0.949707,-3.95911,-0.950285,1.00046,1.91915,0.000203883,0.0104271,-0.956123
0.12,1.0,1.96197,-3.95174,-0.944873,-3.93846,-0.945428,1.00061,1.90921,4.76936e-05,0.0135788,-1.04169
0.13,1.0,1.95775,-3.93042,-0.940009,-3.91701,-0.940469,1.00079,1.89849,3.80512e-05,0.0190807,-1.11635
0.14,1.0,1.95421,-3.90754,-0.934784,-3.89247,-0.935237,1.00099,1.88736,3.1943e-05,0.0224315,-1.11765
0.15,1.0,1.95163,-3.88396,-0.929376,-3.86996,-0.929826,1.00117,1.87634,7.37697e-06,0.0238747,-1.08183
0.16,1.0,1.9492,-3.86189,-0.924349,-3.84846,-0.92476,1.00141,1.86582,1.74341e-05,0.0211191,-1.01376
0.17,1.0,1.94613,-3.83802,-0.918909,-3.82413,-0.919303,1.00164,1.85586,3.29808e-06,0.0237995,-0.97593
0.18,1.0,1.94454,-3.81365,-0.913323,-3.79868,-0.913645,1.00186,1.84614,8.19908e-06,0.0244068,-0.968315
0.19,1.0,1.94318,-3.78931,-0.907656,-3.77527,-0.907977,1.00215,1.83634,2.88962e-06,0.0271087,-0.992952
0.2,1.0,1.93891,-3.76037,-0.90089,-3.7465,-0.901156,1.00242,1.82632,6.09821e-06,0.0307917,-1.01128
0.21,2.0,1.92888,-3.73,-0.893735,-3.71688,-0.894318,1.00272,1.81619,2.82093e-06,0.0305263,-1.01441
0.22,2.0,1.91664,-3.6994,-0.886487,-3.68614,-0.887066,1.00308,1.8061,1.46705e-06,0.0351074,-1.00167
0.23,2.0,1.89747,-3.66868,-0.879227,-3.65553,-0.879979,1.00345,1.79617,3.79781e-06,0.0401618,-0.981715
0.24,3.0,1.87943,-3.63455,-0.87117,-3.62151,-0.871886,1.00384,1.78646,3.5686e-06,0.0427516,-0.956021
0.25,2.0,1.86701,-3.59721,-0.862353,-3.58455,-0.863213,1.00433,1.77697,2.45671e-06,0.048299,-0.940675
0.26,2.0,1.85817,-3.55741,-0.852903,-3.54461,-0.853647,1.00483,1.76758,3.47634e-06,0.0542921,-0.93673
0.27,2.0,1.85248,-3.51718,-0.843317,-3.50526,-0.844417,1.00537,1.75817,1.61684e-06,0.0567635,-0.945483
