t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.00144,-4.07601,-0.977716,-4.06002,-0.978653,0.99999,0.0180474,0.0180474,0.00191132,-0.0850153
0.02,1.0,2.00153,-4.08267,-0.974551,-4.06594,-0.975104,1.00003,2.00174,0.0175337,0.00414672,-0.925863
0.03,1.0,1.99262,-4.06861,-0.971198,-4.05086,-0.971654,1.00005,1.9924,0.017268,0.00424886,-0.941488
0.04,1.0,1.98336,-4.05316,-0.967509,-4.03665,-0.967899,1.0001,1.98292,0.0170798,0.00408392,-0.953263
0.05,1.0,1.97367,-4.03614,-0.963448,-4.01945,-0.963841,1.00013,1.97334,0.0169316,0.00503974,-0.961371
0.06,1.0,1.96343,-4.01778,-0.959067,-4.00017,-0.959479,1.00018,1.9637,0.0168045,0.00618198,-0.967773
0.07,1.0,1.95265,-3.99785,-0.954309,-3.98065,-0.954745,1.00026,1.954,0.0166942,0.00766927,-0.972093
0.08,1.0,1.94137,-3.97664,-0.949248,-3.96013,-0.949718,1.00032,1.94426,0.0165956,0.00945371,-0.975238
0.09,1.0,1.92962,-3.95414,-0.943878,-3.93708,-0.944395,1.00044,1.9345,0.0165084,0.0112157,-0.97697
0.1,1.0,1.91741,-3.93064,-0.938267,-3.91374,-0.938826,1.00056,1.92473,0.0157858,0.0134564,-0.977704
0.11,1.0,1.90494,-3.90647,-0.93251,-3.88959,-0.932885,1.00069,1.91495,0.0150506,0.0154094,-0.978047
0.12,1.0,1.89198,-3.88096,-0.926448,-3.86525,-0.926755,1.00088,1.90517,0.0144096,0.0181507,-0.977784
0.13,1.0,1.87859,-3.85438,-0.920134,-3.83943,-0.920424,1.00106,1.89539,0.0138194,0.0213291,-0.977232
0.14,1.0,1.86481,-3.82689,-0.913611,-3.81136,-0.913845,1.00128,1.88562,0.0133081,0.0238283,-0.976646
0.15,1.0,1.85077,-3.7987,-0.906921,-3.78339,-0.907093,1.00155,1.87587,0.0128637,0.027396,-0.975271
0.16,1.0,1.83648,-3.77002,-0.900119,-3.75447,-0.900295,1.00182,1.86612,0.0124663,0.0311378,-0.974025
0.17,1.0,1.82197,-3.74057,-0.893135,-3.72619,-0.893319,1.00214,1.85638,0.0121107,0.0337486,-0.972898
0.18,1.0,1.80718,-3.7106,-0.886025,-3.69649,-0.886152,1.00251,1.84666,0.0117951,0.0379071,-0.971266
0.19,1.0,1.79231,-3.68018,-0.878807,-3.66494,-0.878915,1.00289,1.83696,0.0115148,0.0423871,-0.970114
0.2,1.0,1.77727,-3.6494,-0.871505,-3.63489,-0.871639,1.00333,1.82726,0.011269,0.0453407,-0.968729
0.21,1.0,1.7621,-3.61825,-0.864113,-3.60377,-0.864235,1.00382,1.81758,0.0110514,0.0502881,-0.967325
0.22,1.0,1.7468,-3.58654,-0.856588,-3.57168,-0.856682,1.00433,1.80792,0.0108472,0.0556082,-0.966214
0.23,1.0,1.73137,-3.55466,-0.849021,-3.54097,-0.849131,1.0049,1.79826,0.0106712,0.058906,-0.965041
0.24,1.0,1.7159,-3.52262,-0.841415,-3.5081,-0.841506,1.00553,1.78861,0.0104994,0.0647718,-0.96418
0.25,1.0,1.70035,-3.49009,-0.833692,-3.47662,-0.833806,1.0062,1.77898,0.0103533,0.0710639,-0.963016
