t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02011,-4.10242,-0.979983,-4.09158,-0.981815,1.00002,2.01094,0.0162987,0.0113139,-0.896143
0.02,1.0,2.01586,-4.09922,-0.978505,-4.08578,-0.979728,1.00008,2.00196,0.0147302,0.00599006,-0.900064
0.03,1.0,2.00998,-4.08993,-0.976304,-4.07478,-0.977204,1.00016,1.9929,0.0139524,0.00840367,-0.912363
0.04,1.0,2.00343,-4.07831,-0.973561,-4.06371,-0.974174,1.00021,1.9837,0.0132874,0.00776498,-0.926457
0.05,1.0,1.99606,-4.06426,-0.970269,-4.04945,-0.97076,1.00028,1.97435,0.0125579,0.0047345,-0.940893
0.06,1.0,1.98809,-4.04843,-0.966571,-4.03144,-0.966993,1.00031,1.9649,0.0109602,0.00236133,-0.949455
0.07,1.0,1.97935,-4.03057,-0.962402,-4.01493,-0.962716,1.00033,1.95537,0.00949666,0.00257567,-0.954662
0.08,1.0,1.97015,-4.01135,-0.957919,-3.99597,-0.958159,1.00033,1.94579,0.00828519,0.00176683,-0.960479
0.09,1.0,1.96068,-3.99092,-0.953156,-3.97441,-0.953365,1.00037,1.93614,0.00726319,0.00510654,-0.970191
0.1,1.0,1.95099,-3.96945,-0.948148,-3.9533,-0.948275,1.00042,1.9264,0.00647691,0.00714376,-0.979938
0.11,1.0,1.94113,-3.94694,-0.942897,-3.93149,-0.943,1.00052,1.91657,0.00581615,0.0105087,-0.985426
0.12,1.0,1.93133,-3.92354,-0.937438,-3.90815,-0.937494,1.00063,1.9067,0.00528878,0.0135018,-0.98829
0.13,1.0,1.92183,-3.90015,-0.93198,-3.88499,-0.931995,1.00077,1.89681,0.00481597,0.0158425,-0.990071
0.14,1.0,1.91274,-3.87607,-0.92636,-3.85993,-0.926339,1.00096,1.8869,0.00442382,0.018959,-0.991155
0.15,1.0,1.90398,-3.85122,-0.92055,-3.8357,-0.920516,1.00116,1.87699,0.00409175,0.0221912,-0.990878
0.16,1.0,1.89487,-3.826,-0.914648,-3.81095,-0.914584,1.00138,1.86708,0.00380669,0.0238631,-0.989865
0.17,1.0,1.88283,-3.79753,-0.907977,-3.78365,-0.907919,1.00165,1.85719,0.00356293,0.0274732,-0.987694
0.18,1.0,1.86848,-3.76552,-0.900448,-3.75065,-0.900337,1.00193,1.84732,0.00336047,0.0313009,-0.985329
0.19,1.0,1.85474,-3.7344,-0.893116,-3.71894,-0.892992,1.00225,1.83748,0.00319455,0.0334934,-0.982838
0.2,1.0,1.84181,-3.70481,-0.886137,-3.69037,-0.886039,1.00262,1.82766,0.00305877,0.0375519,-0.979957
0.21,1.0,1.82921,-3.67544,-0.879213,-3.66139,-0.879131,1.003,1.81787,0.00293483,0.0418072,-0.977837
0.22,1.0,1.81681,-3.64614,-0.8723,-3.63234,-0.872109,1.00343,1.8081,0.0028292,0.0441614,-0.97564
0.23,1.0,1.80476,-3.61697,-0.865419,-3.60397,-0.865269,1.00391,1.79835,0.00273798,0.0488159,-0.973998
0.24,1.0,1.79272,-3.5872,-0.858397,-3.57349,-0.858214,1.00441,1.78862,0.00265704,0.0539233,-0.972504
0.25,1.0,1.78082,-3.55746,-0.851376,-3.54453,-0.851225,1.00495,1.7789,0.00258518,0.0567091,-0.971125
0.26,1.0,1.76891,-3.52739,-0.844279,-3.5139,-0.844103,1.00557,1.7692,0.00252443,0.0622391,-0.969555
0.27,1.0,1.75706,-3.49694,-0.83709,-3.48295,-0.836917,1.00622,1.7595,0.00246466,0.068098,-0.968481
0.28,1.0,1.74517,-3.46642,-0.829883,-3.4529,-0.829741,1.00691,1.74982,0.00241586,0.0742848,-0.967375
0.29,1.0,1.7333,-3.43569,-0.822618,-3.42256,-0.822491,1.00767,1.74016,0.00236815,0.0774973,-0.966048
0.3,1.0,1.72141,-3.40477,-0.815308,-3.39109,-0.815153,1.0085,1.7305,0.00232493,0.0841572,-0.965179
0.31,1.0,1.70953,-3.37366,-0.80795,-3.36061,-0.807801,1.00937,1.72085,0.00228812,0.0912239,-0.964809
0.32,1.0,1.69766,-3.34245,-0.800564,-3.32785,-0.800335,1.0103,1.71121,0.0022492,0.0987051,-0.963249
0.33,1.0,1.6858,-3.31134,-0.7932,-3.29817,-0.79297,1.01131,1.70158,0.00221551,0.102253,-0.962067
0.34,1.0,1.67385,-3.27992,-0.785762,-3.26489,-0.785526,1.0124,1.69196,0.00218341,0.110309,-0.961398
0.35,1.0,1.66196,-3.24846,-0.778308,-3.23396,-0.778013,1.01356,1.68235,0.0021524,0.118893,-0.960046
0.36,1.0,1.65013,-3.21706,-0.77087,-3.20162,-0.770518,1.01739,1.67276,0.00212458,1.36033,-0.95842
0.37,1.0,1.63827,-3.1856,-0.763413,-3.1722,-0.763172,1.03131,1.66318,0.00209594,1.33469,-0.957513
0.38,1.0,1.62643,-3.15399,-0.755917,-3.14221,-0.755827,1.04429,1.65361,0.00207023,1.30934,-0.956217
0.39,1.0,1.61451,-3.1225,-0.748448,-3.11034,-0.748428,1.05733,1.64406,0.00204543,1.28646,-0.954479
0.4,1.0,1.60275,-3.09116,-0.741012,-3.08033,-0.74089,1.07009,1.63452,0.00202122,1.2617,-0.953082
0.41,1.0,1.59075,-3.05953,-0.733507,-3.04724,-0.733239,1.08259,1.62503,0.00199919,1.24085,-0.951919
0.42,1.0,1.57905,-3.028,-0.726022,-3.01624,-0.725856,1.09486,1.61549,0.00197879,1.21906,-0.949754
0.43,1.0,1.56716,-2.99628,-0.718488,-2.98392,-0.71851,1.10688,1.606,0.00195751,1.19944,-0.948093
0.44,1.0,1.55534,-2.9648,-0.71101,-2.95205,-0.710892,1.11868,1.59653,0.00193795,1.1831,-0.946625
0.45,1.0,1.54361,-2.93339,-0.703546,-2.91971,-0.703314,1.13029,1.58707,0.00191986,1.16771,-0.944764
0.46,1.0,1.5318,-2.90183,-0.696046,-2.89022,-0.69577,1.14188,1.57763,0.00190309,1.13489,-0.94275
0.47,1.0,1.52017,-2.87052,-0.688603,-2.86038,-0.68866,1.15332,1.56822,0.00188629,1.11586,-0.940982
0.48,1.0,1.5084,-2.83913,-0.681139,-2.82823,-0.680979,1.16454,1.55882,0.00186956,1.09935,-0.939138
0.49,1.0,1.49666,-2.80771,-0.673663,-2.79652,-0.673535,1.17558,1.54944,0.00185395,1.08489,-0.93688
0.5,1.0,1.48508,-2.77661,-0.666257,-2.76437,-0.666249,1.18644,1.54008,0.00183932,1.06623,-0.934424
0.51,1.0,1.47345,-2.74539,-0.658834,-2.7359,-0.658718,1.19708,1.53074,0.00182557,1.0522,-0.933057
0.52,1.0,1.46185,-2.71435,-0.65144,-2.70434,-0.65132,1.20755,1.52142,0.00181263,1.03967,-0.931189
