t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02039,-4.10274,-0.979993,-4.09198,-0.981845,1.00002,2.01095,0.0162983,0.0114336,-0.893103
0.02,1.0,2.0161,-4.09933,-0.978532,-4.08602,-0.979785,1.00008,2.00202,0.0147252,0.00597439,-0.894038
0.03,1.0,2.01032,-4.09012,-0.97635,-4.07506,-0.977289,1.00016,1.99303,0.0139444,0.00834088,-0.904185
0.04,1.0,2.00388,-4.0786,-0.97363,-4.06417,-0.974285,1.0002,1.98392,0.0132934,0.00764934,-0.916653
0.05,1.0,1.99662,-4.06465,-0.970362,-4.05027,-0.970893,1.00028,1.97467,0.01257,0.00470984,-0.932119
0.06,1.0,1.98876,-4.04893,-0.96669,-4.03209,-0.967158,1.0003,1.96531,0.0109604,0.00210603,-0.939875
0.07,1.0,1.98014,-4.03117,-0.962546,-4.01576,-0.962916,1.00032,1.95589,0.00950158,0.00228156,-0.943222
0.08,1.0,1.97105,-4.01206,-0.95809,-3.99691,-0.958386,1.00032,1.94644,0.00828588,0.00116627,-0.946196
0.09,1.0,1.96171,-3.99174,-0.953352,-3.97568,-0.953616,1.00037,1.93694,0.00725818,0.00486136,-0.95393
0.1,1.0,1.95213,-3.97037,-0.948369,-3.95404,-0.948565,1.0004,1.92734,0.00646686,0.00695926,-0.966136
0.11,1.0,1.94237,-3.94791,-0.94313,-3.93273,-0.943297,1.00051,1.91761,0.00580543,0.0108301,-0.9817
0.12,1.0,1.93271,-3.92461,-0.937694,-3.90983,-0.937809,1.00062,1.90773,0.0052753,0.0142841,-0.995263
0.13,1.0,1.92331,-3.90129,-0.932254,-3.8864,-0.932332,1.00078,1.89773,0.00480154,0.0163754,-1.00597
0.14,1.0,1.91439,-3.87739,-0.926676,-3.86171,-0.926722,1.00097,1.88766,0.00440849,0.0199297,-1.00835
0.15,1.0,1.90576,-3.85255,-0.920868,-3.83739,-0.920901,1.00117,1.87758,0.00407531,0.0233452,-1.00699
0.16,1.0,1.8963,-3.82715,-0.914926,-3.81235,-0.914924,1.00141,1.86754,0.0037897,0.0245189,-1.0028
0.17,1.0,1.88412,-3.79846,-0.908203,-3.78462,-0.908199,1.00168,1.85754,0.00354722,0.0282543,-0.996528
0.18,1.0,1.86985,-3.76647,-0.900678,-3.75197,-0.900628,1.00196,1.8476,0.0033467,0.0321364,-0.991079
0.19,1.0,1.85655,-3.73569,-0.893423,-3.72049,-0.893356,1.00229,1.83771,0.0031808,0.0338841,-0.986533
0.2,1.0,1.8439,-3.7067,-0.88659,-3.69238,-0.886546,1.00266,1.82787,0.00304519,0.037917,-0.982346
0.21,1.0,1.8316,-3.67761,-0.879732,-3.66378,-0.879704,1.00304,1.81806,0.00292225,0.0421941,-0.978998
0.22,1.0,1.81947,-3.64849,-0.872865,-3.63493,-0.872731,1.00347,1.80828,0.00281629,0.0442078,-0.975794
0.23,1.0,1.80762,-3.61939,-0.866001,-3.60662,-0.865906,1.00395,1.79853,0.00272608,0.0488016,-0.972588
0.24,1.0,1.79583,-3.5898,-0.859021,-3.5764,-0.8589,1.00445,1.78882,0.00264465,0.0537869,-0.969358
0.25,1.0,1.78408,-3.56015,-0.852023,-3.54751,-0.851931,1.00499,1.77914,0.00257378,0.0562049,-0.967079
0.26,1.0,1.77237,-3.53019,-0.844952,-3.51652,-0.844827,1.0056,1.76947,0.00251217,0.0615578,-0.964867
0.27,1.0,1.76073,-3.49989,-0.837796,-3.48614,-0.837685,1.00623,1.75983,0.00245342,0.0673078,-0.963015
0.28,1.0,1.74901,-3.46933,-0.830582,-3.45607,-0.830505,1.0069,1.7502,0.00240547,0.0734451,-0.962047
