t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.00871,-4.08702,-0.978675,-4.07297,-0.97988,1.00001,0.0174429,0.0174429,0.00742772,-0.124063
0.02,1.0,2.00709,-4.08947,-0.976176,-4.07396,-0.976912,1.00004,2.00191,0.016716,0.00512863,-0.910361
0.03,1.0,1.99951,-4.07728,-0.973267,-4.06026,-0.973889,1.00007,1.99272,0.0164041,0.00515533,-0.925985
0.04,1.0,1.99152,-4.06343,-0.969962,-4.04746,-0.9705,1.00011,1.98339,0.0162181,0.00386758,-0.938248
0.05,1.0,1.98306,-4.04791,-0.966257,-4.03149,-0.966802,1.00016,1.97396,0.0160833,0.00419312,-0.947886
0.06,1.0,1.97406,-4.03084,-0.962183,-4.01323,-0.962756,1.00018,1.96444,0.0159719,0.00514336,-0.955803
0.07,1.0,1.96465,-4.01276,-0.957881,-3.99619,-0.958287,1.00025,1.95485,0.0148512,0.00602579,-0.962374
0.08,1.0,1.95462,-3.99281,-0.953154,-3.97678,-0.953502,1.0003,1.94519,0.0137797,0.00721513,-0.968253
0.09,1.0,1.94407,-3.97145,-0.948105,-3.95464,-0.94837,1.0004,1.93549,0.0128311,0.00939503,-0.972958
0.1,1.0,1.93297,-3.9488,-0.942757,-3.93229,-0.942975,1.00049,1.92574,0.0119624,0.0113845,-0.976365
0.11,1.0,1.92145,-3.92501,-0.937146,-3.90865,-0.937297,1.00061,1.91596,0.0112116,0.0135722,-0.978786
0.12,1.0,1.90964,-3.90025,-0.931306,-3.88429,-0.931402,1.00077,1.90617,0.0105709,0.0159933,-0.979853
0.13,1.0,1.89745,-3.87455,-0.925243,-3.85985,-0.925325,1.00092,1.89637,0.0100289,0.0188128,-0.980227
0.14,1.0,1.88505,-3.84816,-0.919018,-3.83188,-0.919031,1.00113,1.88656,0.00955269,0.0211028,-0.980231
0.15,1.0,1.87239,-3.82106,-0.912623,-3.80532,-0.912605,1.00136,1.87676,0.00914721,0.0242764,-0.979544
0.16,1.0,1.8595,-3.79327,-0.906064,-3.77802,-0.905992,1.00159,1.86697,0.00880632,0.0266037,-0.978712
0.17,1.0,1.84644,-3.765,-0.899389,-3.75089,-0.899272,1.0019,1.85719,0.0085103,0.0302449,-0.97771
0.18,1.0,1.83317,-3.73608,-0.892559,-3.72131,-0.892444,1.00221,1.84742,0.00824594,0.0342187,-0.976506
0.19,1.0,1.81964,-3.70644,-0.885554,-3.69084,-0.885396,1.00255,1.83766,0.00801789,0.0368823,-0.975278
0.2,1.0,1.80597,-3.67646,-0.878467,-3.66234,-0.878292,1.00297,1.82791,0.0078229,0.0413432,-0.973764
0.21,1.0,1.79228,-3.64626,-0.871323,-3.63181,-0.871125,1.0034,1.81818,0.00764308,0.0460879,-0.972423
0.22,1.0,1.77859,-3.61587,-0.864075,-3.60147,-0.86389,1.00385,1.80846,0.00748205,0.0489872,-0.971188
0.23,1.0,1.7646,-3.58491,-0.856803,-3.57039,-0.856623,1.00439,1.79875,0.00733979,0.0540977,-0.969646
0.24,1.0,1.75081,-3.55395,-0.849471,-3.53891,-0.849296,1.00496,1.78906,0.00720866,0.0595699,-0.968413
0.25,1.0,1.73694,-3.52273,-0.842077,-3.50843,-0.841922,1.00556,1.77938,0.00708942,0.0653326,-0.967017
0.26,1.0,1.72305,-3.49134,-0.834639,-3.47742,-0.834502,1.00623,1.76972,0.00698454,0.0685788,-0.965742
0.27,1.0,1.7091,-3.45968,-0.827135,-3.44568,-0.826994,1.00696,1.76007,0.00688061,0.0748887,-0.964806
0.28,1.0,1.69512,-3.42792,-0.819605,-3.41367,-0.819484,1.00774,1.75042,0.00679,0.0816027,-0.963643
0.29,1.0,1.68111,-3.39599,-0.812034,-3.38145,-0.811877,1.00855,1.74079,0.00670544,0.0887544,-0.963161
0.3,1.0,1.66715,-3.36405,-0.804456,-3.35034,-0.804295,1.00948,1.73116,0.00662304,0.0924392,-0.961937
0.31,1.0,1.65317,-3.33181,-0.796806,-3.31769,-0.79663,1.01045,1.72155,0.00654964,0.100236,-0.960882
0.32,1.0,1.63923,-3.29977,-0.789171,-3.28494,-0.788918,1.01149,1.71195,0.0064823,0.108485,-0.959749
0.33,1.0,1.62517,-3.26723,-0.781479,-3.25378,-0.781235,1.0126,1.70236,0.00641359,0.117435,-0.958512
0.34,1.0,1.61125,-3.23489,-0.7738,-3.21906,-0.773521,1.0138,1.69278,0.00635135,0.121452,-0.957034
0.35,1.0,1.59726,-3.20242,-0.766089,-3.18734,-0.765816,1.0151,1.68321,0.00629465,0.13109,-0.956174
0.36,1.0,1.58335,-3.16999,-0.758382,-3.15637,-0.75809,1.01649,1.67366,0.00623942,0.141646,-0.954315
0.37,1.0,1.56946,-3.1375,-0.750662,-3.12491,-0.750442,1.01796,1.66412,0.00618496,0.152736,-0.95305
0.38,1.0,1.5556,-3.10551,-0.74306,-3.09322,-0.742937,1.02898,1.6546,0.00613481,1.2639,-0.951643
0.39,1.0,1.54173,-3.07278,-0.73528,-3.06004,-0.735129,1.04151,1.64509,0.00608844,1.23483,-0.950077
0.4,1.0,1.52791,-3.04038,-0.727577,-3.029,-0.72738,1.05379,1.6356,0.00604436,1.20988,-0.948061
