J1,J,R_y,ke_max,Delta,Rmax_max,Rmax_min,phase
0.12926608140191304,0.6,0.1,0.000810637,0.043735500000000004,0.100829,0.0570935,1
0.20519711360120366,0.6,0.2,0.0292023,0.225719,0.424643,0.198924,1
0.2688842847934299,0.6,0.3,0.0243851,0.21451499999999996,0.514342,0.299827,1
0.3257301139913888,0.6,0.4,0.0148951,0.17560399999999998,0.575529,0.399925,1
0.37797631496846196,0.6,0.5,0.00544357,0.11058599999999996,0.610405,0.499819,1
0.4268271965388075,0.6,0.6,0.000384342,0.030836000000000086,0.630631,0.599795,1
0.47302410978631454,0.6,0.7,1.0788e-06,0.00036000000000002697,0.70026,0.6999,0
0.5170643256076521,0.6,0.8,1.15881e-07,0.00010999999999994348,0.80001,0.7999,0
0.5593018510716946,0.6,0.9,1.50416e-08,3.8999999999900226e-05,0.899897,0.899858,0
0.7862224182626689,0.6,1.5,4.61387e-06,0.0004900000000001015,1.49988,1.49939,0
0.9524406311809196,0.6,2.0,0.000239861,0.027549999999999963,1.99982,1.97227,1
1.2480502938311424,0.6,3.0,0.023709,0.21785999999999994,2.99977,2.78191,1
1.5119052598738476,0.6,4.0,0.0888279,0.38721000000000005,3.99968,3.61247,1
1.7544106429277195,0.6,5.0,24391.6,0.6815099999999994,5.48037,4.79886,1
1.9811563493367756,0.6,6.0,0.340803,0.6511499999999995,5.99954,5.34839,1
0.17235477520255071,0.8,0.1,0.000779302,0.043834500000000005,0.100928,0.0570935,1
0.2735961514682716,0.8,0.2,0.0256566,0.215312,0.414236,0.198924,1
0.3585123797245732,0.8,0.3,0.0184289,0.19247599999999998,0.492303,0.299827,1
0.4343068186551851,0.8,0.4,0.00818367,0.13510600000000006,0.535031,0.399925,1
0.5039684199579493,0.8,0.5,0.00103726,0.049734999999999974,0.549554,0.499819,1
0.5691029287184101,0.8,0.6,1.74966e-06,0.0004610000000000447,0.600256,0.599795,0
