We,F1,F2,t1,t2
1,2.279204563,2.174205,0.325000148,0.400650278
2,1.62221578,1.322195,0.325008326,0.567641349
3,1.384014704,1.168985,0.324978577,0.696485165
4,1.246518872,1.0054,0.324911432,0.805697637
5,1.165533955,0.8580075,0.325008326,0.902436344
6,1.114278081,0.76249,0.325450744,0.99036505
7,1.066290359,0.8959725,0.326169764,1.071656061
8,1.030343338,1.0942675,0.326825006,1.147722078
9,1.005261861,1.26154,0.327219762,1.219542513
10,0.977243823,1.1872175,0.327281267,1.287829118
11,0.96661437,1.0459725,0.326993879,1.353118192
12,0.95968281,0.9266325,0.326368712,1.41582559
13,0.940503638,0.8896175,0.325428996,1.476281386
14,0.930120888,0.8087175,0.324202748,1.534752691
15,0.92032439,0.7840275,0.322719056,1.591459204
16,0.913544035,0.74,0.321006224,1.646583536
17,0.948026755,0.7,0.319090835,1.700278617
18,0.881324087,0.6495075,0.316997401,1.752674368
19,0.91942777,0.599015,0.314748255,1.803882179
20,0.910543808,0.5597025,0.312363581,1.853998285
25,0.873327459,0.40552125,0.29898155,2.090797767
30,0.865301652,0.36600375,0.284563482,2.309393659
40,0.844854479,0.336664063,0.258912843,2.706991228
50,0.830919073,0.336793375,0.239589556,3.064701448
60,0.82115507,0.336909375,0.225652217,3.394669973
70,0.819249754,0.33769,0.215781097,3.704183816
80,0.834856374,0.338206563,0.208953397,3.996482766
90,0.829442834,0.34097175,0.204443034,4.273388201
100,0.846999867,0.342172,0.2017404,4.535851108
