We,F1,F2,t1,t2
1,2.445056875,2.63746875,0.3,0.575
2,1.6757475,1.7404325,0.299999999,0.615
3,1.373103125,1.357605625,0.3,0.75
4,1.24922625,1.11011,0.31,0.875
5,1.145695625,1.187285625,0.295000001,0.905
6,1.10201,1.85,0.295000001,1.02
7,1.042205625,1.64230125,0.3,1.075
8,1.016,2.6,0.299999999,1.15
9,0.986172813,2.9789,0.294999999,1.215
10,0.956345625,1.8423925,0.309999999,1.285
11,0.929665625,1.562854375,0.299999999,1.35
12,0.92481375,1.177088125,0.269999999,1.395
13,0.9029475,0.912830625,0.265,1.44
14,0.892163125,0.78650125,0.2625,1.49
15,0.89287125,0.612195,0.259999999,1.525
16,0.893565625,0.548101875,0.255,1.605
17,0.889254375,0.52,0.24,1.61
18,0.87592825,0.5033925,0.234999999,1.73
20,0.87029,0.49228,0.224999998,1.805
22.5,0.84103875,0.46675,0.199999999,1.895
25,0.83884,0.43488625,0.19,2.035
30,0.83236375,0.379543125,0.184999998,2.255
40,0.817505,0.3705575,0.18,2.65
50,0.8184475,0.3691775,0.170000003,3
60,0.824095,0.365505,0.168999999,3.375
70,0.8219025,0.37,0.168000003,3.65
80,0.8240125,0.37,0.167499997,3.825
90,0.8175975,0.36791,0.167000003,4.105
100,0.816,0.3699075,0.1667,4.375
