t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.00895,-4.08729,-0.978691,-4.07331,-0.979907,1.00001,0.0174418,0.0174418,0.00744067,-0.124138
0.02,1.0,2.00729,-4.0896,-0.976205,-4.07416,-0.97696,1.00004,2.00196,0.0167139,0.00510988,-0.905927
0.03,1.0,1.99978,-4.07747,-0.973313,-4.06055,-0.973959,1.00007,1.99282,0.0164018,0.00519956,-0.920356
0.04,1.0,1.99188,-4.06371,-0.970027,-4.04783,-0.970588,1.00011,1.98355,0.0162159,0.00391132,-0.931764
0.05,1.0,1.98351,-4.04827,-0.966343,-4.03221,-0.96691,1.00016,1.97418,0.0160814,0.00423085,-0.941124
0.06,1.0,1.9746,-4.03129,-0.96229,-4.0138,-0.962893,1.00018,1.96473,0.0159705,0.00517576,-0.948719
0.07,1.0,1.96529,-4.01331,-0.958012,-3.99686,-0.958448,1.00025,1.95521,0.0148605,0.00600935,-0.955092
0.08,1.0,1.95536,-3.99346,-0.953309,-3.97755,-0.953688,1.00029,1.94563,0.0137891,0.00719503,-0.961071
0.09,1.0,1.94492,-3.97216,-0.948275,-3.95548,-0.948573,1.0004,1.93599,0.012837,0.00945989,-0.966769
0.1,1.0,1.93392,-3.94965,-0.942961,-3.933,-0.943213,1.00049,1.9263,0.0119666,0.0114717,-0.971561
0.11,1.0,1.9225,-3.92596,-0.937371,-3.90972,-0.937557,1.00062,1.91656,0.0112126,0.0137066,-0.975599
0.12,1.0,1.91078,-3.90127,-0.931549,-3.88545,-0.931701,1.00077,1.90679,0.0105712,0.016186,-0.978402
0.13,1.0,1.89873,-3.87574,-0.925526,-3.86104,-0.925643,1.00092,1.897,0.0100283,0.0190578,-0.9806
0.14,1.0,1.88645,-3.84943,-0.919321,-3.83354,-0.919369,1.00115,1.88718,0.00955032,0.0213043,-0.981789
0.15,1.0,1.8739,-3.82241,-0.912946,-3.80722,-0.912978,1.00137,1.87736,0.00914763,0.0245218,-0.982082
0.16,1.0,1.86113,-3.79474,-0.906415,-3.77961,-0.906388,1.00161,1.86754,0.00880217,0.026678,-0.982116
0.17,1.0,1.84828,-3.76674,-0.899759,-3.75271,-0.899692,1.00192,1.85773,0.00850679,0.0303451,-0.981157
0.18,1.0,1.83508,-3.7378,-0.892969,-3.72338,-0.892884,1.00223,1.84792,0.0082394,0.0342642,-0.980055
0.19,1.0,1.8217,-3.70827,-0.885991,-3.69247,-0.885858,1.00257,1.83812,0.00800819,0.0366558,-0.978921
0.2,1.0,1.80817,-3.67845,-0.87894,-3.66411,-0.878787,1.00298,1.82834,0.00781155,0.0410205,-0.977172
0.21,1.0,1.79461,-3.64831,-0.871813,-3.6343,-0.871646,1.0034,1.81857,0.00763223,0.0456733,-0.97571
0.22,1.0,1.78094,-3.61781,-0.864596,-3.60351,-0.864438,1.00385,1.80882,0.00747283,0.0483508,-0.97429
0.23,1.0,1.76723,-3.58726,-0.857364,-3.57257,-0.857205,1.00439,1.79908,0.00733112,0.0534353,-0.972624
0.24,1.0,1.75355,-3.55637,-0.85005,-3.54143,-0.849902,1.00494,0.0148396,0.00720052,0.0589002,-0.00456506
0.25,1.0,1.73983,-3.52521,-0.84267,-3.51126,-0.842548,1.00553,1.77965,0.00708176,0.0646422,-0.970641
0.26,1.0,1.72607,-3.49391,-0.835255,-3.48014,-0.835147,1.0062,1.76995,0.00697575,0.0677891,-0.967977
0.27,1.0,1.71226,-3.46235,-0.827776,-3.44829,-0.827657,1.00692,1.76028,0.00687255,0.0740935,-0.966459
0.28,1.0,1.69843,-3.43071,-0.820275,-3.41666,-0.820144,1.00768,1.75062,0.00678258,0.0807973,-0.965061
0.29,1.0,1.68457,-3.39887,-0.812724,-3.38446,-0.812598,1.00849,1.74098,0.00669663,0.0841914,-0.964169
0.3,1.0,1.67074,-3.367,-0.805164,-3.35315,-0.805023,1.0094,0.0146099,0.00661497,0.0915234,-0.0041207
0.31,1.0,1.65692,-3.33487,-0.797542,-3.32047,-0.797382,1.01037,1.72172,0.00654225,0.0992929,-0.963554
0.32,1.0,1.64306,-3.30279,-0.789927,-3.28806,-0.789703,1.01139,1.71211,0.00647308,0.107557,-0.959922
0.33,1.0,1.62922,-3.27047,-0.782258,-3.2568,-0.782031,1.01249,1.70251,0.00640514,0.116438,-0.958438
0.34,1.0,1.61546,-3.23826,-0.774609,-3.22255,-0.774362,1.01368,1.69294,0.00634363,0.120385,-0.956637
0.35,1.0,1.60165,-3.20589,-0.766921,-3.19068,-0.766671,1.01497,1.68337,0.0062876,0.129975,-0.956065
0.36,1.0,1.58791,-3.1736,-0.759249,-3.1597,-0.758925,1.01634,1.67382,0.00623049,0.140634,-0.954268
0.37,1.0,1.57416,-3.14112,-0.751531,-3.12873,-0.751298,1.0178,1.66429,0.00617675,0.151784,-0.952558
0.38,1.0,1.56047,-3.10934,-0.74398,-3.09728,-0.743901,1.03011,1.65477,0.00612729,1.26814,-0.951733
0.39,1.0,1.54679,-3.07674,-0.736221,-3.06423,-0.736118,1.04267,1.64526,0.00608157,1.23915,-0.950208
0.4,1.0,1.53312,-3.04437,-0.728535,-3.03297,-0.728374,1.05499,1.63576,0.00603551,1.21283,-0.948366
0.41,1.0,1.51946,-3.01191,-0.720816,-2.9991,-0.720615,1.06707,1.62629,0.00599086,1.18788,-0.946825
0.42,1.0,1.50589,-2.97981,-0.713181,-2.9675,-0.712912,1.07891,1.61683,0.00594923,1.16386,-0.94565
0.43,1.0,1.49226,-2.94745,-0.705482,-2.93355,-0.705239,1.09071,1.60738,0.00591031,1.17934,-0.943489
0.44,1.0,1.47872,-2.91532,-0.697836,-2.90281,-0.697618,1.10235,1.59795,0.00587382,1.15383,-0.941654
0.45,1.0,1.46527,-2.88322,-0.690198,-2.87316,-0.689973,1.11377,1.58854,0.00583648,1.13309,-0.940445
0.46,1.0,1.45173,-2.85103,-0.682533,-2.83909,-0.682324,1.12513,1.57915,0.00580023,1.09072,-0.938491
0.47,1.0,1.43827,-2.81908,-0.674927,-2.80757,-0.674807,1.13598,1.56978,0.00576605,1.08664,-0.936162
