t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.03015,-4.10978,-0.981235,-4.10278,-0.983988,1.00003,2.01091,0.0149708,-0.000732674,-0.907612
0.02,1.0,2.02838,-4.10892,-0.980848,-4.10042,-0.982981,1.00015,2.00187,0.012819,0.0046578,-0.909025
0.03,1.0,2.02451,-4.10292,-0.979476,-4.09252,-0.981325,1.00031,1.99276,0.0103372,0.00723486,-0.915801
0.04,1.0,2.01856,-4.09286,-0.977168,-4.08213,-0.978655,1.00047,1.98347,0.00865819,0.00993389,-0.941678
0.05,1.0,2.01188,-4.0806,-0.974358,-4.06996,-0.975586,1.00064,1.97393,0.00732679,0.0124345,-0.965908
0.06,1.0,2.00503,-4.06674,-0.971191,-4.05284,-0.972326,1.00073,1.9642,0.00558313,0.00842869,-0.976002
0.07,1.0,1.99797,-4.05162,-0.967748,-4.03894,-0.968618,1.00076,1.95442,0.00398625,0.00250895,-0.979989
0.08,1.0,1.99084,-4.03483,-0.963932,-4.02171,-0.964663,1.00072,1.9446,0.0020102,-0.00163005,-0.985105
0.09,1.0,1.98397,-4.01639,-0.95974,-4.00164,-0.960378,1.00074,1.93473,0.000427304,0.000685881,-0.988135
0.1,1.0,1.97827,-3.99589,-0.955072,-3.98178,-0.95554,1.00071,1.92485,0.000244344,0.00401373,-0.988006
0.11,1.0,1.97356,-3.97509,-0.950311,-3.96071,-0.950642,1.00077,1.91497,5.36615e-05,0.00702725,-0.988052
0.12,1.0,1.97029,-3.95369,-0.945423,-3.93928,-0.945785,1.00085,1.90509,8.25763e-05,0.0122256,-0.987332
0.13,1.0,1.96627,-3.93156,-0.940381,-3.9159,-0.940616,1.00099,1.89522,4.70129e-05,0.0156321,-0.985956
0.14,1.0,1.9611,-3.90761,-0.934921,-3.8909,-0.935082,1.00116,1.88536,1.04075e-05,0.0187575,-0.985229
0.15,1.0,1.95822,-3.88361,-0.929431,-3.86856,-0.929503,1.00133,1.87551,2.35535e-05,0.0199355,-0.984412
0.16,2.0,1.96023,-3.85942,-0.923865,-3.84447,-0.924164,1.00157,1.86568,8.25814e-06,0.0218823,-0.982943
0.17,1.0,1.96361,-3.83709,-0.91874,-3.82192,-0.918895,1.00177,1.85585,9.09941e-06,0.0237069,-0.982068
0.18,2.0,1.96523,-3.81414,-0.913499,-3.79896,-0.914151,1.00202,1.84603,4.12747e-06,0.0250763,-0.981414
0.19,2.0,1.95957,-3.78977,-0.907976,-3.77319,-0.908431,1.00229,1.83622,7.18761e-06,0.0277281,-0.980441
0.2,2.0,1.9591,-3.76379,-0.901975,-3.74817,-0.902329,1.00255,1.82642,7.96179e-06,0.0309781,-0.97958
0.21,2.0,1.95299,-3.73364,-0.8949,-3.71826,-0.895367,1.0029,1.81662,7.49484e-06,0.0336737,-0.978812
0.22,3.0,1.94512,-3.70355,-0.887829,-3.68794,-0.888366,1.00325,1.80683,3.8328e-06,0.0377855,-0.978102
0.23,3.0,1.92552,-3.67245,-0.880522,-3.65724,-0.881024,1.00363,1.79706,1.05993e-06,0.0411181,-0.976899
0.24,3.0,1.90426,-3.6445,-0.873965,-3.63,-0.874719,1.00409,1.78729,3.2859e-06,0.0461128,-0.975926
0.25,3.0,1.88413,-3.61801,-0.867781,-3.60368,-0.868418,1.00457,1.77753,1.16217e-06,0.0508862,-0.975274
0.26,3.0,1.87085,-3.5856,-0.860133,-3.57115,-0.860756,1.00508,1.76778,4.0464e-07,0.0540818,-0.974045
0.27,3.0,1.85792,-3.55106,-0.851966,-3.53626,-0.852673,1.00567,1.75804,3.13174e-06,0.0593392,-0.972983
0.28,3.0,1.84535,-3.51798,-0.844156,-3.50454,-0.845012,1.00629,1.74832,1.8251e-06,0.0647669,-0.972245
0.29,3.0,1.83257,-3.48295,-0.835838,-3.46883,-0.836385,1.00693,1.7386,1.85612e-06,0.0705948,-0.970992
0.3,3.0,1.81757,-3.44529,-0.826915,-3.43261,-0.827688,1.00767,1.72889,2.75432e-06,0.0742689,-0.96987
0.31,3.0,1.80087,-3.40454,-0.817221,-3.39119,-0.818157,1.00846,1.7192,1.31925e-06,0.0813994,-0.968723
0.32,3.0,1.78327,-3.3634,-0.807413,-3.34899,-0.807989,1.0093,1.70951,1.88037e-06,0.0893532,-0.967317
0.33,3.0,1.76888,-3.32799,-0.798976,-3.31494,-0.799739,1.0102,1.69984,1.95912e-06,0.0934629,-0.965951
0.34,3.0,1.75471,-3.29517,-0.79119,-3.28153,-0.791838,1.01712,1.69019,1.06554e-06,1.26593,-0.964671
0.35,3.0,1.73835,-3.26383,-0.783781,-3.25121,-0.784684,1.02954,1.68055,2.1419e-06,1.29893,-0.963546
0.36,3.0,1.71897,-3.2318,-0.776172,-3.21815,-0.777102,1.04284,1.67092,1.52043e-06,1.29501,-0.961947
0.37,3.0,1.69924,-3.1986,-0.768308,-3.18438,-0.769125,1.05571,1.6613,1.40644e-06,1.35523,-0.960321
0.38,2.0,1.68146,-3.16466,-0.760243,-3.15234,-0.76101,1.11072,1.6517,1.43301e-06,-0.394562,-0.959038
0.39,2.0,1.66551,-3.13326,-0.752722,-3.12139,-0.753275,1.09859,1.64212,1.54322e-06,0.105071,-0.957349
0.4,2.0,1.65097,-3.10261,-0.745438,-3.09097,-0.746052,1.102,1.63255,9.99056e-07,0.633566,-0.955682
0.41,2.0,1.64313,-3.07715,-0.739394,-3.06576,-0.740036,1.11241,1.623,1.19515e-06,0.855459,-0.954245
0.42,2.0,1.6364,-3.0498,-0.732889,-3.03929,-0.733843,1.12337,1.61346,1.19126e-06,1.25142,-0.953029
0.43,2.0,1.62917,-3.02502,-0.727018,-3.01373,-0.727913,1.13553,1.60394,9.99768e-07,1.22789,-0.951207
0.44,2.0,1.62225,-2.99785,-0.72058,-2.98587,-0.721234,1.1484,1.59443,1.06414e-06,1.28211,-0.949384
0.45,2.0,1.61419,-2.96996,-0.713953,-2.95762,-0.714717,1.16199,1.58495,1.14083e-06,1.45971,-0.947671
0.46,2.0,1.60294,-2.9404,-0.706941,-2.92733,-0.707426,1.17605,1.57548,7.74809e-07,1.42156,-0.945693
0.47,2.0,1.59232,-2.90948,-0.699601,-2.89642,-0.699827,1.18918,1.56603,4.43189e-07,1.20468,-0.943466
0.48,2.0,1.58298,-2.8777,-0.692068,-2.86765,-0.692739,1.20116,1.5566,8.28718e-07,1.03613,-0.941826
0.49,2.0,1.57549,-2.84838,-0.685133,-2.83778,-0.685855,1.21128,1.54719,5.43883e-07,0.898277,-0.939907
0.5,2.0,1.56641,-2.81668,-0.677597,-2.80574,-0.678095,1.22039,1.5378,6.05084e-07,0.853564,-0.937687
0.51,2.0,1.55547,-2.7872,-0.670581,-2.77362,-0.670987,1.22902,1.52844,4.82272e-07,0.82618,-0.935613
0.52,2.0,1.54558,-2.75817,-0.663685,-2.74811,-0.664034,1.23772,1.51909,4.85292e-07,0.831159,-0.933588
0.53,2.0,1.53468,-2.72892,-0.656698,-2.71967,-0.657714,1.24642,1.50977,7.43669e-07,0.860673,-0.931354
0.54,2.0,1.52654,-2.699,-0.649574,-2.68941,-0.650254,1.25453,1.50046,5.62116e-07,0.784496,-0.929025
0.55,2.0,1.51731,-2.6696,-0.642602,-2.65896,-0.643318,1.26208,1.49118,6.57396e-07,0.741227,-0.926942
0.56,2.0,1.50677,-2.64049,-0.63563,-2.63097,-0.635883,1.26953,1.48192,6.1649e-07,0.749275,-0.924701
0.57,2.0,1.49596,-2.60985,-0.62838,-2.60204,-0.629612,1.27717,1.47269,5.5874e-07,0.760372,-0.922247
0.58,2.0,1.48489,-2.57933,-0.621135,-2.56932,-0.621924,1.28497,1.46348,5.17009e-07,0.784529,-0.91989
0.59,2.0,1.4742,-2.54775,-0.613664,-2.53863,-0.614349,1.29287,1.45429,8.23224e-07,0.805202,-0.917526
0.6,2.0,1.46243,-2.51454,-0.605755,-2.5063,-0.606874,1.30105,1.44513,4.94167e-07,0.85349,-0.91499
0.61,2.0,1.45037,-2.48272,-0.598196,-2.47494,-0.599133,1.30958,1.436,7.6978e-07,0.899834,-0.912278
0.62,2.0,1.43962,-2.45116,-0.590698,-2.4426,-0.591626,1.31861,1.42689,8.15203e-07,0.903135,-0.909697
0.63,2.0,1.42936,-2.41857,-0.582928,-2.41175,-0.584462,1.3279,1.4178,7.97368e-07,0.894104,-0.90722
0.64,2.0,1.41784,-2.38734,-0.57547,-2.3796,-0.576162,1.3369,1.40874,9.71931e-07,0.89121,-0.904636
0.65,2.0,1.40765,-2.35515,-0.567794,-2.34824,-0.56854,1.34557,1.39971,1.16389e-06,0.873832,-0.901999
0.66,2.0,1.39734,-2.32391,-0.560306,-2.31748,-0.561275,1.35402,1.39071,1.0738e-06,0.887354,-0.899381
0.67,2.0,1.38669,-2.29202,-0.552693,-2.28581,-0.553733,1.36251,1.38173,1.15516e-06,0.816911,-0.896636
0.68,2.0,1.37739,-2.25989,-0.544961,-2.25315,-0.546003,1.37107,1.37278,1.28785e-06,0.819504,-0.89431
