t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02077,-4.1025,-0.980322,-4.09207,-0.98225,1.00002,2.0108,0.0158677,0.0107979,-0.923834
0.02,1.0,2.01723,-4.10159,-0.979078,-4.08811,-0.980232,1.00008,2.00147,0.0140832,0.0041198,-0.943152
0.03,1.0,2.01108,-4.09252,-0.976947,-4.07681,-0.97767,1.00019,1.99192,0.0128515,0.00827699,-0.964883
0.04,1.0,2.00383,-4.0803,-0.974086,-4.06458,-0.974477,1.00027,1.98219,0.0117194,0.00846173,-0.980626
0.05,1.0,1.99593,-4.06586,-0.97072,-4.04999,-0.970938,1.0003,1.97236,0.0106233,0.00497905,-0.984291
0.06,1.0,1.9874,-4.04959,-0.966935,-4.03147,-0.967036,1.00037,1.96253,0.00910139,0.00348843,-0.984267
0.07,1.0,1.97844,-4.03167,-0.96277,-4.01494,-0.962783,1.00039,1.95269,0.00771357,0.00416456,-0.983367
0.08,1.0,1.96892,-4.01222,-0.958249,-3.9961,-0.958218,1.00045,1.94287,0.00653536,0.00671863,-0.982262
0.09,1.0,1.95914,-3.99151,-0.953437,-3.97439,-0.953378,1.00053,1.93305,0.00555623,0.00965124,-0.981001
0.1,1.0,1.94894,-3.96956,-0.948336,-3.9529,-0.948242,1.00061,1.92325,0.0048021,0.0118738,-0.979813
0.11,1.0,1.93875,-3.94658,-0.942992,-3.92996,-0.942883,1.00076,1.91346,0.00419307,0.0135857,-0.978299
0.12,1.0,1.92833,-3.92276,-0.937451,-3.90704,-0.937341,1.0009,1.90369,0.00365819,0.0159325,-0.97725
0.13,1.0,1.91809,-3.89828,-0.931753,-3.88298,-0.931628,1.00104,1.89392,0.00321427,0.0178065,-0.976084
0.14,1.0,1.90863,-3.87379,-0.926049,-3.85684,-0.925902,1.00126,1.88417,0.00283809,0.0203428,-0.974898
0.15,1.0,1.89903,-3.84822,-0.920083,-3.83277,-0.919936,1.00146,1.87443,0.00253495,0.0231321,-0.973682
0.16,1.0,1.88936,-3.82115,-0.913738,-3.80613,-0.913613,1.00169,1.8647,0.00228785,0.0252923,-0.972403
0.17,1.0,1.87756,-3.79268,-0.907062,-3.77769,-0.906947,1.00197,1.85498,0.00208143,0.0285389,-0.971189
0.18,1.0,1.86191,-3.75988,-0.899352,-3.74489,-0.899243,1.00225,1.84528,0.00191737,0.0323325,-0.969886
0.19,1.0,1.84697,-3.72774,-0.891785,-3.71226,-0.891658,1.00259,1.83558,0.00178868,0.0350581,-0.968542
0.2,1.0,1.83298,-3.69706,-0.884554,-3.68255,-0.884404,1.00297,1.82591,0.00168227,0.0390715,-0.967071
0.21,1.0,1.81959,-3.66644,-0.877334,-3.65252,-0.877213,1.00334,1.81624,0.00158669,0.0434207,-0.965703
0.22,1.0,1.80655,-3.63628,-0.87022,-3.62171,-0.870149,1.0038,1.80659,0.00151386,0.0462463,-0.964359
0.23,1.0,1.79335,-3.60557,-0.862975,-3.59193,-0.86283,1.00429,1.79696,0.0014414,0.0509445,-0.962884
0.24,1.0,1.78049,-3.57541,-0.85586,-3.56115,-0.855706,1.00478,1.78733,0.00138822,0.0558621,-0.96137
