t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02397,-4.10624,-0.980425,-4.09687,-0.982561,1.00003,2.01094,0.0158581,0.0145564,-0.897438
0.02,1.0,2.01985,-4.10277,-0.979361,-4.09099,-0.980833,1.0001,2.00202,0.0140186,0.00535977,-0.892312
0.03,1.0,2.01463,-4.09452,-0.977423,-4.0806,-0.978595,1.0002,1.99308,0.0128877,0.0086434,-0.899273
0.04,1.0,2.00829,-4.08322,-0.97478,-4.06971,-0.975617,1.00027,1.98402,0.0117705,0.0097361,-0.912147
0.05,1.0,2.00122,-4.06964,-0.971618,-4.05605,-0.97232,1.00033,1.97479,0.0107396,0.00522493,-0.933431
0.06,1.0,1.99345,-4.05421,-0.968036,-4.03817,-0.968666,1.00039,1.9654,0.00920348,0.00243881,-0.942997
0.07,1.0,1.98523,-4.0371,-0.964065,-4.02211,-0.964563,1.00038,1.95596,0.00771742,0.00082945,-0.94232
0.08,1.0,1.97653,-4.01853,-0.959758,-4.00406,-0.960174,1.00036,1.94656,0.00647296,-0.00238564,-0.936572
0.09,1.0,1.9676,-3.9987,-0.955158,-3.98331,-0.95554,1.00037,1.93718,0.00550459,0.00133823,-0.939398
0.1,1.0,1.9584,-3.97762,-0.950269,-3.96182,-0.950567,1.00037,1.92772,0.00472025,0.0063605,-0.954777
0.11,1.0,1.94921,-3.95587,-0.945224,-3.94075,-0.945461,1.00047,1.91804,0.00406459,0.00951694,-0.98203
0.12,1.0,1.93988,-3.93286,-0.939884,-3.91821,-0.940091,1.00055,1.9081,0.00350677,0.0141565,-1.0084
0.13,1.0,1.93078,-3.90942,-0.934442,-3.89522,-0.934602,1.00072,1.89792,0.00302731,0.0161747,-1.02922
0.14,1.0,1.92278,-3.88579,-0.928954,-3.87009,-0.929067,1.00091,1.88764,0.00263574,0.0203243,-1.03076
0.15,1.0,1.91495,-3.86115,-0.923211,-3.84646,-0.92331,1.0011,1.87736,0.00230899,0.023803,-1.02425
0.16,1.0,1.90734,-3.83621,-0.917391,-3.82217,-0.917443,1.00135,1.86718,0.00204573,0.0242527,-1.01143
0.17,1.0,1.89541,-3.80737,-0.910638,-3.79347,-0.910695,1.00162,1.85713,0.00183271,0.0278279,-0.999266
0.18,1.0,1.88136,-3.77629,-0.903339,-3.76147,-0.903335,1.00189,1.84718,0.00166982,0.0314983,-0.990654
0.19,1.0,1.8678,-3.74513,-0.896004,-3.7307,-0.896018,1.00222,1.83729,0.00154663,0.0328131,-0.986538
0.2,1.0,1.85458,-3.71507,-0.888921,-3.70141,-0.888959,1.00258,1.82743,0.0014354,0.0368797,-0.984656
0.21,1.0,1.84274,-3.68581,-0.882025,-3.67234,-0.882091,1.00294,1.81759,0.00135444,0.0410451,-0.982131
0.22,1.0,1.83127,-3.65683,-0.875195,-3.64325,-0.875155,1.00336,1.80779,0.00128059,0.0427895,-0.978257
0.23,1.0,1.81985,-3.62801,-0.868401,-3.61469,-0.868322,1.00382,1.79803,0.00122512,0.0474054,-0.972868
0.24,1.0,1.8088,-3.59909,-0.861589,-3.5848,-0.861536,1.0043,1.78832,0.00117062,0.0522235,-0.967196
0.25,1.0,1.79777,-3.56987,-0.854701,-3.55744,-0.854705,1.00483,1.77867,0.00113128,0.0544909,-0.962858
0.26,1.0,1.78657,-3.54052,-0.847784,-3.5276,-0.847763,1.00542,1.76905,0.00109042,0.0597211,-0.959507
0.27,1.0,1.7756,-3.51094,-0.840811,-3.49756,-0.840807,1.00603,1.75946,0.00105786,0.065316,-0.957759
0.28,1.0,1.76458,-3.48116,-0.833788,-3.46848,-0.833821,1.00668,1.74988,0.00103096,0.0678988,-0.957223
0.29,1.0,1.75355,-3.45095,-0.826664,-3.43833,-0.826706,1.00742,1.7403,0.00100276,0.0740891,-0.957682
0.3,1.0,1.74253,-3.42047,-0.819469,-3.40678,-0.819416,1.00819,1.73072,0.00098043,0.0806374,-0.958739
0.31,1.0,1.73132,-3.38963,-0.812189,-3.37654,-0.812147,1.00901,1.72113,0.000960721,0.0877231,-0.960137
0.32,1.0,1.72031,-3.35872,-0.804888,-3.34513,-0.804762,1.00989,1.71152,0.000940209,0.0908162,-0.96175
0.33,1.0,1.70915,-3.32793,-0.797611,-3.31416,-0.797455,1.01087,1.70189,0.000923188,0.0983955,-0.963023
0.34,1.0,1.69788,-3.2968,-0.790253,-3.28233,-0.790046,1.01191,1.69225,0.000908727,0.106511,-0.964116
0.35,1.0,1.68677,-3.26572,-0.782906,-3.2526,-0.78278,1.01302,1.68261,0.00089254,0.114998,-0.964477
0.36,1.0,1.67573,-3.23479,-0.775588,-3.21989,-0.775455,1.02058,1.67297,0.000878608,1.36886,-0.964183
0.37,1.0,1.66478,-3.20363,-0.768213,-3.18934,-0.768005,1.03448,1.66333,0.000866515,1.34556,-0.96352
0.38,1.0,1.65356,-3.17242,-0.760824,-3.1602,-0.760674,1.04809,1.6537,0.000854461,1.31995,-0.962602
0.39,1.0,1.64263,-3.14102,-0.753385,-3.12924,-0.753409,1.0614,1.64408,0.000842524,1.29436,-0.961383
0.4,1.0,1.6315,-3.10985,-0.746,-3.09786,-0.746022,1.07442,1.63447,0.00083191,1.27301,-0.96032
0.41,1.0,1.62055,-3.07879,-0.738641,-3.0666,-0.738642,1.08721,1.62487,0.000822413,1.25611,-0.959724
0.42,1.0,1.60928,-3.04725,-0.731162,-3.03578,-0.7311,1.09978,1.61527,0.000812604,1.23971,-0.958918
0.43,1.0,1.59848,-3.01576,-0.723694,-3.00472,-0.723633,1.11213,1.60569,0.000803046,1.22512,-0.958444
0.44,1.0,1.58738,-2.98449,-0.716273,-2.97178,-0.716342,1.12428,1.59611,0.000794356,1.20444,-0.958008
0.45,1.0,1.57656,-2.95337,-0.708885,-2.93989,-0.708832,1.13621,1.58653,0.000786421,1.19229,-0.957462
0.46,1.0,1.56572,-2.92228,-0.701486,-2.91078,-0.701399,1.14794,1.57696,0.000778721,1.18123,-0.956818
0.47,1.0,1.55462,-2.89098,-0.694072,-2.87985,-0.69395,1.15951,1.5674,0.000770633,1.16821,-0.955355
0.48,1.0,1.54413,-2.86019,-0.686756,-2.85119,-0.68692,1.17088,1.55785,0.000763157,1.14699,-0.95372
0.49,1.0,1.5332,-2.82901,-0.679333,-2.81842,-0.679407,1.18202,1.54833,0.000756229,1.13559,-0.951526
0.5,1.0,1.52239,-2.79809,-0.671996,-2.78566,-0.671929,1.19317,1.53882,0.000749792,1.07785,-0.94871
0.51,1.0,1.51186,-2.76762,-0.664749,-2.75804,-0.664868,1.20419,1.52935,0.000743453,1.06638,-0.945681
0.52,1.0,1.50079,-2.73644,-0.657334,-2.72686,-0.65747,1.21502,1.51991,0.000736782,1.05437,-0.942019
0.53,1.0,1.49034,-2.70627,-0.650129,-2.69545,-0.650012,1.22569,1.51051,0.000730532,1.04265,-0.938298
0.54,1.0,1.47983,-2.67532,-0.642787,-2.66454,-0.64286,1.23618,1.50114,0.000724662,1.03056,-0.934566
0.55,1.0,1.46929,-2.64492,-0.635549,-2.63567,-0.635721,1.24649,1.49182,0.000719137,1.01529,-0.930926
0.56,1.0,1.45849,-2.61451,-0.628307,-2.60498,-0.628292,1.25663,1.48252,0.000713936,1.00615,-0.928152
0.57,1.0,1.44795,-2.5843,-0.62111,-2.57506,-0.62109,1.26663,1.47325,0.000708516,0.996613,-0.925155
0.58,1.0,1.43759,-2.55437,-0.613979,-2.54446,-0.614011,1.27647,1.46401,0.000703041,0.985235,-0.92194
0.59,1.0,1.42714,-2.52397,-0.606732,-2.5149,-0.606764,1.28616,1.45481,0.000697854,0.976706,-0.918175
0.6,1.0,1.41667,-2.49431,-0.599657,-2.48544,-0.599899,1.29571,1.44565,0.000692935,0.960844,-0.914171
0.61,1.0,1.40624,-2.4643,-0.592507,-2.45595,-0.592611,1.30508,1.43652,0.000688262,0.951743,-0.911077
0.62,1.0,1.39591,-2.43486,-0.585483,-2.42595,-0.585503,1.31432,1.42742,0.000683814,0.940399,-0.907906
0.63,1.0,1.38542,-2.40513,-0.57839,-2.39688,-0.578587,1.32347,1.41836,0.000679522,0.888132,-0.905329
0.64,1.0,1.37507,-2.37596,-0.571428,-2.36716,-0.571369,1.33259,1.40932,0.000674794,0.882107,-0.902537
0.65,1.0,1.36472,-2.34636,-0.564364,-2.33814,-0.564574,1.3416,1.4003,0.000670282,0.872823,-0.899675
0.66,1.0,1.35446,-2.31747,-0.557463,-2.30863,-0.557577,1.35047,1.39132,0.00066597,0.867713,-0.896899
0.67,1.0,1.34419,-2.28832,-0.550504,-2.28122,-0.550829,1.35941,1.38236,0.000661845,0.870878,-0.896069
0.68,1.0,1.33407,-2.25956,-0.543635,-2.25213,-0.543972,1.36787,1.37343,0.000657897,0.851324,-0.891326
0.69,1.0,1.3237,-2.23066,-0.536728,-2.22276,-0.53694,1.3764,1.36453,0.000654112,0.844556,-0.887887
0.7,1.0,1.31338,-2.20233,-0.52996,-2.19442,-0.530198,1.38479,1.35566,0.000650481,0.835045,-0.886556
0.71,1.0,1.30301,-2.17365,-0.523105,-2.1664,-0.5233,1.39308,1.3468,0.000646544,0.829871,-0.884837
0.72,1.0,1.2927,-2.1455,-0.516374,-2.13751,-0.516494,1.40126,1.33797,0.000642646,0.821701,-0.881611
0.73,1.0,1.28241,-2.11743,-0.509661,-2.11045,-0.509827,1.40934,1.32917,0.000638897,0.817557,-0.877872
0.74,1.0,1.27239,-2.08937,-0.50295,-2.08238,-0.50318,1.41732,1.32041,0.00063529,0.809366,-0.87425
0.75,1.0,1.26227,-2.06178,-0.49635,-2.05514,-0.496556,1.4252,1.31168,0.000631816,0.805087,-0.872102
0.76,1.0,1.25212,-2.03416,-0.489742,-2.02685,-0.490058,1.43303,1.30297,0.000628469,0.762676,-0.869292
0.77,1.0,1.24204,-2.007,-0.483241,-2.00091,-0.483682,1.44087,1.29429,0.000625241,0.757858,-0.866732
0.78,1.0,1.23202,-1.97974,-0.476716,-1.97346,-0.477354,1.4486,1.28564,0.000622127,0.748733,-0.86348
0.79,1.0,1.22205,-1.95293,-0.470299,-1.9471,-0.470804,1.45622,1.27702,0.000618762,0.744604,-0.860483
0.8,1.0,1.2118,-1.92629,-0.46392,-1.92047,-0.464159,1.46376,1.26843,0.000615396,0.73669,-0.857274
0.81,1.0,1.20145,-1.89959,-0.457524,-1.89332,-0.457662,1.4712,1.25987,0.000612145,0.734,-0.854053
0.82,1.0,1.19126,-1.87336,-0.451242,-1.86622,-0.451304,1.47856,1.25134,0.000609001,0.726958,-0.851095
0.83,1.0,1.18145,-1.84699,-0.444925,-1.84108,-0.445202,1.48583,1.24285,0.000605956,0.72408,-0.847725
0.84,1.0,1.17157,-1.82093,-0.438679,-1.81468,-0.438877,1.49302,1.23441,0.00060301,0.717904,-0.844967
0.85,1.0,1.16163,-1.79528,-0.432533,-1.78936,-0.432941,1.50016,1.22596,0.000600157,0.694508,-0.841339
0.86,1.0,1.15171,-1.76955,-0.426365,-1.76412,-0.426833,1.50715,1.21756,0.00059739,0.707634,-0.838611
0.87,1.0,1.14185,-1.74439,-0.420333,-1.73913,-0.421053,1.51409,1.20919,0.000594701,0.698239,-0.83473
0.88,1.0,1.13207,-1.71919,-0.414292,-1.71409,-0.414838,1.52093,1.20086,0.000591692,0.695158,-0.831805
0.89,1.0,1.12235,-1.6941,-0.408274,-1.68944,-0.408672,1.5277,1.19256,0.000588777,0.686826,-0.827932
0.9,1.0,1.11263,-1.66951,-0.402377,-1.66413,-0.402706,1.53437,1.18429,0.000585947,0.68301,-0.824773
0.91,1.0,1.10289,-1.64501,-0.3965,-1.64074,-0.396899,1.54108,1.17606,0.000583199,0.647814,-0.821092
0.92,1.0,1.09315,-1.62067,-0.390659,-1.61515,-0.390923,1.54772,1.16787,0.00058053,0.644314,-0.817685
0.93,1.0,1.08343,-1.59673,-0.384915,-1.59231,-0.385394,1.55427,1.15971,0.000577934,0.63847,-0.813962
0.94,1.0,1.07383,-1.57253,-0.379107,-1.56831,-0.379821,1.56076,1.15158,0.000575411,0.632136,-0.810383
0.95,1.0,1.06428,-1.54869,-0.373385,-1.54406,-0.373818,1.56716,1.1435,0.000572959,0.630114,-0.806672
0.96,1.0,1.05476,-1.5254,-0.367794,-1.52159,-0.3685,1.57349,1.13545,0.000570573,0.623316,-0.802975
0.97,1.0,1.0453,-1.50206,-0.362192,-1.49714,-0.362768,1.57974,1.12744,0.000568023,0.620815,-0.799312
0.98,1.0,1.03577,-1.47891,-0.35663,-1.47426,-0.356934,1.58593,1.11946,0.000565423,0.614588,-0.795545
0.99,1.0,1.02634,-1.45615,-0.351164,-1.45201,-0.351699,1.59204,1.11152,0.000562891,0.607643,-0.792025
1.0,1.0,1.01696,-1.43339,-0.345698,-1.42785,-0.345835,1.59808,1.10362,0.000560427,0.605733,-0.788216
1.01,1.0,1.00757,-1.41074,-0.340257,-1.40657,-0.340727,1.60405,1.09575,0.000558028,0.5988,-0.784838
1.02,1.0,0.998186,-1.38862,-0.334942,-1.38478,-0.335383,1.60995,1.08792,0.000555689,0.594841,-0.781072
1.03,1.0,0.988841,-1.36666,-0.329667,-1.36219,-0.330115,1.61577,1.08013,0.000553408,0.589251,-0.777734
1.04,1.0,0.979498,-1.34468,-0.324384,-1.34106,-0.324986,1.62152,1.07237,0.000551182,0.581878,-0.773999
1.05,1.0,0.970235,-1.32297,-0.319165,-1.31948,-0.319657,1.6272,1.06464,0.000549011,0.578825,-0.770531
1.06,1.0,0.961081,-1.30157,-0.314021,-1.29768,-0.314608,1.63281,1.05696,0.000546894,0.571935,-0.766864
1.07,1.0,0.952005,-1.28016,-0.308874,-1.27684,-0.309442,1.6384,1.0493,0.000544613,0.540709,-0.76347
1.08,1.0,0.942959,-1.25896,-0.303775,-1.25586,-0.304139,1.64395,1.04169,0.000542305,0.537956,-0.759831
1.09,1.0,0.933956,-1.23818,-0.298779,-1.23451,-0.299079,1.64944,1.03411,0.000540053,0.531521,-0.756325
1.1,1.0,0.924941,-1.21753,-0.293814,-1.21364,-0.29422,1.65485,1.02656,0.000537854,0.524742,-0.752761
1.11,1.0,0.915953,-1.19686,-0.288841,-1.19339,-0.289213,1.66019,1.01905,0.000535707,0.522772,-0.748968
1.12,1.0,0.906972,-1.17658,-0.283962,-1.17403,-0.284501,1.66547,1.01158,0.000533611,0.517134,-0.74535
1.13,1.0,0.898026,-1.15669,-0.279178,-1.15396,-0.279723,1.6707,1.00414,0.000531563,0.510654,-0.74123
1.14,1.0,0.889131,-1.13679,-0.27439,-1.13354,-0.274801,1.67584,0.996746,0.000529561,0.509003,-0.737739
1.15,1.0,0.880244,-1.11697,-0.269622,-1.11354,-0.270199,1.68093,0.98939,0.000527605,0.503732,-0.733522
1.16,1.0,0.871438,-1.09764,-0.264969,-1.09481,-0.26567,1.68597,0.982073,0.000525693,0.49794,-0.730085
1.17,1.0,0.862684,-1.07862,-0.260392,-1.07525,-0.260721,1.69093,0.974796,0.000523755,0.49563,-0.725317
1.18,1.0,0.853941,-1.05957,-0.255806,-1.05664,-0.256241,1.69584,0.967559,0.000521665,0.490515,-0.722266
1.19,1.0,0.845229,-1.04067,-0.251256,-1.03788,-0.25172,1.7007,0.960363,0.000519621,0.484879,-0.717226
1.2,1.0,0.836572,-1.02215,-0.246797,-1.0193,-0.247131,1.70549,0.953209,0.000517621,0.482656,-0.713955
1.21,1.0,0.827966,-1.00389,-0.2424,-1.00124,-0.242785,1.71022,0.946098,0.000515664,0.477387,-0.708624
1.22,1.0,0.819395,-0.985597,-0.237996,-0.983123,-0.238583,1.7149,0.93903,0.000513749,0.472468,-0.704886
1.23,1.0,0.810875,-0.967476,-0.233632,-0.964559,-0.234069,1.71953,0.932004,0.000511875,0.46962,-0.700214
1.24,1.0,0.80242,-0.949747,-0.229361,-0.946952,-0.22981,1.72409,0.925022,0.00051004,0.465047,-0.695959
1.25,1.0,0.794024,-0.932293,-0.225157,-0.929873,-0.225706,1.7286,0.918082,0.000508244,0.460344,-0.6918
