t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.00149,-4.07581,-0.977739,-4.06018,-0.978694,0.99999,0.0180479,0.0180479,0.00187827,-0.0849234
0.02,1.0,2.00185,-4.08285,-0.974596,-4.06627,-0.975181,1.00003,2.00183,0.0175338,0.00415893,-0.918109
0.03,1.0,1.9931,-4.06894,-0.971276,-4.05136,-0.971772,1.00005,1.99258,0.0172681,0.00432354,-0.932275
0.04,1.0,1.984,-4.05365,-0.967626,-4.03731,-0.968057,1.0001,1.9832,0.0170802,0.00410112,-0.942913
0.05,1.0,1.97449,-4.03682,-0.96361,-4.02031,-0.964046,1.00013,1.97372,0.0169323,0.00504134,-0.950769
0.06,1.0,1.96444,-4.01866,-0.959276,-4.00125,-0.959737,1.00018,1.96418,0.0168055,0.00617551,-0.957481
0.07,1.0,1.95388,-3.99895,-0.954571,-3.98197,-0.955054,1.00026,1.95458,0.0166955,0.00757919,-0.962608
0.08,1.0,1.94282,-3.97797,-0.949565,-3.96165,-0.950082,1.00032,1.94493,0.0165972,0.00924318,-0.966934
0.09,1.0,1.93131,-3.95572,-0.944254,-3.93886,-0.94482,1.00044,1.93525,0.0165103,0.0110798,-0.970231
0.1,1.0,1.91934,-3.93246,-0.938703,-3.91561,-0.939305,1.00055,1.92553,0.0158099,0.0131924,-0.972622
0.11,1.0,1.90712,-3.90856,-0.933009,-3.89184,-0.933426,1.00069,1.9158,0.0150723,0.0151789,-0.974396
0.12,1.0,1.89442,-3.88331,-0.927008,-3.86776,-0.927386,1.00087,1.90605,0.0144258,0.0177321,-0.975591
0.13,1.0,1.88131,-3.85701,-0.920762,-3.84189,-0.921089,1.00104,1.89629,0.0138338,0.0206153,-0.976216
0.14,1.0,1.86779,-3.82979,-0.914303,-3.81405,-0.91457,1.00126,1.88652,0.0133207,0.0229373,-0.976502
0.15,1.0,1.85401,-3.80184,-0.907671,-3.78668,-0.907875,1.00151,1.87676,0.0128738,0.0262959,-0.976112
0.16,1.0,1.84002,-3.77347,-0.900943,-3.75809,-0.901152,1.00176,1.867,0.0124739,0.0299742,-0.975793
0.17,1.0,1.82579,-3.7443,-0.894024,-3.73001,-0.894234,1.00209,1.85724,0.0121154,0.0325817,-0.975051
0.18,1.0,1.81133,-3.71461,-0.886982,-3.70058,-0.887134,1.00244,1.8475,0.0117969,0.0367741,-0.974179
0.19,1.0,1.79685,-3.6847,-0.879851,-3.66967,-0.879986,1.00279,1.83776,0.0115146,0.0412903,-0.973335
0.2,1.0,1.78204,-3.65403,-0.872611,-3.63912,-0.872755,1.00324,1.82803,0.011268,0.044207,-0.972142
0.21,1.0,1.76717,-3.62314,-0.865284,-3.60857,-0.865414,1.00371,1.81831,0.0110511,0.049204,-0.971075
0.22,1.0,1.75219,-3.59173,-0.857829,-3.57617,-0.857925,1.0042,1.80861,0.0108442,0.0545146,-0.96987
0.23,1.0,1.73711,-3.56018,-0.85034,-3.54654,-0.850469,1.00477,1.79892,0.0106657,0.0577222,-0.96852
0.24,1.0,1.72197,-3.52844,-0.842806,-3.51429,-0.842883,1.00538,1.78924,0.010495,0.0635983,-0.96736
0.25,1.0,1.70675,-3.49619,-0.835149,-3.48251,-0.835246,1.00603,1.77957,0.0103458,0.0698495,-0.966213
0.26,1.0,1.69149,-3.46393,-0.827471,-3.45004,-0.827568,1.00674,1.76991,0.0102005,0.0733708,-0.964831
0.27,1.0,1.67615,-3.43135,-0.819751,-3.41682,-0.819818,1.00753,1.76027,0.0100742,0.0802467,-0.96375
0.28,1.0,1.66081,-3.39867,-0.81199,-3.38459,-0.812057,1.00837,1.75064,0.00995035,0.0875984,-0.962281
0.29,1.0,1.64549,-3.36596,-0.804204,-3.35165,-0.804227,1.00926,1.74102,0.00983732,0.0954982,-0.961026
0.3,1.0,1.63011,-3.33296,-0.796375,-3.31876,-0.796372,1.01023,1.73142,0.00973597,0.0995227,-0.959898
0.31,1.0,1.61474,-3.29999,-0.78854,-3.28571,-0.788458,1.0113,1.72183,0.00963273,0.108178,-0.958579
0.32,1.0,1.59943,-3.267,-0.780698,-3.2519,-0.780688,1.01245,1.71225,0.00953911,0.117458,-0.957374
0.33,1.0,1.58418,-3.23413,-0.772846,-3.21915,-0.772904,1.01367,1.70268,0.00945396,0.127361,-0.95602
0.34,1.0,1.56876,-3.20078,-0.764954,-3.18466,-0.764901,1.01499,1.69313,0.00936964,0.137986,-0.954701
0.35,1.0,1.55345,-3.16753,-0.757047,-3.15454,-0.757048,1.01639,1.68359,0.00928925,0.149685,-0.95314
0.36,1.0,1.53816,-3.13428,-0.749137,-3.12072,-0.749143,1.01791,1.67406,0.00921542,0.162151,-0.951644
0.37,1.0,1.5229,-3.10108,-0.741241,-3.08968,-0.741238,1.01954,1.66455,0.00914713,0.175549,-0.950117
0.38,1.0,1.5077,-3.06793,-0.733352,-3.05536,-0.733393,1.02132,1.65506,0.0090777,0.189915,-0.94856
0.39,1.0,1.49249,-3.03483,-0.725475,-3.02287,-0.725575,1.02818,1.64558,0.00901191,1.21139,-0.947036
0.4,1.0,1.47732,-3.00168,-0.717585,-2.98863,-0.717577,1.04012,1.63612,0.00895059,1.18779,-0.944867
0.41,1.0,1.46219,-2.96852,-0.709693,-2.9555,-0.709589,1.05186,1.62668,0.0088931,1.16578,-0.94336
0.42,1.0,1.44716,-2.93559,-0.701826,-2.92148,-0.701783,1.06342,1.61726,0.00883688,1.1437,-0.941812
0.43,1.0,1.43211,-2.90252,-0.693979,-2.89207,-0.694021,1.07474,1.60785,0.00878068,1.12107,-0.939388
0.44,1.0,1.41712,-2.86953,-0.686125,-2.85858,-0.68613,1.08587,1.59847,0.00872778,1.10021,-0.937199
0.45,1.0,1.40215,-2.83668,-0.6783,-2.82544,-0.678354,1.09682,1.5891,0.0086779,1.07727,-0.935794
0.46,1.0,1.38725,-2.80386,-0.670485,-2.79117,-0.670454,1.10756,1.57976,0.00863073,1.05712,-0.933601
0.47,1.0,1.37244,-2.7712,-0.662702,-2.76013,-0.662666,1.1181,0.0149265,0.00858524,1.03818,-0.00311815
0.48,1.0,1.35765,-2.73852,-0.654917,-2.72626,-0.654812,1.12848,1.56111,0.00853846,1.01676,-0.931818
0.49,1.0,1.34291,-2.70615,-0.647207,-2.69535,-0.64727,1.13866,1.55182,0.00849402,0.99648,-0.927737
0.5,1.0,1.32833,-2.6739,-0.639485,-2.66309,-0.639472,1.14876,1.54255,0.00845174,1.01742,-0.92497
0.51,1.0,1.31364,-2.64141,-0.631778,-2.63136,-0.631735,1.15879,1.53332,0.00841143,0.998176,-0.922324
0.52,1.0,1.29908,-2.60931,-0.624128,-2.59867,-0.62412,1.16862,1.5241,0.00837299,0.978065,-0.920556
0.53,1.0,1.2846,-2.57731,-0.616497,-2.56754,-0.616484,1.17827,1.51491,0.00833589,0.96186,-0.918006
0.54,1.0,1.27017,-2.54537,-0.608884,-2.53575,-0.608779,1.1878,1.50575,0.0082974,0.944201,-0.914751
0.55,1.0,1.25581,-2.51369,-0.601331,-2.50392,-0.601285,1.19713,1.49661,0.00826052,0.924661,-0.914076
0.56,1.0,1.24155,-2.48217,-0.593808,-2.47315,-0.593717,1.20631,1.48748,0.00822511,0.908917,-0.911264
0.57,1.0,1.22728,-2.45068,-0.586307,-2.44079,-0.586265,1.21534,1.47839,0.00819109,0.892167,-0.90804
0.58,1.0,1.21314,-2.4194,-0.578838,-2.40995,-0.578696,1.22421,1.46932,0.00815845,0.874997,-0.905836
0.59,1.0,1.19902,-2.38828,-0.571426,-2.37911,-0.571429,1.23294,1.46027,0.00812706,0.858515,-0.90358
0.6,1.0,1.18501,-2.35726,-0.564026,-2.34871,-0.564009,1.2415,1.45125,0.00809683,0.844549,-0.900847
0.61,1.0,1.1711,-2.32661,-0.556698,-2.31782,-0.556656,1.25023,1.44226,0.00806517,0.837883,-0.897809
0.62,1.0,1.1572,-2.29588,-0.549381,-2.28801,-0.549416,1.25827,1.4333,0.00803453,0.843418,-0.895934
0.63,1.0,1.1434,-2.26551,-0.542136,-2.25667,-0.54196,1.26661,1.42435,0.00800496,0.828746,-0.892814
0.64,1.0,1.12967,-2.23526,-0.534919,-2.22761,-0.534904,1.27478,1.41545,0.00797639,0.814164,-0.889509
0.65,1.0,1.11602,-2.20518,-0.527739,-2.19699,-0.527585,1.28285,1.40657,0.00794876,0.799704,-0.887052
0.66,1.0,1.10246,-2.17527,-0.5206,-2.16751,-0.520562,1.29076,1.39771,0.00792205,0.784541,-0.884393
0.67,1.0,1.08895,-2.14559,-0.513516,-2.13738,-0.513409,1.29855,1.38888,0.00789617,0.772524,-0.881504
0.68,1.0,1.07556,-2.11611,-0.506478,-2.10935,-0.506533,1.3062,1.38009,0.00787109,0.758715,-0.878132
0.69,1.0,1.06223,-2.08684,-0.499491,-2.07923,-0.499413,1.31376,1.37132,0.00784566,0.745442,-0.876077
0.7,1.0,1.04898,-2.05774,-0.492544,-2.05082,-0.49271,1.32115,1.36258,0.00782006,0.731353,-0.872656
0.71,1.0,1.03578,-2.02885,-0.485645,-2.0209,-0.485504,1.32846,1.35387,0.00779519,0.71951,-0.869247
0.72,1.0,1.02268,-2.00015,-0.478793,-1.9934,-0.478905,1.33562,1.34519,0.00777104,0.707778,-0.866447
0.73,1.0,1.00964,-1.97163,-0.471981,-1.9648,-0.472067,1.34269,1.33654,0.00774757,0.695508,-0.863738
0.74,1.0,0.996736,-1.94343,-0.465246,-1.93691,-0.465211,1.34963,1.32792,0.00772476,0.706956,-0.860615
0.75,1.0,0.983885,-1.91534,-0.458537,-1.90853,-0.458657,1.35662,1.31934,0.00770256,0.694377,-0.856959
0.76,1.0,0.971128,-1.88744,-0.451873,-1.88099,-0.451802,1.3635,1.31078,0.00768095,0.684223,-0.854743
0.77,1.0,0.958447,-1.8598,-0.445271,-1.85317,-0.44531,1.37027,1.30226,0.0076599,0.672326,-0.850939
0.78,1.0,0.945862,-1.83235,-0.438711,-1.82569,-0.438712,1.37695,1.29377,0.00763938,0.660858,-0.847445
0.79,1.0,0.933348,-1.80515,-0.432214,-1.79882,-0.432177,1.38348,1.28531,0.00761861,0.648637,-0.843998
0.8,1.0,0.920938,-1.77817,-0.425768,-1.77179,-0.425818,1.38994,1.27689,0.00759759,0.637666,-0.84122
0.81,1.0,0.908611,-1.75136,-0.419362,-1.74482,-0.419315,1.39627,1.2685,0.00757708,0.62839,-0.837918
0.82,1.0,0.896352,-1.72476,-0.413004,-1.71851,-0.41308,1.40252,1.26014,0.00755707,0.61756,-0.834166
