t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,1.9872,-4.05515,-0.975356,-4.03862,-0.975859,1.00005,0.0187099,0.0187099,0.00534874,-0.0383067
0.02,1.0,1.98729,-4.06571,-0.970506,-4.04865,-0.970854,1.00003,2.00154,0.0184287,0.00375288,-0.939585
0.03,1.0,1.9742,-4.04653,-0.965928,-4.02823,-0.966242,1.00005,1.99208,0.0182509,0.00427035,-0.952263
0.04,1.0,1.9611,-4.02655,-0.96116,-4.0099,-0.96144,1.00011,1.98251,0.0181069,0.00581238,-0.959814
0.05,1.0,1.94776,-4.00557,-0.956152,-3.98933,-0.956428,1.00015,1.97289,0.0179817,0.00752626,-0.964614
0.06,1.0,1.93406,-3.98348,-0.95088,-3.96589,-0.951155,1.00025,1.96322,0.0178695,0.00892173,-0.967935
0.07,1.0,1.91997,-3.96025,-0.945336,-3.94314,-0.945625,1.00035,1.95353,0.0177675,0.0110532,-0.969965
0.08,1.0,1.90544,-3.93591,-0.939525,-3.91919,-0.939816,1.00044,1.94382,0.0176738,0.0127687,-0.971453
0.09,1.0,1.89051,-3.91051,-0.933465,-3.89412,-0.933774,1.00061,1.9341,0.017587,0.0154018,-0.972346
0.1,1.0,1.87515,-3.88404,-0.927145,-3.86862,-0.92748,1.00077,1.92438,0.0175063,0.0183455,-0.972648
0.11,1.0,1.8594,-3.85662,-0.920601,-3.84057,-0.920953,1.00095,1.91465,0.0174306,0.0206268,-0.972763
0.12,1.0,1.84329,-3.82832,-0.913847,-3.81276,-0.914236,1.00119,1.90492,0.0173594,0.0241489,-0.97255
0.13,1.0,1.82678,-3.7991,-0.906873,-3.78431,-0.907289,1.00144,1.8952,0.0172922,0.0280022,-0.972148
0.14,1.0,1.80995,-3.76914,-0.899722,-3.75392,-0.90017,1.00173,1.88548,0.0172285,0.0307337,-0.971663
0.15,1.0,1.79281,-3.73846,-0.8924,-3.72394,-0.89288,1.00207,1.87577,0.017168,0.0350688,-0.970845
0.16,1.0,1.77533,-3.70701,-0.884893,-3.69273,-0.885402,1.00243,1.86606,0.0171104,0.0397931,-0.969969
0.17,1.0,1.75762,-3.67501,-0.877254,-3.66041,-0.877812,1.00284,1.85637,0.0170554,0.04295,-0.968946
0.18,1.0,1.73966,-3.64244,-0.86948,-3.62835,-0.870091,1.00331,1.84668,0.0170028,0.0482976,-0.967761
0.19,1.0,1.72149,-3.60935,-0.861582,-3.59405,-0.862202,1.0038,1.83701,0.0169523,0.0541348,-0.966492
0.2,1.0,1.70313,-3.57582,-0.85358,-3.5623,-0.854289,1.00435,1.82735,0.0169037,0.0577812,-0.965139
0.21,1.0,1.68458,-3.54184,-0.84547,-3.52782,-0.846204,1.00499,1.81771,0.016857,0.0643063,-0.963791
0.22,1.0,1.6659,-3.5075,-0.837271,-3.49432,-0.838066,1.00566,1.80808,0.016812,0.0713881,-0.962513
0.23,1.0,1.64707,-3.4728,-0.828989,-3.45933,-0.829801,1.00638,1.79846,0.0167685,0.0790568,-0.961252
0.24,1.0,1.62814,-3.43782,-0.82064,-3.42327,-0.821485,1.0072,1.78885,0.0167265,0.0833845,-0.960058
0.25,1.0,1.60912,-3.40259,-0.812231,-3.38906,-0.813108,1.00809,1.77926,0.0166858,0.091883,-0.958878
0.26,1.0,1.59003,-3.36713,-0.803768,-3.35375,-0.804689,1.00905,1.76968,0.0166464,0.101069,-0.957471
0.27,1.0,1.57089,-3.3315,-0.795263,-3.31759,-0.796206,1.01009,1.76011,0.0166081,0.110983,-0.956097
0.28,1.0,1.55171,-3.29572,-0.786723,-3.28239,-0.787709,1.01122,1.75055,0.0165709,0.115952,-0.954822
0.29,1.0,1.53251,-3.25981,-0.778151,-3.24393,-0.779109,1.01247,1.74102,0.0165348,0.126842,-0.953063
0.3,1.0,1.5133,-3.22381,-0.769558,-3.20917,-0.770571,1.01382,1.73149,0.016448,0.138549,-0.951501
0.31,1.0,1.4941,-3.18774,-0.760949,-3.17212,-0.761937,1.01529,1.72199,0.0163054,0.151113,-0.949944
0.32,1.0,1.47491,-3.15161,-0.752324,-3.13876,-0.75344,1.01685,1.71249,0.0161794,0.164435,-0.948203
0.33,1.0,1.45577,-3.11547,-0.743699,-3.10212,-0.744847,1.01854,1.70302,0.0160525,0.178775,-0.946452
0.34,1.0,1.43665,-3.0793,-0.735066,-3.06719,-0.736282,1.02038,1.69357,0.015938,0.194054,-0.944625
0.35,1.0,1.41756,-3.04313,-0.726431,-3.03138,-0.727668,1.02239,1.68413,0.0158261,0.210284,-0.942867
0.36,1.0,1.39851,-3.00694,-0.717793,-2.99439,-0.719049,1.02457,1.67471,0.0157207,0.227636,-0.940921
0.37,1.0,1.37955,-2.97085,-0.709179,-2.95818,-0.710396,1.02696,1.66531,0.0156208,0.246247,-0.938946
0.38,1.0,1.36064,-2.93487,-0.700593,-2.92135,-0.701584,1.02956,1.65593,0.015525,0.280132,-0.93711
0.39,1.0,1.34183,-2.8989,-0.692009,-2.88679,-0.692983,1.03244,1.64657,0.0154315,0.301646,-0.934936
0.4,1.0,1.3231,-2.86303,-0.683451,-2.85216,-0.684432,1.03559,1.63723,0.0153394,0.341929,-0.932815
0.41,1.0,1.3044,-2.82719,-0.674903,-2.81579,-0.67576,1.03914,1.62792,0.015254,0.387027,-0.930718
0.42,1.0,1.28576,-2.79134,-0.666351,-2.77916,-0.667251,1.04325,1.61862,0.0151739,0.438222,-0.928388
0.43,1.0,1.26727,-2.75579,-0.657871,-2.74455,-0.658581,1.04856,1.60939,0.0150927,0.722251,-0.92616
0.44,1.0,1.24885,-2.72024,-0.64939,-2.70974,-0.650236,1.05647,1.6001,0.0150167,0.827278,-0.923787
0.45,1.0,1.23057,-2.6849,-0.640957,-2.67345,-0.641726,1.0648,1.59087,0.0149451,0.842867,-0.921526
0.46,1.0,1.21239,-2.64973,-0.632571,-2.63916,-0.63335,1.07319,1.58167,0.0148773,0.839867,-0.91907
0.47,1.0,1.19434,-2.61468,-0.624212,-2.60446,-0.624903,1.08168,1.57249,0.0148082,0.845812,-0.916559
0.48,1.0,1.17639,-2.57984,-0.615901,-2.56975,-0.616694,1.09009,1.56334,0.0147426,0.83957,-0.914263
0.49,1.0,1.15858,-2.54516,-0.607628,-2.53544,-0.608351,1.09843,1.55421,0.0146803,0.835926,-0.911513
0.5,1.0,1.14088,-2.51067,-0.599402,-2.50067,-0.60021,1.1068,1.54511,0.0146209,0.827062,-0.908971
0.51,1.0,1.12333,-2.47638,-0.591222,-2.467,-0.591873,1.11504,1.53603,0.0145643,0.820332,-0.906339
0.52,1.0,1.10587,-2.44228,-0.583089,-2.43204,-0.583834,1.1232,1.52698,0.0145065,0.81055,-0.903649
0.53,1.0,1.08858,-2.40838,-0.575002,-2.39924,-0.575695,1.13124,1.51796,0.0144511,0.803444,-0.901009
0.54,1.0,1.07143,-2.37477,-0.566978,-2.36548,-0.567763,1.13919,1.50897,0.014398,0.793069,-0.898078
0.55,1.0,1.0544,-2.34126,-0.558991,-2.3327,-0.559629,1.14702,1.50003,0.014347,0.78565,-0.895468
0.56,1.0,1.03751,-2.30804,-0.551068,-2.29871,-0.551808,1.15478,1.49106,0.0142981,0.774984,-0.892084
0.57,1.0,1.02088,-2.27523,-0.543208,-2.26739,-0.543839,1.16242,1.48216,0.0142511,0.756127,-0.889317
0.58,1.0,1.00422,-2.24234,-0.535385,-2.23323,-0.53604,1.17,1.47328,0.0142039,0.744769,-0.886401
0.59,1.0,0.987778,-2.20973,-0.527614,-2.20122,-0.52822,1.17746,1.46443,0.0141576,0.735867,-0.883372
0.6,1.0,0.971476,-2.17745,-0.519914,-2.16882,-0.520558,1.18484,1.45561,0.0141129,0.724736,-0.880396
0.61,1.0,0.955323,-2.14537,-0.512259,-2.13803,-0.51285,1.19209,1.44683,0.0140697,0.715455,-0.877116
0.62,1.0,0.93929,-2.11353,-0.504664,-2.10555,-0.505269,1.19924,1.43807,0.0140281,0.704619,-0.874247
0.63,1.0,0.923419,-2.08195,-0.497129,-2.07394,-0.497702,1.2063,1.42935,0.0139878,0.694998,-0.870592
0.64,1.0,0.907656,-2.05054,-0.489636,-2.04299,-0.490229,1.21324,1.42066,0.0139488,0.684582,-0.867491
0.65,1.0,0.892133,-2.01959,-0.482233,-2.01259,-0.482803,1.2201,1.412,0.0139111,0.67473,-0.864088
0.66,1.0,0.876637,-1.98859,-0.474856,-1.98189,-0.475428,1.22682,1.40338,0.0138735,0.664576,-0.860751
0.67,1.0,0.861341,-1.958,-0.467556,-1.95102,-0.468249,1.23348,1.39479,0.0138361,0.653313,-0.857326
0.68,1.0,0.846244,-1.92771,-0.460329,-1.92156,-0.460867,1.24001,1.38623,0.0137999,0.64443,-0.853702
0.69,1.0,0.831273,-1.89764,-0.453153,-1.89066,-0.453707,1.24646,1.37771,0.0137648,0.63393,-0.85033
0.7,1.0,0.8165,-1.86792,-0.446056,-1.86206,-0.446599,1.25282,1.36923,0.0137307,0.624566,-0.846338
0.71,1.0,0.801825,-1.83836,-0.439007,-1.83107,-0.439471,1.25906,1.36078,0.0136976,0.614593,-0.842928
0.72,1.0,0.787272,-1.80906,-0.432016,-1.80288,-0.432624,1.26523,1.35237,0.0136654,0.603817,-0.83918
0.73,1.0,0.772901,-1.78004,-0.425091,-1.77395,-0.425605,1.27128,1.344,0.0136341,0.595261,-0.835851
0.74,1.0,0.758672,-1.75131,-0.418237,-1.74518,-0.418725,1.27725,1.33566,0.0136037,0.585181,-0.831802
0.75,1.0,0.744601,-1.72282,-0.411436,-1.71712,-0.411964,1.28317,1.32736,0.0135741,0.592909,-0.828195
0.76,1.0,0.730689,-1.69461,-0.404705,-1.68823,-0.405159,1.28897,1.31911,0.0135453,0.583439,-0.824076
0.77,1.0,0.71693,-1.66673,-0.39805,-1.66104,-0.398583,1.29472,1.31088,0.0135161,0.573299,-0.820278
0.78,1.0,0.703332,-1.63905,-0.391446,-1.63387,-0.391878,1.30036,1.3027,0.0134875,0.564762,-0.815983
0.79,1.0,0.689892,-1.61172,-0.384923,-1.60601,-0.385351,1.30591,1.29456,0.0134596,0.555548,-0.812175
0.8,1.0,0.676607,-1.58467,-0.378467,-1.57933,-0.379055,1.31139,1.28646,0.0134324,0.545673,-0.808157
0.81,1.0,0.663482,-1.55784,-0.372062,-1.55245,-0.37243,1.31677,1.2784,0.0134059,0.537492,-0.804097
0.82,1.0,0.65051,-1.5313,-0.365728,-1.52599,-0.366133,1.32207,1.27038,0.01338,0.528406,-0.799913
0.83,1.0,0.637701,-1.50511,-0.359477,-1.49988,-0.360038,1.3273,1.2624,0.0133548,0.518879,-0.795792
0.84,1.0,0.625072,-1.47913,-0.353276,-1.47391,-0.353597,1.33242,1.25447,0.0133302,0.51093,-0.791658
0.85,1.0,0.612587,-1.45345,-0.347147,-1.44807,-0.347533,1.33747,1.24657,0.0133062,0.502174,-0.787078
0.86,1.0,0.600256,-1.42808,-0.341091,-1.42307,-0.341591,1.34245,1.23873,0.0132828,0.493024,-0.782654
0.87,1.0,0.588103,-1.40298,-0.335098,-1.39797,-0.335481,1.34734,1.23092,0.01326,0.485254,-0.77847
0.88,1.0,0.576095,-1.37817,-0.329176,-1.37256,-0.329418,1.35214,1.22316,0.0132376,0.476733,-0.774251
0.89,1.0,0.564243,-1.35364,-0.32332,-1.34878,-0.323739,1.35688,1.21544,0.0132158,0.468008,-0.769901
0.9,1.0,0.552555,-1.32937,-0.317527,-1.32484,-0.317859,1.36154,1.20776,0.0131945,0.460284,-0.765461
0.91,1.0,0.541031,-1.30544,-0.311813,-1.30111,-0.312183,1.3661,1.20013,0.0131736,0.452216,-0.760941
0.92,1.0,0.529643,-1.28174,-0.306158,-1.27659,-0.306432,1.3706,1.19254,0.0131532,0.443882,-0.756447
