t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.00854,-4.08693,-0.978664,-4.07256,-0.979874,1.00001,2.01093,0.017443,0.0057542,-0.901685
0.02,1.0,2.00682,-4.08933,-0.976142,-4.07369,-0.976848,1.00004,2.00181,0.0167176,0.00515638,-0.918766
0.03,1.0,1.99912,-4.07703,-0.973208,-4.05985,-0.973792,1.00007,1.99253,0.0164061,0.0050992,-0.934594
0.04,1.0,1.991,-4.06306,-0.969873,-4.04692,-0.970371,1.00011,1.98312,0.0162201,0.00389636,-0.947599
0.05,1.0,1.98241,-4.0474,-0.966135,-4.0308,-0.966637,1.00016,1.97359,0.0160848,0.00426628,-0.957288
0.06,1.0,1.97326,-4.03018,-0.962026,-4.01256,-0.962551,1.00018,1.96398,0.0159727,0.00525833,-0.965277
0.07,1.0,1.9637,-4.01195,-0.957687,-3.99516,-0.958046,1.00026,1.95429,0.0148345,0.00627316,-0.971345
0.08,1.0,1.9535,-3.99182,-0.952919,-3.97561,-0.953222,1.00031,1.94456,0.0137672,0.00763466,-0.975946
0.09,1.0,1.94279,-3.97024,-0.947818,-3.95325,-0.948036,1.00041,1.93478,0.0128222,0.00969138,-0.97859
0.1,1.0,1.93152,-3.94746,-0.94244,-3.93079,-0.942594,1.00051,1.92499,0.0119556,0.0117445,-0.979888
0.11,1.0,1.91984,-3.92352,-0.936791,-3.907,-0.936901,1.00062,1.91519,0.0112087,0.0138393,-0.980492
0.12,1.0,1.90788,-3.89863,-0.930919,-3.88197,-0.930974,1.00079,1.90538,0.0105686,0.016262,-0.979972
0.13,1.0,1.89551,-3.8728,-0.924827,-3.85793,-0.924872,1.00095,1.89559,0.0100279,0.0190952,-0.979487
0.14,1.0,1.88293,-3.84621,-0.918553,-3.82974,-0.918523,1.00115,1.8858,0.00955926,0.0213331,-0.978771
0.15,1.0,1.87009,-3.81894,-0.912116,-3.80336,-0.91206,1.00139,1.87602,0.00915688,0.024718,-0.977337
0.16,1.0,1.85699,-3.791,-0.905521,-3.77559,-0.905409,1.00163,1.86625,0.00881483,0.0285172,-0.975887
0.17,1.0,1.84369,-3.76245,-0.89878,-3.74824,-0.898636,1.00194,1.8565,0.00851742,0.0310854,-0.974583
0.18,1.0,1.83026,-3.73342,-0.891924,-3.71856,-0.891783,1.00227,1.84676,0.00825617,0.0349844,-0.973015
0.19,1.0,1.81652,-3.70363,-0.884882,-3.6879,-0.8847,1.00261,1.83703,0.00803029,0.0392578,-0.971802
0.2,1.0,1.80265,-3.67343,-0.877741,-3.65915,-0.877546,1.00303,1.82732,0.00783915,0.0421207,-0.970393
0.21,1.0,1.78867,-3.64298,-0.870538,-3.62843,-0.870323,1.00348,1.81763,0.00765742,0.0467235,-0.969134
0.22,1.0,1.77462,-3.61213,-0.863237,-3.59754,-0.863033,1.00395,1.80794,0.00750041,0.0517071,-0.967982
0.23,1.0,1.76053,-3.58105,-0.855877,-3.56652,-0.855684,1.00448,1.79826,0.00735624,0.0547889,-0.966835
0.24,1.0,1.74647,-3.55008,-0.848542,-3.53495,-0.84835,1.00507,1.7886,0.00722753,0.0601974,-0.966017
0.25,1.0,1.73235,-3.51861,-0.841089,-3.50473,-0.84093,1.00568,1.77895,0.00710667,0.0659797,-0.964872
0.26,1.0,1.71819,-3.48702,-0.833604,-3.47303,-0.833451,1.00635,1.7693,0.00700214,0.0693195,-0.963977
0.27,1.0,1.704,-3.45516,-0.826052,-3.44109,-0.825932,1.0071,1.75967,0.00689701,0.0756255,-0.963136
0.28,1.0,1.68975,-3.4232,-0.818474,-3.40917,-0.818339,1.00788,1.75006,0.00680529,0.0823537,-0.961575
0.29,1.0,1.67551,-3.39111,-0.810863,-3.37651,-0.810685,1.00871,1.74043,0.00672047,0.0895687,-0.96044
0.3,1.0,1.6613,-3.35895,-0.803232,-3.34531,-0.80308,1.00964,1.73083,0.00663711,0.0933032,-0.959597
0.31,1.0,1.64706,-3.32654,-0.795541,-3.31299,-0.795363,1.01063,1.72124,0.00656275,0.101124,-0.958137
0.32,1.0,1.63279,-3.29413,-0.787849,-3.27935,-0.787618,1.01169,1.71166,0.00649506,0.109491,-0.956979
0.33,1.0,1.61852,-3.26158,-0.780122,-3.24825,-0.779898,1.01281,1.7021,0.00642549,0.118441,-0.955963
0.34,1.0,1.60431,-3.22904,-0.772393,-3.21356,-0.772141,1.01401,1.69255,0.00636246,0.122554,-0.954536
0.35,1.0,1.59006,-3.1964,-0.764642,-3.18146,-0.764351,1.01533,1.68301,0.00630497,0.132239,-0.952923
0.36,1.0,1.57588,-3.16373,-0.756878,-3.15008,-0.756599,1.01672,1.67349,0.00624995,0.142722,-0.951402
0.37,1.0,1.5617,-3.13111,-0.749126,-3.11837,-0.749077,1.01821,1.66398,0.00619469,0.153817,-0.950021
0.38,1.0,1.54756,-3.09882,-0.741452,-3.08697,-0.741351,1.02727,1.65449,0.00614378,1.25715,-0.948393
0.39,1.0,1.5334,-3.06595,-0.733639,-3.05361,-0.733464,1.03974,1.64501,0.00609668,1.22694,-0.946976
0.4,1.0,1.51929,-3.03336,-0.725888,-3.02223,-0.725708,1.05196,1.63555,0.0060529,1.20236,-0.945346
0.41,1.0,1.50518,-3.00072,-0.718125,-2.98843,-0.717877,1.06395,1.62611,0.00600724,1.17704,-0.943339
0.42,1.0,1.49114,-2.96828,-0.710409,-2.95657,-0.710336,1.07568,1.61668,0.00596421,1.1924,-0.941994
0.43,1.0,1.47705,-2.93557,-0.702626,-2.92162,-0.702443,1.08744,1.60728,0.00592393,1.16946,-0.939815
0.44,1.0,1.46307,-2.90321,-0.694924,-2.89127,-0.694691,1.09898,1.59789,0.00588614,1.14402,-0.937644
