t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.01169,-4.09169,-0.979256,-4.07842,-0.980587,1.00001,0.0167412,0.0167412,0.00774306,-0.167699
0.02,1.0,2.00921,-4.09347,-0.977129,-4.07785,-0.977847,1.00004,2.00147,0.0157646,0.00529953,-0.942568
0.03,1.0,2.00175,-4.08216,-0.974432,-4.06489,-0.974926,1.00008,1.99194,0.0153567,0.00534363,-0.962408
0.04,1.0,1.9939,-4.06896,-0.971286,-4.05216,-0.971538,1.00011,1.98223,0.015056,0.00330935,-0.976755
0.05,1.0,1.98557,-4.05394,-0.967732,-4.03701,-0.967847,1.00016,1.97243,0.014292,0.00360957,-0.981611
0.06,1.0,1.97649,-4.03673,-0.963675,-4.01814,-0.963719,1.00019,1.96262,0.0129008,0.00513744,-0.981748
0.07,1.0,1.96694,-4.01802,-0.959275,-4.00124,-0.95928,1.00025,1.9528,0.0116698,0.00585049,-0.981341
0.08,1.0,1.95666,-3.99749,-0.95445,-3.98089,-0.95441,1.00033,1.943,0.010649,0.00844725,-0.980239
0.09,1.0,1.94582,-3.97575,-0.949343,-3.95821,-0.949274,1.00039,1.9332,0.00979365,0.0108708,-0.97898
0.1,1.0,1.93485,-3.95309,-0.944023,-3.93646,-0.943939,1.00053,1.92342,0.00901171,0.0125429,-0.978003
0.11,1.0,1.92337,-3.92926,-0.938429,-3.91294,-0.938341,1.00067,1.91364,0.00833996,0.0147483,-0.97671
0.12,1.0,1.91161,-3.9044,-0.932593,-3.88838,-0.93249,1.0008,1.90388,0.00776538,0.0166409,-0.975662
0.13,1.0,1.89957,-3.87864,-0.926543,-3.8638,-0.926422,1.001,1.89413,0.00728753,0.0192718,-0.974507
0.14,1.0,1.88737,-3.85219,-0.920328,-3.83566,-0.920192,1.0012,1.8844,0.00686967,0.0219419,-0.973186
0.15,1.0,1.87489,-3.82507,-0.91395,-3.8095,-0.913797,1.00142,1.87467,0.00650672,0.0241449,-0.971727
0.16,1.0,1.86235,-3.79731,-0.907421,-3.7817,-0.907275,1.00169,1.86496,0.00619844,0.0274684,-0.97073
0.17,1.0,1.84938,-3.7687,-0.900686,-3.75406,-0.90051,1.00196,1.85526,0.00593709,0.0308506,-0.969337
0.18,1.0,1.83582,-3.73899,-0.893688,-3.72395,-0.893518,1.00229,1.84557,0.00570776,0.0331568,-0.967648
0.19,1.0,1.82127,-3.70762,-0.886287,-3.69198,-0.886131,1.00265,1.8359,0.00550822,0.0373264,-0.966635
0.2,1.0,1.80643,-3.67593,-0.878803,-3.6613,-0.878635,1.00302,1.82624,0.0053416,0.0417887,-0.965252
0.21,1.0,1.79168,-3.64445,-0.871363,-3.63069,-0.871206,1.00345,1.8166,0.00519334,0.0445927,-0.963617
0.22,1.0,1.77716,-3.61306,-0.863942,-3.59881,-0.863804,1.00393,1.80697,0.00505872,0.0493371,-0.962202
0.23,1.0,1.76264,-3.58153,-0.856486,-3.56796,-0.856383,1.00442,1.79735,0.00494214,0.0544937,-0.960733
0.24,1.0,1.74811,-3.54982,-0.848985,-3.53525,-0.848843,1.00499,1.78775,0.00483177,0.0575774,-0.959122
0.25,1.0,1.73354,-3.5179,-0.841429,-3.50452,-0.841333,1.00561,1.77817,0.00473505,0.0631504,-0.957375
0.26,1.0,1.71895,-3.48577,-0.833825,-3.47248,-0.833734,1.00625,1.76861,0.00464458,0.069231,-0.956098
0.27,1.0,1.70438,-3.45347,-0.826175,-3.44,-0.826073,1.00695,1.75905,0.00456127,0.0725127,-0.954355
0.28,1.0,1.68989,-3.42097,-0.818476,-3.40733,-0.818415,1.00773,1.74952,0.00448732,0.0789821,-0.952392
0.29,1.0,1.67533,-3.38827,-0.810727,-3.3742,-0.810692,1.00855,1.74,0.00441356,0.0858752,-0.951087
0.3,1.0,1.66067,-3.35542,-0.802939,-3.34191,-0.802899,1.0094,1.7305,0.00434917,0.0933034,-0.949282
0.31,1.0,1.64597,-3.32246,-0.795124,-3.30858,-0.795031,1.01038,1.72102,0.00428655,0.0968689,-0.947332
0.32,1.0,1.63135,-3.2895,-0.787306,-3.27539,-0.787195,1.0114,1.71156,0.00422757,0.104858,-0.945424
0.33,1.0,1.61677,-3.25646,-0.779468,-3.24307,-0.77936,1.01248,1.70211,0.00417496,0.113432,-0.94417
0.34,1.0,1.60213,-3.22334,-0.771607,-3.20874,-0.771382,1.01362,1.69268,0.00412175,0.122535,-0.942282
0.35,1.0,1.58752,-3.19017,-0.763731,-3.17605,-0.763544,1.01489,1.68327,0.00407244,0.126037,-0.939949
0.36,1.0,1.57292,-3.15698,-0.755851,-3.14319,-0.755745,1.01622,1.67388,0.00402774,0.136035,-0.938398
0.37,1.0,1.55827,-3.12386,-0.747983,-3.11209,-0.747857,1.01763,1.6645,0.00398323,0.146497,-0.936488
0.38,1.0,1.54375,-3.09071,-0.740108,-3.07861,-0.740135,1.02976,1.65515,0.00394055,1.26121,-0.933789
0.39,1.0,1.52913,-3.05749,-0.732213,-3.04632,-0.732208,1.04225,1.64582,0.0039014,1.23468,-0.932416
0.4,1.0,1.5146,-3.02437,-0.72434,-3.01287,-0.724363,1.05448,1.6365,0.00386532,1.2079,-0.93064
0.41,1.0,1.50003,-2.99124,-0.716464,-2.9798,-0.716328,1.06645,1.62721,0.00382781,1.18427,-0.928847
0.42,1.0,1.48551,-2.95813,-0.70859,-2.94625,-0.708482,1.07845,1.61793,0.00379259,1.16524,-0.926177
0.43,1.0,1.47101,-2.92519,-0.700754,-2.91307,-0.700749,1.08965,1.60868,0.00375987,1.13484,-0.924546
0.44,1.0,1.4565,-2.89214,-0.692891,-2.87894,-0.692675,1.10106,1.59945,0.00372936,1.13798,-0.922105
0.45,1.0,1.44208,-2.8593,-0.685076,-2.84883,-0.685043,1.11236,1.59024,0.00369967,1.11585,-0.919321
0.46,1.0,1.42768,-2.82654,-0.67728,-2.8165,-0.677419,1.12343,1.58106,0.00366929,1.09159,-0.917969
0.47,1.0,1.41323,-2.79367,-0.669452,-2.78334,-0.669465,1.13426,1.57189,0.00364081,1.07126,-0.916211
0.48,1.0,1.39883,-2.76101,-0.661678,-2.74866,-0.661506,1.14489,1.56274,0.00361403,1.05112,-0.913327
0.49,1.0,1.38446,-2.72853,-0.653941,-2.71892,-0.654029,1.15532,1.55362,0.00358878,1.03024,-0.910582
0.5,1.0,1.37014,-2.69607,-0.646208,-2.68527,-0.646219,1.16553,1.54452,0.00356493,1.01264,-0.908855
0.51,1.0,1.35582,-2.66368,-0.638492,-2.65366,-0.638519,1.17557,1.53544,0.00354026,0.994981,-0.907425
0.52,1.0,1.34156,-2.63148,-0.630818,-2.62173,-0.630898,1.18542,1.52639,0.003516,0.975322,-0.903596
0.53,1.0,1.32735,-2.5994,-0.623171,-2.5902,-0.623192,1.19507,1.51736,0.003493,0.957963,-0.901535
0.54,1.0,1.31317,-2.56742,-0.615547,-2.55809,-0.615553,1.20455,1.50836,0.00347114,0.941334,-0.899505
0.55,1.0,1.29905,-2.53561,-0.607963,-2.52684,-0.608002,1.21403,1.49938,0.00345032,0.939004,-0.896411
0.56,1.0,1.28495,-2.50388,-0.600397,-2.49502,-0.600368,1.22337,1.49043,0.00343047,0.922655,-0.893514
0.57,1.0,1.27089,-2.47237,-0.592881,-2.4633,-0.593079,1.23255,1.48151,0.00341151,0.905121,-0.891509
0.58,1.0,1.2569,-2.44095,-0.585385,-2.43269,-0.58544,1.24155,1.4726,0.00339113,0.889873,-0.889833
0.59,1.0,1.24292,-2.40972,-0.577934,-2.40122,-0.577887,1.25041,1.46372,0.00337152,0.875119,-0.885996
0.6,1.0,1.22903,-2.37868,-0.570526,-2.37088,-0.570656,1.25907,1.45488,0.00335274,0.859877,-0.883638
0.61,1.0,1.21511,-2.34774,-0.563141,-2.33941,-0.563158,1.26761,1.44605,0.00333475,0.846729,-0.881202
0.62,1.0,1.20129,-2.31707,-0.55582,-2.30919,-0.55593,1.27599,1.43726,0.00331747,0.831628,-0.878222
0.63,1.0,1.1875,-2.28646,-0.548512,-2.27839,-0.548546,1.28423,1.42849,0.00330087,0.819105,-0.875152
0.64,1.0,1.17383,-2.2562,-0.541286,-2.24929,-0.541481,1.29232,1.41975,0.0032849,0.804214,-0.872659
0.65,1.0,1.16017,-2.22595,-0.534063,-2.21788,-0.534154,1.30028,1.41104,0.00326951,0.792192,-0.870625
0.66,1.0,1.14659,-2.196,-0.526908,-2.18884,-0.527108,1.30822,1.40235,0.00325278,0.789117,-0.867105
0.67,1.0,1.13306,-2.1662,-0.519791,-2.15899,-0.519895,1.31609,1.39369,0.00323666,0.776766,-0.864275
0.68,1.0,1.11958,-2.13658,-0.512714,-2.12968,-0.512972,1.32382,1.38507,0.00322112,0.763466,-0.861509
