t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02689,-4.10771,-0.980995,-4.09943,-0.983446,1.00003,2.01082,0.0151512,0.0172638,-0.922177
0.02,1.0,2.02428,-4.10698,-0.980383,-4.09637,-0.982064,1.00013,2.00152,0.0132169,-0.00392774,-0.937935
0.03,1.0,2.01923,-4.09981,-0.978727,-4.08672,-0.979978,1.00027,1.99203,0.0108237,9.48901e-05,-0.960938
0.04,1.0,2.01235,-4.0887,-0.976161,-4.07513,-0.976967,1.00042,1.98231,0.00929602,0.00615203,-0.981671
0.05,1.0,2.00483,-4.0754,-0.973096,-4.06135,-0.973656,1.00057,1.97246,0.00788311,0.00962956,-0.986356
0.06,1.0,1.99693,-4.0603,-0.969622,-4.04366,-0.969981,1.00066,1.9626,0.00623771,0.00741936,-0.98631
0.07,1.0,1.98869,-4.04375,-0.965821,-4.02835,-0.96601,1.0007,1.95275,0.00479245,0.00457665,-0.985574
0.08,1.0,1.97986,-4.02537,-0.961605,-4.00981,-0.961679,1.00074,1.9429,0.00340432,0.00347916,-0.984519
0.09,1.0,1.97113,-4.00591,-0.95715,-3.98847,-0.957123,1.00075,1.93306,0.00162761,0.0059078,-0.983215
0.1,1.0,1.96243,-3.98477,-0.952309,-3.96813,-0.95225,1.00085,1.92323,0.000348811,0.00935826,-0.982033
0.11,1.0,1.95415,-3.96293,-0.947301,-3.94649,-0.947181,1.00095,1.91342,0.000220723,0.0127,-0.980413
0.12,1.0,1.94786,-3.94163,-0.942426,-3.92548,-0.942304,1.00107,1.90363,3.05827e-05,0.0147613,-0.979247
0.13,1.0,1.94191,-3.9188,-0.937187,-3.9028,-0.937023,1.00125,1.89384,6.34949e-05,0.0170254,-0.978126
0.14,1.0,1.9374,-3.89633,-0.932051,-3.87852,-0.931893,1.0014,1.88407,3.35483e-05,0.0193157,-0.976933
0.15,1.0,1.93273,-3.87048,-0.926093,-3.85401,-0.925976,1.00162,1.8743,1.03837e-05,0.0217255,-0.975761
